coordinate_id,constructor,ordered_operands,first_rejecting_class,rejection_reason,value_min,value_max,denominator_category,signal_families
"PROD(pinj_15r,pinj_33l)",C2,pinj_15r|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4327132864021.3467,none,neutral_beams
"PROD(pinj_15r,pinj_33r)",C2,pinj_15r|pinj_33r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-46471250.08287723,3796399312208.4395,none,neutral_beams
"PROD(pinj_15r,tinj)",C2,pinj_15r|tinj,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-2481866.915638061,20307923.52287891,none,neutral_beams
"PROD(pinj_15r,ece1)",C2,pinj_15r|ece1,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,2579718158.021085,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece2)",C2,pinj_15r|ece2,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,11063762191.203024,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece3)",C2,pinj_15r|ece3,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,5487715902.778872,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece4)",C2,pinj_15r|ece4,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,5521127620.479913,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece5)",C2,pinj_15r|ece5,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6862003420.733496,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece6)",C2,pinj_15r|ece6,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6110567330.717227,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece7)",C2,pinj_15r|ece7,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,7012896993.696484,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece8)",C2,pinj_15r|ece8,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,7807622683.166052,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece9)",C2,pinj_15r|ece9,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,7211684524.649053,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece10)",C2,pinj_15r|ece10,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,7762267102.125118,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece11)",C2,pinj_15r|ece11,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,8622010431.403637,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece12)",C2,pinj_15r|ece12,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9094120428.413868,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece13)",C2,pinj_15r|ece13,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9421027063.005878,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece14)",C2,pinj_15r|ece14,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10016734124.029114,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece15)",C2,pinj_15r|ece15,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9869453251.599401,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece16)",C2,pinj_15r|ece16,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10048350585.74654,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece18)",C2,pinj_15r|ece18,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,12659268192.827215,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece19)",C2,pinj_15r|ece19,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,11598673587.217394,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece20)",C2,pinj_15r|ece20,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,11030822348.91155,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece21)",C2,pinj_15r|ece21,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,11290465953.503914,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece22)",C2,pinj_15r|ece22,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10942511635.164238,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece25)",C2,pinj_15r|ece25,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10585858159.327028,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece27)",C2,pinj_15r|ece27,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10464950228.484486,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece28)",C2,pinj_15r|ece28,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,26265729428.884224,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece29)",C2,pinj_15r|ece29,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9698688188.16297,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece30)",C2,pinj_15r|ece30,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,10612521018.104893,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece31)",C2,pinj_15r|ece31,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9101814233.780928,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece33)",C2,pinj_15r|ece33,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,105178467005.79846,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece35)",C2,pinj_15r|ece35,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,8881063269.691946,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece36)",C2,pinj_15r|ece36,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6580823003.611996,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece37)",C2,pinj_15r|ece37,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6591246466.222622,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece38)",C2,pinj_15r|ece38,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6318435170.946679,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,ece39)",C2,pinj_15r|ece39,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9783607861.11656,none,ece_te_profile|neutral_beams
"PROD(pinj_15r,cerqrott3)",C2,pinj_15r|cerqrott3,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-566462100074.4413,39988880138.32658,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqrott6)",C2,pinj_15r|cerqrott6,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-292083546990.46893,13169545633.689608,none,cer_rotation_ti|neutral_beams
