coordinate_id,constructor,ordered_operands,operand_roles,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_resolution_rule,temporal_resolution_bound_ms,provenance_lineage,target_independence,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,numerical_realization_id,domain_predicate
DOT(ip),C1,ip,rate,ip,1,1,(A) T^-1,A/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.4999593727147152,ip:magnetics,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(gasa),C1,gasa,rate,gasa,1,1,(V) T^-1,V/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.5,gasa:gas_injection,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(gasb),C1,gasb,rate,gasb,1,1,(V) T^-1,V/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.5,gasb:gas_injection,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(gasc),C1,gasc,rate,gasc,1,1,(V) T^-1,V/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.5,gasc:gas_injection,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(gasd),C1,gasd,rate,gasd,1,1,(V) T^-1,V/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.5,gasd:gas_injection,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(pinj),C1,pinj,rate,pinj,1,1,(W) T^-1,W/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,pinj:neutral_beams,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(pinj_15l),C1,pinj_15l,rate,pinj_15l,1,1,(W) T^-1,W/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,pinj_15l:neutral_beams,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(pinj_30l),C1,pinj_30l,rate,pinj_30l,1,1,(W) T^-1,W/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,pinj_30l:neutral_beams,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(pinj_30r),C1,pinj_30r,rate,pinj_30r,1,1,(W) T^-1,W/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,pinj_30r:neutral_beams,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(pinj_33r),C1,pinj_33r,rate,pinj_33r,1,1,(W) T^-1,W/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,pinj_33r:neutral_beams,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
