coordinate_id,constructor,ordered_operands,class_B,class_A,class_C,class_G,class_F,class_D_finite,class_D_constant,class_E_denominator,class_H_leakage,value_min,value_max,admissible,first_rejecting_class,rejection_reason
DOT(ece38),C1,ece38,True,True,True,True,True,True,False,,True,-84140.36835540054,41170.65324950093,True,,
DOT(ece39),C1,ece39,True,True,True,True,True,True,False,,True,-141443.36017816473,73040.01746304319,True,,
DOT(cerqrott3),C1,cerqrott3,True,True,True,True,True,True,False,,True,-3809695.929802146,8005543.027897006,True,,
DOT(cerqrott6),C1,cerqrott6,True,True,True,True,True,True,False,,True,-49960527.99804627,60026195.38166173,True,,
DOT(cerqrott8),C1,cerqrott8,True,True,True,True,True,True,False,,True,-5148912.747845856,2765264.173393081,True,,
DOT(cerqrott10),C1,cerqrott10,True,True,True,True,True,True,False,,True,-6090397.022308173,2392014.0202584546,True,,
DOT(cerqrott11),C1,cerqrott11,True,True,True,True,True,True,False,,True,-7168674.205511776,2775524.1502934117,True,,
DOT(cerqrott12),C1,cerqrott12,True,True,True,True,True,True,False,,True,-6624290.20779554,4576884.257793378,True,,
DOT(cerqrott13),C1,cerqrott13,True,True,True,True,True,True,False,,True,-5134918.545376332,3187408.1915074815,True,,
DOT(cerqtit3),C1,cerqtit3,True,True,True,True,True,True,False,,True,-158955.81667014596,120603.25334249239,True,,
DOT(cerqtit6),C1,cerqtit6,True,True,True,True,True,True,False,,True,-232730.8420468817,182575.71778372087,True,,
DOT(cerqtit8),C1,cerqtit8,True,True,True,True,True,True,False,,True,-136640.58987419592,35053.11840711521,True,,
DOT(cerqtit10),C1,cerqtit10,True,True,True,True,True,True,False,,True,-129080.14491609187,53358.91618962059,True,,
DOT(cerqtit11),C1,cerqtit11,True,True,True,True,True,True,False,,True,-143608.79169021017,51367.90414993015,True,,
DOT(cerqtit12),C1,cerqtit12,True,True,True,True,True,True,False,,True,-145830.42667884286,110672.5382965445,True,,
DOT(cerqtit13),C1,cerqtit13,True,True,True,True,True,True,False,,True,-135256.09640697797,112278.57671744093,True,,
"PROD(bt,bt)",C2,bt|bt,True,True,True,True,True,True,False,,True,3.1952830310142253,4.670498039254936,True,,
"PROD(bt,ip)",C2,bt|ip,True,True,True,True,True,True,False,,True,-1954907.4302968504,3434232.5663623526,True,,
"PROD(bt,prmtan_neped)",C2,bt|prmtan_neped,True,True,True,True,True,True,False,,True,-1.1256047616084976e+20,1.7006320672421262e+20,True,,
"PROD(bt,prmtan_teped)",C2,bt|prmtan_teped,True,True,True,True,True,True,False,,True,-10484.59560694467,9450.837244343045,True,,
"PROD(bt,fs04)",C2,bt|fs04,True,True,True,True,True,True,False,,True,-1.808567078763916e+17,7.842716069981523e+16,True,,
"PROD(bt,fs03da)",C2,bt|fs03da,True,True,True,True,True,True,False,,True,-1.6940710382658086e+17,4.784654646520798e+16,True,,
"PROD(bt,fs05da)",C2,bt|fs05da,True,True,True,True,True,True,False,,True,-5.142875053104027e+16,5.247416774283255e+16,True,,
"PROD(bt,gasa)",C2,bt|gasa,True,True,True,True,True,True,False,,True,-9.439910538470148,14.864368689127216,True,,
"PROD(bt,gasb)",C2,bt|gasb,True,True,True,True,True,True,False,,True,-2.17483225935684,21.428640705838866,True,,
"PROD(bt,gasc)",C2,bt|gasc,True,True,True,True,True,True,False,,True,-0.27214445500400564,0.33123498462268086,True,,
"PROD(bt,gasd)",C2,bt|gasd,True,True,True,True,True,True,False,,True,-1.786807387966263,2.1201032977311116,True,,
"PROD(bt,pinj)",C2,bt|pinj,True,True,True,True,True,True,False,,True,-28830584.779692482,30776985.231235538,True,,
"PROD(bt,pinj_15l)",C2,bt|pinj_15l,True,True,True,True,True,True,False,,True,-3280766.059111733,3831343.999009299,True,,
"PROD(bt,pinj_15r)",C2,bt|pinj_15r,True,True,True,True,True,True,True,,True,-3551722.25414737,3497750.333371228,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
"PROD(bt,pinj_21l)",C2,bt|pinj_21l,True,True,True,True,True,True,True,,True,-3918678.6304011606,4734829.2361569125,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
"PROD(bt,pinj_21r)",C2,bt|pinj_21r,True,True,True,True,True,True,True,,True,-3489172.3603625386,4370959.157817271,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
"PROD(bt,pinj_30l)",C2,bt|pinj_30l,True,True,True,True,True,True,False,,True,-5021285.181632089,5578533.809176493,True,,
"PROD(bt,pinj_30r)",C2,bt|pinj_30r,True,True,True,True,True,True,False,,True,-3766437.893549437,4707390.69001722,True,,
"PROD(bt,pinj_33l)",C2,bt|pinj_33l,True,True,True,True,True,True,True,,True,-4850325.892677821,5237742.059526923,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
"PROD(bt,pinj_33r)",C2,bt|pinj_33r,True,True,True,True,True,True,False,,True,-4306621.038727865,5281379.027153301,True,,
"PROD(bt,tinj)",C2,bt|tinj,True,True,True,True,True,True,False,,True,-24.03048234699476,19.6153620087832,True,,
"PROD(bt,ece1)",C2,bt|ece1,True,True,True,True,True,True,False,,True,-1215.6746387973903,2663.5506257392185,True,,
"PROD(bt,ece2)",C2,bt|ece2,True,True,True,True,True,True,False,,True,-13640.22828457301,7249.706512687436,True,,
"PROD(bt,ece3)",C2,bt|ece3,True,True,True,True,True,True,False,,True,-6715.598368280528,4711.974196642061,True,,
"PROD(bt,ece4)",C2,bt|ece4,True,True,True,True,True,True,False,,True,-6623.625272731602,5387.517464978394,True,,
"PROD(bt,ece5)",C2,bt|ece5,True,True,True,True,True,True,False,,True,-8532.773781557182,8086.710948698136,True,,
"PROD(bt,ece6)",C2,bt|ece6,True,True,True,True,True,True,False,,True,-7783.757398216029,6594.680321019485,True,,
"PROD(bt,ece7)",C2,bt|ece7,True,True,True,True,True,True,False,,True,-9262.440933010796,6945.874884312051,True,,
"PROD(bt,ece8)",C2,bt|ece8,True,True,True,True,True,True,False,,True,-9981.996507390031,7582.949841844238,True,,
"PROD(bt,ece9)",C2,bt|ece9,True,True,True,True,True,True,False,,True,-7598.350295090902,8460.834400073636,True,,
"PROD(bt,ece10)",C2,bt|ece10,True,True,True,True,True,True,False,,True,-8281.865434661797,9117.61384607784,True,,
"PROD(bt,ece11)",C2,bt|ece11,True,True,True,True,True,True,False,,True,-10808.279491140163,9342.867769877388,True,,
"PROD(bt,ece12)",C2,bt|ece12,True,True,True,True,True,True,False,,True,-11360.005833384374,9362.982867227001,True,,
"PROD(bt,ece13)",C2,bt|ece13,True,True,True,True,True,True,False,,True,-11429.611598189107,9233.116156653929,True,,
"PROD(bt,ece14)",C2,bt|ece14,True,True,True,True,True,True,False,,True,-11823.333598412311,9476.229950078405,True,,
"PROD(bt,ece15)",C2,bt|ece15,True,True,True,True,True,True,False,,True,-11557.727722140919,9662.430698501186,True,,
"PROD(bt,ece16)",C2,bt|ece16,True,True,True,True,True,True,False,,True,-11713.50256676361,10222.656461665942,True,,
"PROD(bt,ece18)",C2,bt|ece18,True,True,True,True,True,True,False,,True,-14743.811727212764,10489.36879702729,True,,
"PROD(bt,ece19)",C2,bt|ece19,True,True,True,True,True,True,False,,True,-13506.07630621003,10282.997500203559,True,,
"PROD(bt,ece20)",C2,bt|ece20,True,True,True,True,True,True,False,,True,-12790.799515807308,10722.392245601477,True,,
"PROD(bt,ece21)",C2,bt|ece21,True,True,True,True,True,True,False,,True,-13015.873784288471,11674.417373402397,True,,
"PROD(bt,ece22)",C2,bt|ece22,True,True,True,True,True,True,False,,True,-12587.231606357685,11602.090912724912,True,,
"PROD(bt,ece25)",C2,bt|ece25,True,True,True,True,True,True,False,,True,-12563.960739131213,12072.38078029642,True,,
"PROD(bt,ece27)",C2,bt|ece27,True,True,True,True,True,True,False,,True,-12840.94811942825,12571.414931155428,True,,
"PROD(bt,ece28)",C2,bt|ece28,True,True,True,True,True,True,False,,True,-14214.742145163566,30952.71192855627,True,,
"PROD(bt,ece29)",C2,bt|ece29,True,True,True,True,True,True,False,,True,-11773.321312314174,13340.092970732074,True,,
"PROD(bt,ece30)",C2,bt|ece30,True,True,True,True,True,True,False,,True,-12830.425700513699,14209.822972137084,True,,
"PROD(bt,ece31)",C2,bt|ece31,True,True,True,True,True,True,False,,True,-10290.677499926927,12479.73778160465,True,,
"PROD(bt,ece33)",C2,bt|ece33,True,True,True,True,True,True,False,,True,-123090.1083321496,165950.91670333908,True,,
"PROD(bt,ece35)",C2,bt|ece35,True,True,True,True,True,True,False,,True,-11318.181520376389,15252.002523100044,True,,
"PROD(bt,ece36)",C2,bt|ece36,True,True,True,True,True,True,False,,True,-7944.758060433009,12638.769832530927,True,,
"PROD(bt,ece37)",C2,bt|ece37,True,True,True,True,True,True,False,,True,-8215.878927864313,12406.253822966752,True,,
"PROD(bt,ece38)",C2,bt|ece38,True,True,True,True,True,True,False,,True,-8041.382800456677,11082.422617856932,True,,
"PROD(bt,ece39)",C2,bt|ece39,True,True,True,True,True,True,False,,True,-12621.347739174247,11317.421886459226,True,,
"PROD(bt,cerqrott3)",C2,bt|cerqrott3,True,True,True,True,True,True,False,,True,-727581.7273615235,700326.6090614521,True,,
"PROD(bt,cerqrott6)",C2,bt|cerqrott6,True,True,True,True,True,True,False,,True,-1309418.2123775387,349928.1679234863,True,,
"PROD(bt,cerqrott8)",C2,bt|cerqrott8,True,True,True,True,True,True,False,,True,-306886.86346600106,385333.84625535435,True,,
"PROD(bt,cerqrott10)",C2,bt|cerqrott10,True,True,True,True,True,True,False,,True,-285595.6065639964,318341.69117963,True,,
"PROD(bt,cerqrott11)",C2,bt|cerqrott11,True,True,True,True,True,True,False,,True,-269651.3069613053,282778.4895605228,True,,
"PROD(bt,cerqrott12)",C2,bt|cerqrott12,True,True,True,True,True,True,False,,True,-246736.28822565937,177089.9237781157,True,,
"PROD(bt,cerqrott13)",C2,bt|cerqrott13,True,True,True,True,True,True,False,,True,-195217.73820347496,113045.16865804157,True,,
