coordinate_id,constructor,search_stratum,round_robin_order,J_search
"PROD(ece39,ece39)",C2,"C2:{ECE,ECE}",32,0.8195489037580183
"PROD(fs04,ece1)",C2,"C2:{ECE,FS}",33,0.703357445732969
"PROD(gasc,ece36)",C2,"C2:{ECE,GAS}",34,0.8978110576012968
"PROD(bt,ece39)",C2,"C2:{ECE,MAG}",35,0.7441959498430131
"PROD(pinj,ece37)",C2,"C2:{ECE,NBI}",36,0.6258864574304823
"PROD(bt,gasc)",C2,"C2:{GAS,MAG}",37,0.8973180450858751
"PROD(gasc,tinj)",C2,"C2:{GAS,NBI}",38,0.7680824135792957
"PROD(bt,ip)",C2,"C2:{MAG,MAG}",39,0.7435994209693012
"PROD(bt,pinj)",C2,"C2:{MAG,NBI}",40,0.5385565596127881
"PROD(pinj_30l,tinj)",C2,"C2:{NBI,NBI}",41,0.6131265250274551
"PROD(cerqtit6,cerqtit8)",C2,"C2:{CER,CER}",42,0.8046164393100911
"PROD(prmtan_neped,cerqtit10)",C2,"C2:{CER,DEN}",43,0.6129904804867542
"PROD(ece39,cerqtit8)",C2,"C2:{CER,ECE}",44,0.7980663575798717
"PROD(fs04,cerqrott11)",C2,"C2:{CER,FS}",45,0.7923828560892001
"PROD(gasc,cerqtit10)",C2,"C2:{CER,GAS}",46,0.8261023460225043
"PROD(ip,cerqtit6)",C2,"C2:{CER,MAG}",47,0.6893894982690966
"PROD(pinj_30l,cerqtit10)",C2,"C2:{CER,NBI}",48,0.6395152212056097
"PROD(prmtan_neped,ece36)",C2,"C2:{DEN,ECE}",49,0.5970142721104922
"PROD(prmtan_neped,pinj_33r)",C2,"C2:{DEN,NBI}",50,0.6468659677022436
"PROD(ece36,ece39)",C2,"C2:{ECE,ECE}",51,0.8216079951574188
"PROD(gasc,ece38)",C2,"C2:{ECE,GAS}",52,0.8988907191773986
"PROD(ip,ece38)",C2,"C2:{ECE,MAG}",53,0.7608516587336766
"PROD(pinj,ece35)",C2,"C2:{ECE,NBI}",54,0.6396480025587611
"PROD(gasc,pinj_15l)",C2,"C2:{GAS,NBI}",55,0.8361146861079216
"PROD(ip,ip)",C2,"C2:{MAG,MAG}",56,0.7839867673791708
"PROD(ip,tinj)",C2,"C2:{MAG,NBI}",57,0.619942092483047
"PROD(pinj,pinj_33r)",C2,"C2:{NBI,NBI}",58,0.6367990716441055
"PROD(cerqtit6,cerqtit10)",C2,"C2:{CER,CER}",59,0.8061931008857771
"PROD(prmtan_neped,cerqtit3)",C2,"C2:{CER,DEN}",60,0.637113998215865
"PROD(ece39,cerqtit10)",C2,"C2:{CER,ECE}",61,0.7986072319115736
"PROD(fs04,cerqrott12)",C2,"C2:{CER,FS}",62,0.8297113104008647
"PROD(gasc,cerqtit3)",C2,"C2:{CER,GAS}",63,0.8378716439297652
"PROD(ip,cerqtit8)",C2,"C2:{CER,MAG}",64,0.6896703801852333
"PROD(pinj,cerqrott6)",C2,"C2:{CER,NBI}",65,0.6399294343737497
"PROD(prmtan_neped,ece37)",C2,"C2:{DEN,ECE}",66,0.6051705972475849
"PROD(ece38,ece39)",C2,"C2:{ECE,ECE}",67,0.8274238288852324
"PROD(gasc,ece14)",C2,"C2:{ECE,GAS}",68,0.9052619067290743
"PROD(bt,ece38)",C2,"C2:{ECE,MAG}",69,0.7735988222633184
"PROD(pinj_30l,ece39)",C2,"C2:{ECE,NBI}",70,0.6421381527563859
"PROD(gasc,pinj_30l)",C2,"C2:{GAS,NBI}",71,0.8521086720203087
"PROD(bt,tinj)",C2,"C2:{MAG,NBI}",72,0.6245529627901876
"PROD(pinj,pinj_15l)",C2,"C2:{NBI,NBI}",73,0.6557281062419967
"PROD(cerqtit6,cerqtit6)",C2,"C2:{CER,CER}",74,0.8111914567115815
"PROD(prmtan_neped,cerqtit11)",C2,"C2:{CER,DEN}",75,0.6595496210032074
"PROD(ece36,cerqtit6)",C2,"C2:{CER,ECE}",76,0.7995509233093516
"PROD(gasc,cerqtit11)",C2,"C2:{CER,GAS}",77,0.8556608779536281
"PROD(bt,cerqtit10)",C2,"C2:{CER,MAG}",78,0.7175803902789717
"PROD(pinj_30l,cerqtit3)",C2,"C2:{CER,NBI}",79,0.643556900798261
"PROD(prmtan_neped,ece35)",C2,"C2:{DEN,ECE}",80,0.615483471547264
"PROD(ece35,ece39)",C2,"C2:{ECE,ECE}",81,0.8353147563937201
"PROD(gasc,ece15)",C2,"C2:{ECE,GAS}",82,0.9061250781317339
"PROD(ip,ece36)",C2,"C2:{ECE,MAG}",83,0.7960190271854469
"PROD(pinj,ece33)",C2,"C2:{ECE,NBI}",84,0.6427688909563964
"PROD(gasc,pinj_33r)",C2,"C2:{GAS,NBI}",85,0.9107284520504534
"PROD(ip,pinj_30l)",C2,"C2:{MAG,NBI}",86,0.6758432775253286
"PROD(pinj_15l,tinj)",C2,"C2:{NBI,NBI}",87,0.6667312311698698
"PROD(cerqtit8,cerqtit11)",C2,"C2:{CER,CER}",88,0.8153528105288433
"PROD(prmtan_neped,cerqrott6)",C2,"C2:{CER,DEN}",89,0.7027748777534493
"PROD(ece38,cerqtit8)",C2,"C2:{CER,ECE}",90,0.7996475876966496
"PROD(gasc,cerqtit12)",C2,"C2:{CER,GAS}",91,0.8954954620347095
"PROD(ip,cerqtit10)",C2,"C2:{CER,MAG}",92,0.7199806166692697
"PROD(pinj_30l,cerqtit11)",C2,"C2:{CER,NBI}",93,0.6520470441923607
"PROD(prmtan_neped,ece33)",C2,"C2:{DEN,ECE}",94,0.6303682480943624
"PROD(ece37,ece38)",C2,"C2:{ECE,ECE}",95,0.8396824082104094
"PROD(gasc,ece37)",C2,"C2:{ECE,GAS}",96,0.9070928578123724
"RATIO(cerqrott12,cerqtit10)",C3,C3:CER|CER,1,0.5473855764281755
"RATIO(cerqrott12,prmtan_neped)",C3,C3:CER|DEN,2,0.6395012217900664
"RATIO(cerqtit6,ece38)",C3,C3:CER|ECE,3,0.5574573509266071
"RATIO(cerqtit8,ip)",C3,C3:CER|MAG,4,0.6921657986403378
"RATIO(prmtan_neped,cerqtit3)",C3,C3:DEN|CER,5,0.788730833738308
"RATIO(prmtan_neped,ece38)",C3,C3:DEN|ECE,6,0.655953024056352
"RATIO(prmtan_neped,bt)",C3,C3:DEN|MAG,7,0.4773089407040581
"RATIO(ece21,cerqtit10)",C3,C3:ECE|CER,8,0.443171726926824
"RATIO(ece29,ece39)",C3,C3:ECE|ECE,9,0.5279487351305993
"RATIO(ece39,bt)",C3,C3:ECE|MAG,10,0.7509320658731975
"RATIO(fs03da,cerqtit3)",C3,C3:FS|CER,11,0.7601787120598495
"RATIO(gasc,cerqtit10)",C3,C3:GAS|CER,12,0.7332635856758715
"RATIO(gasc,prmtan_neped)",C3,C3:GAS|DEN,13,0.6846073378509343
"RATIO(gasc,ece39)",C3,C3:GAS|ECE,14,0.8032723045348883
"RATIO(gasc,ip)",C3,C3:GAS|MAG,15,0.863701412675996
"RATIO(ip,cerqtit10)",C3,C3:MAG|CER,16,0.5786349421524472
"RATIO(ip,ece39)",C3,C3:MAG|ECE,17,0.6452675184875991
"RATIO(ip,bt)",C3,C3:MAG|MAG,18,0.79944242728422
"RATIO(pinj_33r,cerqtit10)",C3,C3:NBI|CER,19,0.782113190880286
"RATIO(pinj_33r,prmtan_neped)",C3,C3:NBI|DEN,20,0.7823507038301627
"RATIO(tinj,ece20)",C3,C3:NBI|ECE,21,0.6446429823808377
"RATIO(pinj,bt)",C3,C3:NBI|MAG,22,0.5361095015866377
"RATIO(cerqrott12,cerqtit11)",C3,C3:CER|CER,23,0.5592952601837468
"RATIO(cerqrott11,prmtan_neped)",C3,C3:CER|DEN,24,0.6734786151641008
"RATIO(cerqtit8,ece38)",C3,C3:CER|ECE,25,0.5781035805399289
"RATIO(cerqtit8,bt)",C3,C3:CER|MAG,26,0.6932510813252928
"RATIO(prmtan_neped,ece39)",C3,C3:DEN|ECE,27,0.6976141212884809
"RATIO(prmtan_neped,ip)",C3,C3:DEN|MAG,28,0.4843141227647087
"RATIO(ece20,cerqtit10)",C3,C3:ECE|CER,29,0.4456571628387421
"RATIO(ece22,ece39)",C3,C3:ECE|ECE,30,0.528572691692268
"RATIO(ece39,ip)",C3,C3:ECE|MAG,31,0.7668308190880162
"RATIO(gasc,cerqtit11)",C3,C3:GAS|CER,32,0.7460778535757023
"RATIO(gasc,ece38)",C3,C3:GAS|ECE,33,0.829947761119291
"RATIO(gasc,bt)",C3,C3:GAS|MAG,34,0.9123373278559886
"RATIO(bt,cerqtit10)",C3,C3:MAG|CER,35,0.5951810114403016
"RATIO(bt,ece39)",C3,C3:MAG|ECE,36,0.6484277911425739
"RATIO(bt,ip)",C3,C3:MAG|MAG,37,0.8072128332300972
