seed_id,lane,seed_stratum,constructor,family_signature,coordinate_id,J_search,within_stratum_rank,in_shortlist,flag
SEED_088,MAIN,C6:FS|CER,C6,FS|CER,LEVEL_RATE(fs03da|cerqrott6),1.0119921837242385,1,True,
SEED_089,MAIN,C6:FS|ECE,C6,FS|ECE,LEVEL_RATE(fs03da|ece1),1.0088645268566077,1,True,
SEED_090,MAIN,C6:FS|GAS,C6,FS|GAS,LEVEL_RATE(fs03da|gasd),1.019178562698459,1,True,
SEED_091,MAIN,C6:FS|MAG,C6,FS|MAG,LEVEL_RATE(fs03da|ip),1.0011060442320747,1,True,
SEED_092,MAIN,C6:FS|NBI,C6,FS|NBI,LEVEL_RATE(fs04|pinj_15l),1.0169840926276317,1,True,
SEED_093,MAIN,C6:GAS|CER,C6,GAS|CER,LEVEL_RATE(gasa|cerqrott3),0.9976243283377373,1,True,
SEED_094,MAIN,C6:GAS|ECE,C6,GAS|ECE,LEVEL_RATE(gasa|ece25),0.9792300855162633,1,True,
SEED_095,MAIN,C6:GAS|GAS,C6,GAS|GAS,LEVEL_RATE(gasa|gasb),1.0124129539754951,1,True,
SEED_096,MAIN,C6:GAS|MAG,C6,GAS|MAG,LEVEL_RATE(gasa|ip),0.97444266727718,1,True,
SEED_097,MAIN,C6:GAS|NBI,C6,GAS|NBI,LEVEL_RATE(gasa|pinj_33r),1.0137568548096862,1,True,
SEED_098,MAIN,C6:MAG|CER,C6,MAG|CER,LEVEL_RATE(bt|cerqrott3),1.008488158098292,1,True,
SEED_099,MAIN,C6:MAG|ECE,C6,MAG|ECE,LEVEL_RATE(bt|ece33),1.004019917132434,1,True,
SEED_100,MAIN,C6:MAG|GAS,C6,MAG|GAS,LEVEL_RATE(bt|gasc),1.0189270732223727,1,True,
SEED_101,MAIN,C6:MAG|MAG,C6,MAG|MAG,LEVEL_RATE(bt|ip),0.981856014049244,1,True,
SEED_102,MAIN,C6:MAG|NBI,C6,MAG|NBI,LEVEL_RATE(bt|pinj_33r),1.0163855820353476,1,True,
SEED_103,MAIN,C6:NBI|CER,C6,NBI|CER,LEVEL_RATE(pinj_30r|cerqrott3),1.0062120967472992,1,True,
SEED_104,MAIN,C6:NBI|ECE,C6,NBI|ECE,LEVEL_RATE(pinj_30r|ece39),1.0123185673962594,1,True,
SEED_105,MAIN,C6:NBI|GAS,C6,NBI|GAS,LEVEL_RATE(pinj|gasc),1.018980347183223,1,True,
SEED_106,MAIN,C6:NBI|MAG,C6,NBI|MAG,LEVEL_RATE(pinj_33r|ip),1.0013695596117302,1,True,
SEED_107,MAIN,C6:NBI|NBI,C6,NBI|NBI,LEVEL_RATE(pinj_15l|pinj_15l),1.015130012698568,1,True,
SEED_108,MAIN,C7:CER|CER,C7,CER|CER,RATE_OVER_LEVEL(cerqrott3|cerqtit10),0.9542547964144432,1,True,
SEED_109,MAIN,C7:CER|DEN,C7,CER|DEN,RATE_OVER_LEVEL(cerqrott3|prmtan_neped),0.9707191640378585,1,True,
SEED_110,MAIN,C7:CER|ECE,C7,CER|ECE,RATE_OVER_LEVEL(cerqrott3|ece1),0.9758680853922896,1,True,
SEED_111,MAIN,C7:CER|MAG,C7,CER|MAG,RATE_OVER_LEVEL(cerqrott3|ip),1.0060408264338292,1,True,
SEED_112,MAIN,C7:ECE|CER,C7,ECE|CER,RATE_OVER_LEVEL(ece37|cerqtit10),0.927194984546848,1,True,
SEED_113,MAIN,C7:ECE|DEN,C7,ECE|DEN,RATE_OVER_LEVEL(ece33|prmtan_neped),0.9481782574249138,1,True,
