coordinate_id,constructor,ordered_operands,operand_roles,family_signature,role_semantics,search_stratum,primitive_ancestors,J_search,rank_status,NRMSE_160715,NRMSE_160720,NRMSE_161138,NRMSE_165022,NRMSE_165028,NRMSE_165042,NRMSE_165861,NRMSE_170396,NRMSE_187017,NRMSE_187020,NRMSE_187024,NRMSE_189647,NRMSE_189651,NRMSE_195264,NRMSE_195267,NRMSE_195273,NRMSE_195638,NRMSE_195647,NRMSE_195650,NRMSE_195655,within_stratum_rank,global_rank_reference_only
RATE_OVER_LEVEL(gasd|ece20),C7,gasd|ece20,rate|level_denominator,GAS|ECE,(rate_family | denominator_level_family),C7:GAS|ECE,ece20|gasd,1.0191895880083854,FULL_RANK,0.8351638559198294,1.4380217947372895,1.0082203627272062,0.6600360124979756,0.8174907311552672,0.7877557737058584,0.9525042336840852,0.6914500250194936,1.6379568663443493,1.08194858314455,1.232433141066738,1.157199782639539,1.307565178648389,1.1113190515001234,1.1600352670074823,0.7278980212959825,0.7921795740390246,0.9034475540706044,1.0312743399528739,1.0498916110110457,76,7540
RATE_OVER_LEVEL(cerqtit12|ece31),C7,cerqtit12|ece31,rate|level_denominator,CER|ECE,(rate_family | denominator_level_family),C7:CER|ECE,cerqtit12|ece31,1.0191899946014353,FULL_RANK,0.835334121474037,1.4390076707725425,0.9974813139919153,0.6578450344321632,0.8123239376044252,0.7927849308712407,0.9570496319970516,0.6945394129324973,1.6460811048389665,1.065106182609154,1.2315550582517787,1.15731121934626,1.3220257882337763,1.109832887358549,1.1577379485062014,0.7340952353331914,0.7905417891429946,0.903597084193332,1.0308622860632453,1.048687254075382,161,7541
LEVEL_RATE(cerqtit3|pinj_30l),C6,cerqtit3|pinj_30l,level|rate,CER|NBI,(level_family | rate_family),C6:CER|NBI,cerqtit3|pinj_30l,1.019191144358579,FULL_RANK,0.8355691542646855,1.438875848845374,1.0038508667896724,0.6600266887864182,0.8183386857205264,0.7876141229853242,0.9523215231042971,0.6962440810194058,1.6425062896760654,1.0707545893955839,1.2325992237592267,1.1534573351917503,1.3043756276181078,1.1105740652428926,1.1673250382063396,0.7279009904148874,0.7946230580324718,0.9040958853208751,1.0318107400659489,1.0509590727317304,69,7542
LEVEL_RATE(ece37|cerqrott3),C6,ece37|cerqrott3,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER,cerqrott3|ece37,1.019191619670678,FULL_RANK,0.832556382374889,1.4229983526474081,0.9904428774999955,0.6522354996531988,0.8062048344704412,0.7877939240347751,0.9429651462356655,0.6950950836421201,1.6535321984940656,1.0703835844373792,1.2382674204374677,1.150732664745494,1.291270434769385,1.1252313482263434,1.1765881834137348,0.7761007333539117,0.798304568512958,0.903139659679597,1.0255071627721721,1.044482334012555,277,7543
LEVEL_RATE(ece22|pinj_30r),C6,ece22|pinj_30r,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI,ece22|pinj_30r,1.019192446633377,FULL_RANK,0.8353864724688723,1.4385605662653382,1.0010149810544762,0.660034818336884,0.8182356039693607,0.7877285991062989,0.9522835664955277,0.6948358877332002,1.6422067726675778,1.0719888071736015,1.2311597071714706,1.1569488627998552,1.3075526045191785,1.1121312852212297,1.1684268617761226,0.7279400617163546,0.7922849920615495,0.9033591481732645,1.0310161376114504,1.050753196345922,182,7544
LEVEL_RATE(cerqtit6|ece4),C6,cerqtit6|ece4,level|rate,CER|ECE,(level_family | rate_family),C6:CER|ECE,cerqtit6|ece4,1.0191939487057622,FULL_RANK,0.8393655282905442,1.4393785978602416,1.0093176579038003,0.6596567778274861,0.8210887742412282,0.7861781597414161,0.9544839457004201,0.6937934594310695,1.6426568373132902,1.0664327904487811,1.2251202382016033,1.145866791290452,1.3074896702322747,1.1114689447580914,1.1705653606629352,0.7323713912889499,0.7927039818307776,0.9035512802817379,1.0316912551175175,1.0506975316926257,277,7545
LEVEL_RATE(cerqtit12|ece10),C6,cerqtit12|ece10,level|rate,CER|ECE,(level_family | rate_family),C6:CER|ECE,cerqtit12|ece10,1.0191974942570197,FULL_RANK,0.8344420296205232,1.443775989182028,1.0073856677905717,0.659347869690524,0.8180025872674476,0.7893210127536289,0.9408389695062537,0.6938266662816477,1.6293899787538322,1.06092549496966,1.2190009983836987,1.157949980794709,1.305898810947444,1.1126442701731305,1.1795541235393776,0.7450313883759483,0.7965832549050343,0.9073532604101069,1.0329399955808602,1.0497375362139658,278,7546
RATE_OVER_LEVEL(gasc|ece9),C7,gasc|ece9,rate|level_denominator,GAS|ECE,(rate_family | denominator_level_family),C7:GAS|ECE,ece9|gasc,1.0191982390199115,FULL_RANK,0.8352010705217982,1.4384270784407995,1.0002898425351707,0.6599746535057686,0.818231104043468,0.7861011820470741,0.9522550906961323,0.6937225588422834,1.6487918584878203,1.0707581669137298,1.232643162432985,1.1567504368966102,1.3075339885383557,1.110799190942348,1.1673642328163598,0.7276847275923695,0.7921877594771832,0.9032604745705651,1.031144586201213,1.0508436148962,77,7547
LEVEL_RATE(ece36|pinj_30l),C6,ece36|pinj_30l,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI,ece36|pinj_30l,1.019199829488977,FULL_RANK,0.8356298904632714,1.4388314136182256,1.0005936453425555,0.6600293823018942,0.8182642369149317,0.7877660349057075,0.9523548834447171,0.6956069547471407,1.642623682044911,1.0709596370991428,1.2325946280748505,1.155294394659632,1.3067570028375748,1.1103711932560971,1.1672114243364857,0.727779647141883,0.793919255260661,0.9043067851335872,1.0318729035546814,1.0512295946415857,183,7548
LEVEL_RATE(ece25|pinj_30r),C6,ece25|pinj_30r,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI,ece25|pinj_30r,1.019202055617947,FULL_RANK,0.8353810745492165,1.4385572269588023,1.0012142045971733,0.6600359735965942,0.8182326917873731,0.7877218144103412,0.9522829130167665,0.6948711931927268,1.6422644872607943,1.07239606540367,1.2310887525841976,1.156903350957263,1.3075477725292683,1.112129790983948,1.1684322003484409,0.7279474415943227,0.7919898612326106,0.9033511311199751,1.0309466287925397,1.0507465374429141,184,7549
RATE_OVER_LEVEL(ece1|ece21),C7,ece1|ece21,rate|level_denominator,ECE|ECE,(rate_family | denominator_level_family),C7:ECE|ECE,ece1|ece21,1.0192032696694868,FULL_RANK,0.83497921694308,1.43909585409844,0.9984416645187691,0.6575093214921423,0.826117770417797,0.7831371576304998,0.9553195427815231,0.7026844454733995,1.6281920110798633,1.0747681893219054,1.232629894997139,1.128522731666121,1.3431878582748613,1.1106626265537243,1.1685135827468518,0.7262837498047018,0.7923414616730634,0.9032412822162371,1.0315771020017064,1.0468599296979124,552,7550
RATE_OVER_LEVEL(pinj_30l|ece18),C7,pinj_30l|ece18,rate|level_denominator,NBI|ECE,(rate_family | denominator_level_family),C7:NBI|ECE,ece18|pinj_30l,1.0192074810368135,FULL_RANK,0.8346126275163587,1.4378081921978163,1.0046768682645275,0.6592188437658875,0.8174435775635556,0.786978345114462,0.9515912445420319,0.6887261087016266,1.643789945653231,1.0735422519471773,1.2332413401220934,1.155542409279942,1.3058772508576555,1.1096433900173106,1.1664022380636105,0.7271871978211099,0.7948817858666084,0.9063161876875595,1.0338363092601208,1.0528335064935854,164,7551
RATE_OVER_LEVEL(ece7|ip),C7,ece7|ip,rate|level_denominator,ECE|MAG,(rate_family | denominator_level_family),C7:ECE|MAG,ece7|ip,1.019209595057191,FULL_RANK,0.8327797102977476,1.427406136037246,1.0125974175670958,0.6576680684704069,0.8242755376201463,0.7676212365504983,1.0228624735312235,0.6915019880430214,1.6416601406670344,1.0653437824085872,1.2184164560442108,1.1566909733187882,1.3064346231670696,1.1053184097250022,1.1730549903946315,0.7172065967772651,0.7908577575323283,0.8996375039391213,1.0260081805013728,1.046849918551024,52,7552
