coordinate_id,constructor,search_stratum,within_stratum_rank,round_robin_order,J_search,status
"PROD(ip,pinj)",C2,"C2:{MAG,NBI}",1,27,0.5905445032009655,IN_EXPANSION_SHORTLIST
"PROD(pinj,pinj_30l)",C2,"C2:{NBI,NBI}",1,28,0.6460319722177063,IN_EXPANSION_SHORTLIST
"PROD(cerqtit6,cerqtit10)",C2,"C2:{CER,CER}",2,29,0.870311199061866,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,cerqtit8)",C2,"C2:{CER,DEN}",2,30,0.6382812389180705,IN_EXPANSION_SHORTLIST
"PROD(ece37,cerqtit6)",C2,"C2:{CER,ECE}",2,31,0.8773150100245071,IN_EXPANSION_SHORTLIST
"PROD(fs03da,cerqtit10)",C2,"C2:{CER,FS}",2,32,0.599313854682756,IN_EXPANSION_SHORTLIST
"PROD(gasa,cerqtit3)",C2,"C2:{CER,GAS}",2,33,0.8579747474196134,IN_EXPANSION_SHORTLIST
"PROD(bt,cerqtit8)",C2,"C2:{CER,MAG}",2,34,0.7568479317402187,IN_EXPANSION_SHORTLIST
"PROD(pinj_30l,cerqtit6)",C2,"C2:{CER,NBI}",2,35,0.6789525061650791,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,prmtan_teped)",C2,"C2:{DEN,DEN}",2,36,0.9349417806739109,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,ece38)",C2,"C2:{DEN,ECE}",2,37,0.6422109632446504,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,fs03da)",C2,"C2:{DEN,FS}",2,38,0.7169634022393765,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,gasd)",C2,"C2:{DEN,GAS}",2,39,0.7157761115566115,IN_EXPANSION_SHORTLIST
"PROD(bt,prmtan_neped)",C2,"C2:{DEN,MAG}",2,40,0.49770741498444515,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,tinj)",C2,"C2:{DEN,NBI}",2,41,0.6110123138282665,IN_EXPANSION_SHORTLIST
"PROD(ece36,ece39)",C2,"C2:{ECE,ECE}",2,42,0.8958899388811707,IN_EXPANSION_SHORTLIST
"PROD(fs03da,ece36)",C2,"C2:{ECE,FS}",2,43,0.5795114455168704,IN_EXPANSION_SHORTLIST
"PROD(gasa,ece2)",C2,"C2:{ECE,GAS}",2,44,0.9203872103251742,IN_EXPANSION_SHORTLIST
"PROD(bt,ece39)",C2,"C2:{ECE,MAG}",2,45,0.8240452121511922,IN_EXPANSION_SHORTLIST
"PROD(pinj_30l,ece39)",C2,"C2:{ECE,NBI}",2,46,0.6990752891547202,IN_EXPANSION_SHORTLIST
"PROD(fs03da,fs03da)",C2,"C2:{FS,FS}",2,47,0.85506623322722,IN_EXPANSION_SHORTLIST
"PROD(fs03da,gasc)",C2,"C2:{FS,GAS}",2,48,0.8928604841883215,IN_EXPANSION_SHORTLIST
"PROD(ip,fs04)",C2,"C2:{FS,MAG}",2,49,0.7028667619305544,IN_EXPANSION_SHORTLIST
"PROD(fs05da,pinj)",C2,"C2:{FS,NBI}",2,50,0.641339791056385,IN_EXPANSION_SHORTLIST
"PROD(gasa,gasb)",C2,"C2:{GAS,GAS}",2,51,0.9114210317416578,IN_EXPANSION_SHORTLIST
"PROD(ip,gasa)",C2,"C2:{GAS,MAG}",2,52,0.9011150479400521,IN_EXPANSION_SHORTLIST
"PROD(gasd,pinj)",C2,"C2:{GAS,NBI}",2,53,0.7896223748128658,IN_EXPANSION_SHORTLIST
"PROD(bt,ip)",C2,"C2:{MAG,MAG}",2,54,0.7993967347257346,IN_EXPANSION_SHORTLIST
"PROD(bt,pinj)",C2,"C2:{MAG,NBI}",2,55,0.5962038493544247,IN_EXPANSION_SHORTLIST
"PROD(pinj,pinj)",C2,"C2:{NBI,NBI}",2,56,0.6758396253466512,IN_EXPANSION_SHORTLIST
"PROD(cerqtit8,cerqtit8)",C2,"C2:{CER,CER}",3,57,0.8734953149540916,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,cerqtit10)",C2,"C2:{CER,DEN}",3,58,0.6682938602890276,IN_EXPANSION_SHORTLIST
"PROD(ece38,cerqtit8)",C2,"C2:{CER,ECE}",3,59,0.8778671794810288,IN_EXPANSION_SHORTLIST
"PROD(fs03da,cerqtit8)",C2,"C2:{CER,FS}",3,60,0.6044374063835047,IN_EXPANSION_SHORTLIST
"PROD(gasc,cerqtit6)",C2,"C2:{CER,GAS}",3,61,0.8623096903582574,IN_EXPANSION_SHORTLIST
"PROD(ip,cerqtit6)",C2,"C2:{CER,MAG}",3,62,0.7580465834154272,IN_EXPANSION_SHORTLIST
"PROD(pinj_30l,cerqtit8)",C2,"C2:{CER,NBI}",3,63,0.6793625350449637,IN_EXPANSION_SHORTLIST
"PROD(prmtan_teped,prmtan_teped)",C2,"C2:{DEN,DEN}",3,64,1.053259506654149,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,ece36)",C2,"C2:{DEN,ECE}",3,65,0.6476914975963012,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,fs05da)",C2,"C2:{DEN,FS}",3,66,0.7445871690095882,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,gasa)",C2,"C2:{DEN,GAS}",3,67,0.9209692774204334,IN_EXPANSION_SHORTLIST
"PROD(ip,prmtan_teped)",C2,"C2:{DEN,MAG}",3,68,0.971908221549722,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,pinj_15l)",C2,"C2:{DEN,NBI}",3,69,0.6228533530940779,IN_EXPANSION_SHORTLIST
"PROD(ece38,ece39)",C2,"C2:{ECE,ECE}",3,70,0.9014988610843272,IN_EXPANSION_SHORTLIST
"PROD(fs03da,ece35)",C2,"C2:{ECE,FS}",3,71,0.588428350658794,IN_EXPANSION_SHORTLIST
"PROD(gasa,ece3)",C2,"C2:{ECE,GAS}",3,72,0.9247913807736949,IN_EXPANSION_SHORTLIST
"PROD(ip,ece38)",C2,"C2:{ECE,MAG}",3,73,0.8279624065345867,IN_EXPANSION_SHORTLIST
"PROD(pinj_30l,ece38)",C2,"C2:{ECE,NBI}",3,74,0.702940323108243,IN_EXPANSION_SHORTLIST
"PROD(fs04,fs04)",C2,"C2:{FS,FS}",3,75,0.8559841318111948,IN_EXPANSION_SHORTLIST
"PROD(fs05da,gasc)",C2,"C2:{FS,GAS}",3,76,0.9055263351643088,IN_EXPANSION_SHORTLIST
"PROD(bt,fs03da)",C2,"C2:{FS,MAG}",3,77,0.709141165993124,IN_EXPANSION_SHORTLIST
"PROD(fs03da,pinj)",C2,"C2:{FS,NBI}",3,78,0.6425249873857592,IN_EXPANSION_SHORTLIST
"PROD(gasa,gasc)",C2,"C2:{GAS,GAS}",3,79,0.9129469427042753,IN_EXPANSION_SHORTLIST
"PROD(bt,gasa)",C2,"C2:{GAS,MAG}",3,80,0.9017403092002502,IN_EXPANSION_SHORTLIST
"PROD(gasa,pinj_30l)",C2,"C2:{GAS,NBI}",3,81,0.8404177510942127,IN_EXPANSION_SHORTLIST
"PROD(ip,ip)",C2,"C2:{MAG,MAG}",3,82,0.839895640949433,IN_EXPANSION_SHORTLIST
"PROD(ip,tinj)",C2,"C2:{MAG,NBI}",3,83,0.7054901220881644,IN_EXPANSION_SHORTLIST
"PROD(pinj_30l,tinj)",C2,"C2:{NBI,NBI}",3,84,0.6821123449765498,IN_EXPANSION_SHORTLIST
"PROD(cerqtit6,cerqtit8)",C2,"C2:{CER,CER}",4,85,0.8758083766123554,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,cerqtit3)",C2,"C2:{CER,DEN}",4,86,0.6981842492895081,IN_EXPANSION_SHORTLIST
"PROD(ece37,cerqtit8)",C2,"C2:{CER,ECE}",4,87,0.8784096423635794,IN_EXPANSION_SHORTLIST
"PROD(fs03da,cerqtit12)",C2,"C2:{CER,FS}",4,88,0.6157490916803297,IN_EXPANSION_SHORTLIST
"PROD(gasa,cerqtit10)",C2,"C2:{CER,GAS}",4,89,0.8623782808636726,IN_EXPANSION_SHORTLIST
"PROD(ip,cerqtit8)",C2,"C2:{CER,MAG}",4,90,0.7597842496574146,IN_EXPANSION_SHORTLIST
"PROD(pinj_30l,cerqtit10)",C2,"C2:{CER,NBI}",4,91,0.6916239412171099,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,ece37)",C2,"C2:{DEN,ECE}",4,92,0.662254710512288,IN_EXPANSION_SHORTLIST
"PROD(prmtan_teped,fs04)",C2,"C2:{DEN,FS}",4,93,0.8277901354991284,IN_EXPANSION_SHORTLIST
"PROD(prmtan_teped,gasa)",C2,"C2:{DEN,GAS}",4,94,0.9546427684643438,IN_EXPANSION_SHORTLIST
