coordinate_id,constructor,ordered_operands,operand_roles,family_signature,role_semantics,search_stratum
LEVEL_RATE(ece14|ece30),C6,ece14|ece30,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece31),C6,ece14|ece31,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece33),C6,ece14|ece33,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece35),C6,ece14|ece35,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece36),C6,ece14|ece36,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece37),C6,ece14|ece37,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece38),C6,ece14|ece38,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece39),C6,ece14|ece39,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|cerqrott3),C6,ece14|cerqrott3,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqrott6),C6,ece14|cerqrott6,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqrott8),C6,ece14|cerqrott8,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqrott10),C6,ece14|cerqrott10,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqrott11),C6,ece14|cerqrott11,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqrott12),C6,ece14|cerqrott12,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqrott13),C6,ece14|cerqrott13,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqtit3),C6,ece14|cerqtit3,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqtit6),C6,ece14|cerqtit6,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqtit8),C6,ece14|cerqtit8,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqtit10),C6,ece14|cerqtit10,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqtit11),C6,ece14|cerqtit11,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqtit12),C6,ece14|cerqtit12,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece14|cerqtit13),C6,ece14|cerqtit13,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|bt),C6,ece15|bt,level|rate,ECE|MAG,(level_family | rate_family),C6:ECE|MAG
LEVEL_RATE(ece15|ip),C6,ece15|ip,level|rate,ECE|MAG,(level_family | rate_family),C6:ECE|MAG
LEVEL_RATE(ece15|gasa),C6,ece15|gasa,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS
LEVEL_RATE(ece15|gasb),C6,ece15|gasb,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS
LEVEL_RATE(ece15|gasc),C6,ece15|gasc,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS
LEVEL_RATE(ece15|gasd),C6,ece15|gasd,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS
LEVEL_RATE(ece15|pinj),C6,ece15|pinj,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece15|pinj_15l),C6,ece15|pinj_15l,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece15|pinj_30l),C6,ece15|pinj_30l,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece15|pinj_30r),C6,ece15|pinj_30r,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece15|pinj_33r),C6,ece15|pinj_33r,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece15|tinj),C6,ece15|tinj,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece15|ece1),C6,ece15|ece1,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece2),C6,ece15|ece2,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece3),C6,ece15|ece3,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece4),C6,ece15|ece4,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece5),C6,ece15|ece5,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece6),C6,ece15|ece6,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece7),C6,ece15|ece7,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece8),C6,ece15|ece8,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece9),C6,ece15|ece9,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece10),C6,ece15|ece10,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece11),C6,ece15|ece11,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece12),C6,ece15|ece12,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece13),C6,ece15|ece13,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece14),C6,ece15|ece14,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece15),C6,ece15|ece15,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece16),C6,ece15|ece16,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece18),C6,ece15|ece18,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece19),C6,ece15|ece19,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece20),C6,ece15|ece20,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece21),C6,ece15|ece21,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
