coordinate_id,constructor,operands,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_propagation,temporal_resolution_bound_ms,provenance_lineage,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,domain_predicate,exact_dependency_member
DOT(ece14),C1,ece14,ece14,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece14:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece15),C1,ece15,ece15,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece15:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece16),C1,ece16,ece16,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece16:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece17),C1,ece17,ece17,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece17:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece18),C1,ece18,ece18,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece18:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece19),C1,ece19,ece19,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece19:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece20),C1,ece20,ece20,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece20:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece21),C1,ece21,ece21,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece21:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece22),C1,ece22,ece22,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece22:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece23),C1,ece23,ece23,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece23:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece24),C1,ece24,ece24,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece24:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece25),C1,ece25,ece25,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece25:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece26),C1,ece26,ece26,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece26:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece27),C1,ece27,ece27,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece27:ece_te_profile,False,False,False,PRIMARY,,
