representation,learner,trajectory,rmse,r2,n
C0_matched,MLP(seed=1),traj_016,0.20508220464919089,0.999509462898391,2151
C0_matched,MLP(seed=1),traj_025,0.20936977159367506,0.9994701245503479,2141
C0_matched,MLP(seed=1),traj_029,0.2048941667370763,0.9994340828273833,2146
C0_matched,MLP(seed=1),traj_033,0.21222782232656512,0.9994945602067982,2114
C0_matched,MLP(seed=1),traj_042,0.3279952410425925,0.9985673606326189,2098
C0_matched,MLP(seed=1),traj_047,0.2183161679664697,0.999426257648086,2126
C0_matched,MLP(seed=2),traj_001,0.2805332297970394,0.9990608047400807,2110
C0_matched,MLP(seed=2),traj_009,0.22483027820168058,0.9993644347632838,2116
C0_matched,MLP(seed=2),traj_016,0.26907132006923024,0.99915559513952,2151
C0_matched,MLP(seed=2),traj_025,0.26022315903001886,0.9991814641050396,2141
C0_matched,MLP(seed=2),traj_029,0.25357990959993654,0.9991331910850151,2146
C0_matched,MLP(seed=2),traj_033,0.26498069133713525,0.9992120598097735,2114
C0_matched,MLP(seed=2),traj_042,0.344822352584412,0.998416592794004,2098
C0_matched,MLP(seed=2),traj_047,0.2611139265741303,0.9991792607912386,2126
C0_matched,MLP(seed=3),traj_001,0.21214147729170843,0.9994629206605792,2110
C0_matched,MLP(seed=3),traj_009,0.19839936485257662,0.9995050844561165,2116
C0_matched,MLP(seed=3),traj_016,0.20945830404831745,0.9994883051202061,2151
C0_matched,MLP(seed=3),traj_025,0.2072143858907325,0.9994809781447316,2141
C0_matched,MLP(seed=3),traj_029,0.1913903073780117,0.9995062199221642,2146
C0_matched,MLP(seed=3),traj_033,0.20757446548451067,0.9995164819938128,2114
C0_matched,MLP(seed=3),traj_042,0.26676255772297147,0.999052342200025,2098
C0_matched,MLP(seed=3),traj_047,0.19858034930656945,0.9995253017282696,2126
C0_matched,MLP(seed=4),traj_001,0.23765899709118243,0.9993259442952602,2110
C0_matched,MLP(seed=4),traj_009,0.20434347553909848,0.9994749845420599,2116
C0_matched,MLP(seed=4),traj_016,0.2144075493404514,0.9994638379740894,2151
C0_matched,MLP(seed=4),traj_025,0.2086868633002029,0.9994735755375362,2141
C0_matched,MLP(seed=4),traj_029,0.2053350983369059,0.9994316445026327,2146
C0_matched,MLP(seed=4),traj_033,0.22510207089448536,0.9994313778459794,2114
C0_matched,MLP(seed=4),traj_042,0.2779643516911667,0.9989710838113108,2098
C0_matched,MLP(seed=4),traj_047,0.2051007443957241,0.999493616456868,2126
C_all,STLSQ,traj_001,1.4035596429315485e-05,0.999999999997649,2110
C_all,STLSQ,traj_009,1.2202512271727487e-05,0.9999999999981278,2116
C_all,STLSQ,traj_016,1.2259483674709217e-05,0.9999999999982471,2151
C_all,STLSQ,traj_025,1.2340070602468738e-05,0.9999999999981594,2141
C_all,STLSQ,traj_029,1.098916735893758e-05,0.9999999999983721,2146
C_all,STLSQ,traj_033,1.2833861242364743e-05,0.9999999999981517,2114
C_all,STLSQ,traj_042,1.6221950244000483e-05,0.9999999999964957,2098
C_all,STLSQ,traj_047,1.2771544751227809e-05,0.9999999999980365,2126
C_all,MLP(seed=0),traj_001,0.05832372570838967,0.9999594045101609,2110
C_all,MLP(seed=0),traj_009,0.051889665075803025,0.999966145821943,2116
C_all,MLP(seed=0),traj_016,0.052777956151385544,0.9999675121447384,2151
C_all,MLP(seed=0),traj_025,0.05453602011232531,0.9999640488553965,2141
C_all,MLP(seed=0),traj_029,0.05099245706727302,0.999964948584437,2146
C_all,MLP(seed=0),traj_033,0.05552010434292642,0.9999654088227599,2114
C_all,MLP(seed=0),traj_042,0.07081867836899768,0.9999332121549066,2098
C_all,MLP(seed=0),traj_047,0.053950753740520684,0.9999649619326525,2126
C_all,MLP(seed=1),traj_001,0.048616772875697684,0.9999717928295143,2110
C_all,MLP(seed=1),traj_009,0.04747776292071605,0.9999716579647434,2116
C_all,MLP(seed=1),traj_016,0.04560897489922741,0.9999757385625729,2151
C_all,MLP(seed=1),traj_025,0.045576810469541484,0.9999748907524545,2141
C_all,MLP(seed=1),traj_029,0.04767174844547294,0.9999693651438473,2146
C_all,MLP(seed=1),traj_033,0.04935898664712123,0.9999726600783798,2114
C_all,MLP(seed=1),traj_042,0.06045675155972121,0.9999513266304875,2098
C_all,MLP(seed=1),traj_047,0.046855160323597475,0.9999735722635941,2126
C_all,MLP(seed=2),traj_001,0.05289890238257807,0.9999666050659574,2110
C_all,MLP(seed=2),traj_009,0.04887678016868022,0.9999699630580136,2116
C_all,MLP(seed=2),traj_016,0.05277236955626483,0.999967519022113,2151
C_all,MLP(seed=2),traj_025,0.04841263123026569,0.9999716689145466,2141
C_all,MLP(seed=2),traj_029,0.04825812414627196,0.9999686068744713,2146
C_all,MLP(seed=2),traj_033,0.05138673100615791,0.9999703676034652,2114
C_all,MLP(seed=2),traj_042,0.058410536660200185,0.9999545656636436,2098
C_all,MLP(seed=2),traj_047,0.049777027916412614,0.9999701734491454,2126
C_all,MLP(seed=3),traj_001,0.061396190819827834,0.999955014751606,2110
C_all,MLP(seed=3),traj_009,0.05928526122823891,0.9999558079635947,2116
C_all,MLP(seed=3),traj_016,0.05907772315489036,0.9999592935335936,2151
C_all,MLP(seed=3),traj_025,0.06101426901989199,0.9999550003988193,2141
C_all,MLP(seed=3),traj_029,0.06079197550388541,0.9999501820104784,2146
C_all,MLP(seed=3),traj_033,0.06023804725202374,0.999959280112926,2114
C_all,MLP(seed=3),traj_042,0.07198678850288591,0.9999309907362192,2098
C_all,MLP(seed=3),traj_047,0.05980639372036291,0.9999569433396521,2126
C_all,MLP(seed=4),traj_001,0.04757003848868644,0.9999729943724325,2110
C_all,MLP(seed=4),traj_009,0.0445672979615127,0.9999750262852029,2116
C_all,MLP(seed=4),traj_016,0.04697267174300786,0.9999742660512538,2151
C_all,MLP(seed=4),traj_025,0.04767702744412342,0.9999725233247896,2141
C_all,MLP(seed=4),traj_029,0.0448239991456637,0.9999729158702099,2146
C_all,MLP(seed=4),traj_033,0.04693710614925229,0.9999752772136564,2114
C_all,MLP(seed=4),traj_042,0.05919368095604932,0.9999533391666668,2098
C_all,MLP(seed=4),traj_047,0.046691460428897644,0.9999737566044561,2126
C_star,STLSQ,traj_001,3.5033930257632395e-05,0.9999999999853525,2110
C_star,STLSQ,traj_009,3.1604699739871024e-05,0.999999999987441,2116
C_star,STLSQ,traj_016,3.367238302122973e-05,0.999999999986776,2151
C_star,STLSQ,traj_025,3.353100274111667e-05,0.9999999999864094,2141
C_star,STLSQ,traj_029,2.9060466490686757e-05,0.9999999999886159,2146
C_star,STLSQ,traj_033,3.485670937887429e-05,0.9999999999863656,2114
C_star,STLSQ,traj_042,3.421857518916936e-05,0.9999999999844071,2098
C_star,STLSQ,traj_047,3.3392832589363455e-05,0.999999999986577,2126
C_star,MLP(seed=0),traj_001,0.03146575101310854,0.9999881841907299,2110
C_star,MLP(seed=0),traj_009,0.02837906520485614,0.9999898737951044,2116
C_star,MLP(seed=0),traj_016,0.02750210750676787,0.9999911783899463,2151
C_star,MLP(seed=0),traj_025,0.029067515575061407,0.9999897868039811,2141
C_star,MLP(seed=0),traj_029,0.028331422938026908,0.9999891799203258,2146
C_star,MLP(seed=0),traj_033,0.028809390069875533,0.9999906860710006,2114
C_star,MLP(seed=0),traj_042,0.03184363996153847,0.9999864964733504,2098
C_star,MLP(seed=0),traj_047,0.029184409013893874,0.9999897470953991,2126
C_star,MLP(seed=1),traj_001,0.028526849522227817,0.9999902883082162,2110
C_star,MLP(seed=1),traj_009,0.026359271496400175,0.9999912639050507,2116
C_star,MLP(seed=1),traj_016,0.028513989815526608,0.9999905173027338,2151
C_star,MLP(seed=1),traj_025,0.02681246507951034,0.9999913100089852,2141
C_star,MLP(seed=1),traj_029,0.027239478155580615,0.9999899978986595,2146
C_star,MLP(seed=1),traj_033,0.027542538003909857,0.999991487194515,2114
C_star,MLP(seed=1),traj_042,0.03222562853167173,0.999986170560166,2098
