coordinate_id,constructor
"PROD(ece3,cerqtit3)",C2
"PROD(ece3,cerqtit6)",C2
"PROD(ece3,cerqtit8)",C2
"PROD(ece3,cerqtit10)",C2
"PROD(ece3,cerqtit11)",C2
"PROD(ece3,cerqtit12)",C2
"PROD(ece4,ece4)",C2
"PROD(ece4,ece5)",C2
"PROD(ece4,ece6)",C2
"PROD(ece4,ece7)",C2
"PROD(ece4,ece8)",C2
"PROD(ece4,ece9)",C2
"PROD(ece4,ece10)",C2
"PROD(ece4,ece11)",C2
"PROD(ece4,ece12)",C2
"PROD(ece4,ece13)",C2
"PROD(ece4,ece14)",C2
"PROD(ece4,ece15)",C2
"PROD(ece4,ece16)",C2
"PROD(ece4,ece18)",C2
"PROD(ece4,ece19)",C2
"PROD(ece4,ece20)",C2
"PROD(ece4,ece21)",C2
"PROD(ece4,ece22)",C2
"PROD(ece4,ece25)",C2
"PROD(ece4,ece27)",C2
"PROD(ece4,ece28)",C2
"PROD(ece4,ece29)",C2
"PROD(ece4,ece30)",C2
"PROD(ece4,ece31)",C2
"PROD(ece4,ece33)",C2
"PROD(ece4,ece35)",C2
"PROD(ece4,ece36)",C2
"PROD(ece4,ece37)",C2
"PROD(ece4,ece38)",C2
"PROD(ece4,ece39)",C2
"PROD(ece4,cerqrott3)",C2
"PROD(ece4,cerqrott6)",C2
"PROD(ece4,cerqrott8)",C2
"PROD(ece4,cerqrott10)",C2
"PROD(ece4,cerqrott11)",C2
"PROD(ece4,cerqrott12)",C2
"PROD(ece4,cerqtit3)",C2
"PROD(ece4,cerqtit6)",C2
"PROD(ece4,cerqtit8)",C2
"PROD(ece4,cerqtit10)",C2
"PROD(ece4,cerqtit11)",C2
"PROD(ece4,cerqtit12)",C2
"PROD(ece5,ece5)",C2
"PROD(ece5,ece6)",C2
"PROD(ece5,ece7)",C2
"PROD(ece5,ece8)",C2
"PROD(ece5,ece9)",C2
"PROD(ece5,ece10)",C2
"PROD(ece5,ece11)",C2
"PROD(ece5,ece12)",C2
"PROD(ece5,ece13)",C2
"PROD(ece5,ece14)",C2
"PROD(ece5,ece15)",C2
"PROD(ece5,ece16)",C2
"PROD(ece5,ece18)",C2
"PROD(ece5,ece19)",C2
"PROD(ece5,ece20)",C2
"PROD(ece5,ece21)",C2
"PROD(ece5,ece22)",C2
"PROD(ece5,ece25)",C2
"PROD(ece5,ece27)",C2
"PROD(ece5,ece28)",C2
"PROD(ece5,ece29)",C2
"PROD(ece5,ece30)",C2
"PROD(ece5,ece31)",C2
"PROD(ece5,ece33)",C2
"PROD(ece5,ece35)",C2
"PROD(ece5,ece36)",C2
"PROD(ece5,ece37)",C2
"PROD(ece5,ece38)",C2
"PROD(ece5,ece39)",C2
"PROD(ece5,cerqrott3)",C2
"PROD(ece5,cerqrott6)",C2
"PROD(ece5,cerqrott8)",C2
"PROD(ece5,cerqrott10)",C2
"PROD(ece5,cerqrott11)",C2
"PROD(ece5,cerqrott12)",C2
"PROD(ece5,cerqtit3)",C2
"PROD(ece5,cerqtit6)",C2
"PROD(ece5,cerqtit8)",C2
"PROD(ece5,cerqtit10)",C2
"PROD(ece5,cerqtit11)",C2
"PROD(ece5,cerqtit12)",C2
"PROD(ece6,ece6)",C2
"PROD(ece6,ece7)",C2
"PROD(ece6,ece8)",C2
"PROD(ece6,ece9)",C2
"PROD(ece6,ece10)",C2
"PROD(ece6,ece11)",C2
"PROD(ece6,ece12)",C2
"PROD(ece6,ece13)",C2
"PROD(ece6,ece14)",C2
"PROD(ece6,ece15)",C2
"PROD(ece6,ece16)",C2
"PROD(ece6,ece18)",C2
"PROD(ece6,ece19)",C2
"PROD(ece6,ece20)",C2
"PROD(ece6,ece21)",C2
"PROD(ece6,ece22)",C2
"PROD(ece6,ece25)",C2
"PROD(ece6,ece27)",C2
"PROD(ece6,ece28)",C2
"PROD(ece6,ece29)",C2
"PROD(ece6,ece30)",C2
"PROD(ece6,ece31)",C2
"PROD(ece6,ece33)",C2
"PROD(ece6,ece35)",C2
"PROD(ece6,ece36)",C2
"PROD(ece6,ece37)",C2
"PROD(ece6,ece38)",C2
"PROD(ece6,ece39)",C2
"PROD(ece6,cerqrott3)",C2
"PROD(ece6,cerqrott6)",C2
"PROD(ece6,cerqrott8)",C2
"PROD(ece6,cerqrott10)",C2
"PROD(ece6,cerqrott11)",C2
"PROD(ece6,cerqrott12)",C2
"PROD(ece6,cerqtit3)",C2
"PROD(ece6,cerqtit6)",C2
"PROD(ece6,cerqtit8)",C2
"PROD(ece6,cerqtit10)",C2
"PROD(ece6,cerqtit11)",C2
"PROD(ece6,cerqtit12)",C2
"PROD(ece7,ece7)",C2
"PROD(ece7,ece8)",C2
"PROD(ece7,ece9)",C2
"PROD(ece7,ece10)",C2
