canonical_run_id,realization_index,shot,n_samples,mse,rmse,mae,r2,residual_mean,residual_std,coefficient_fit_type
D3D-SIR-62-ALIGNED-V1,52,195642,1000,0.002572872961361228,0.050723495161130484,0.03094961950776259,0.9974271270386388,-1.5765166949677222e-16,0.05072349516113049,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,53,195645,1000,0.0030724842608405183,0.055429994234534416,0.03338957514300508,0.9969275157391595,-1.999733711954832e-15,0.055429994234534416,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,54,195647,1000,0.002355700020145352,0.048535554186033066,0.0299443594735637,0.9976442999798546,-8.146816554699399e-16,0.04853555418603307,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,55,195648,1000,0.002043285470592245,0.04520271530109939,0.026230819633826917,0.9979567145294077,1.7746082381364658e-15,0.045202715301099386,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,56,195649,1000,0.0016431342546850342,0.04053559244275374,0.023261603615245055,0.998356865745315,-8.787415239908114e-16,0.04053559244275374,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,57,195650,1000,0.0020844210000406063,0.04565545969586339,0.026233458353338544,0.9979155789999594,-1.0471068456752164e-15,0.04565545969586339,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,58,195651,1000,0.0030193719777431064,0.05494881234151568,0.03324353065256098,0.9969806280222568,1.0605960554244121e-15,0.05494881234151568,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,59,195652,1000,0.004432414976409058,0.06657638452491287,0.03672067154766352,0.995567585023591,-2.552846822823085e-15,0.06657638452491285,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,60,195655,1000,0.0025969715606865154,0.05096049019276125,0.02976223645630286,0.9974030284393135,9.89097692638552e-16,0.050960490192761256,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,61,195659,1000,0.002208967555599399,0.04699965484553476,0.02974437564251289,0.9977910324444006,-1.259325976832315e-15,0.046999654845534755,per_discharge_calibrated_1_8*
