regime,representation,learner,trajectory,rmse,nrmse,n
clean,C*_robust,STLSQ,conf_001,1.1423147677802103e-05,1.2353452426658992e-06,2123
clean,C*_robust,STLSQ,conf_002,9.467291277263218e-06,1.2451320539038715e-06,2139
clean,C*_robust,STLSQ,conf_003,1.293621779974234e-05,1.6151123455003061e-06,2072
clean,C*_robust,STLSQ,conf_004,1.2349759953694517e-05,1.3730388452068086e-06,2092
clean,C*_robust,STLSQ,conf_005,1.2139536824990871e-05,1.397144581727135e-06,2027
clean,C*_robust,STLSQ,conf_006,1.3171964014666498e-05,1.4241822724679242e-06,2090
clean,C*_robust,STLSQ,conf_007,1.706087999847389e-05,2.131674967169532e-06,2047
clean,C*_robust,STLSQ,conf_008,1.1965148531875635e-05,1.3843433794885192e-06,2111
clean,C*_robust,STLSQ,conf_009,1.2797992907728567e-05,1.4338318391414436e-06,2099
clean,C*_robust,STLSQ,conf_010,1.8071590298565718e-05,2.139108106796798e-06,2085
clean,C*_robust,STLSQ,conf_011,1.2299143249985864e-05,1.3787664575703147e-06,2096
clean,C*_robust,STLSQ,conf_012,1.1624028811768222e-05,1.2475274247483209e-06,2115
clean,C*_robust,STLSQ,conf_013,1.1927440333824615e-05,1.3140853091501849e-06,2123
clean,C*_robust,STLSQ,conf_014,2.084607534649262e-05,2.5003832980232735e-06,2074
clean,C*_robust,STLSQ,conf_015,1.7642163245603848e-05,1.8517520401028646e-06,2077
clean,C*_robust,STLSQ,conf_016,1.3327324195419921e-05,1.5633833761819823e-06,2117
clean,C*_robust,STLSQ,conf_017,1.2664291723013348e-05,1.426954369653762e-06,2100
clean,C*_robust,STLSQ,conf_018,1.1561389701255246e-05,1.2290379274641491e-06,2133
clean,C*_robust,STLSQ,conf_019,1.1806603234636002e-05,1.2434745141181949e-06,2110
clean,C*_robust,STLSQ,conf_020,1.3526020819901625e-05,1.525447361966469e-06,2118
clean,C*_robust,STLSQ,conf_021,1.1674875498638991e-05,1.3384763765860139e-06,2120
clean,C*_robust,STLSQ,conf_022,1.0814026132333392e-05,1.2228391676019394e-06,2129
clean,C*_robust,STLSQ,conf_023,1.2945276068135587e-05,1.373568303052613e-06,2107
noise_0.01,C0_matched,STLSQ,conf_000,8.681130808766548,1.0000006743002776,2397
noise_0.01,C0_matched,STLSQ,conf_001,8.883988156996205,1.000500449381864,2397
noise_0.01,C0_matched,STLSQ,conf_002,7.410591802607785,1.007864256973352,2397
noise_0.01,C0_matched,STLSQ,conf_003,7.96710133541846,1.0021835180152268,2397
noise_0.01,C0_matched,STLSQ,conf_004,8.699386426984963,1.0000045908620534,2397
noise_0.01,C0_matched,STLSQ,conf_005,8.597437658754647,1.0000042021801199,2397
noise_0.01,C0_matched,STLSQ,conf_006,8.940158463323911,1.0001075086422655,2397
noise_0.01,C0_matched,STLSQ,conf_007,8.08908212322839,1.0009172370775168,2397
noise_0.01,C0_matched,STLSQ,conf_008,8.385856810369024,1.0002709104228975,2397
noise_0.01,C0_matched,STLSQ,conf_009,8.645875712941926,1.0000189405816275,2397
noise_0.01,C0_matched,STLSQ,conf_010,8.356248891720279,1.0010575240102728,2397
noise_0.01,C0_matched,STLSQ,conf_011,8.616984317839675,1.0000441310434707,2397
noise_0.01,C0_matched,STLSQ,conf_012,8.93195886339964,1.0000222612284444,2397
noise_0.01,C0_matched,STLSQ,conf_013,8.775397357988865,1.0009234574506722,2397
noise_0.01,C0_matched,STLSQ,conf_014,8.275395534757081,1.0004540302414682,2397
noise_0.01,C0_matched,STLSQ,conf_015,9.243763802574575,1.0007880603662425,2397
noise_0.01,C0_matched,STLSQ,conf_016,8.332895131345198,1.0004765279586636,2397
noise_0.01,C0_matched,STLSQ,conf_017,8.614895450874803,1.0000009576735782,2397
noise_0.01,C0_matched,STLSQ,conf_018,9.045328007695343,1.0006188395660411,2397
noise_0.01,C0_matched,STLSQ,conf_019,9.14198288516561,1.003350367984149,2397
noise_0.01,C0_matched,STLSQ,conf_020,8.656354329101582,1.000053607150614,2397
noise_0.01,C0_matched,STLSQ,conf_021,8.429926157082601,1.0003633836665948,2397
noise_0.01,C0_matched,STLSQ,conf_022,8.520369465583794,1.0000158029914734,2397
noise_0.01,C0_matched,STLSQ,conf_023,9.102683509249017,1.0004855143694533,2397
noise_0.01,C0_poly2,STLSQ,conf_000,3.322657259096113,0.38274501015575907,2397
noise_0.01,C0_poly2,STLSQ,conf_001,2.8191436574635675,0.3174874219010664,2397
noise_0.01,C0_poly2,STLSQ,conf_002,2.245602868711643,0.30540919362672847,2397
noise_0.01,C0_poly2,STLSQ,conf_003,2.864392938608899,0.3603126496497943,2397
noise_0.01,C0_poly2,STLSQ,conf_004,3.0337315283460615,0.3487309687012549,2397
noise_0.01,C0_poly2,STLSQ,conf_005,3.06396374477338,0.3563825341589902,2397
noise_0.01,C0_poly2,STLSQ,conf_006,3.1418673944981386,0.35147085874221085,2397
noise_0.01,C0_poly2,STLSQ,conf_007,3.282888541959595,0.4062141636089877,2397
noise_0.01,C0_poly2,STLSQ,conf_008,2.8279765173336764,0.3373230320544254,2397
noise_0.01,C0_poly2,STLSQ,conf_009,2.9720151920448066,0.3437559805876327,2397
noise_0.01,C0_poly2,STLSQ,conf_010,3.1204227614376743,0.3738187701093024,2397
noise_0.01,C0_poly2,STLSQ,conf_011,3.0015762804698505,0.34834794081599413,2397
noise_0.01,C0_poly2,STLSQ,conf_012,2.933655163380327,0.3284520803347584,2397
noise_0.01,C0_poly2,STLSQ,conf_013,2.9760249177167157,0.3394459565285189,2397
noise_0.01,C0_poly2,STLSQ,conf_014,3.1847685423883045,0.3850226264395898,2397
noise_0.01,C0_poly2,STLSQ,conf_015,3.39283243179964,0.36732939753639376,2397
noise_0.01,C0_poly2,STLSQ,conf_016,2.913519501592792,0.3498073393637983,2397
noise_0.01,C0_poly2,STLSQ,conf_017,2.975628414183465,0.34540538313346725,2397
noise_0.01,C0_poly2,STLSQ,conf_018,2.9429591230331575,0.3255581599776648,2397
noise_0.01,C0_poly2,STLSQ,conf_019,3.0940334940867147,0.339576182086776,2397
noise_0.01,C0_poly2,STLSQ,conf_020,3.135707430482418,0.3622628427166508,2397
noise_0.01,C0_poly2,STLSQ,conf_021,2.8105337707163844,0.3335207237160532,2397
noise_0.01,C0_poly2,STLSQ,conf_022,2.7372623812472177,0.3212660729371007,2397
noise_0.01,C0_poly2,STLSQ,conf_023,3.0987882159077476,0.3405910706402492,2397
noise_0.01,C0_poly3,STLSQ,conf_000,3.3017401956629104,0.3803355224981763,2397
noise_0.01,C0_poly3,STLSQ,conf_001,2.8296881564599867,0.3186749264089507,2397
noise_0.01,C0_poly3,STLSQ,conf_002,2.2495167734257016,0.30594149722292857,2397
noise_0.01,C0_poly3,STLSQ,conf_003,2.8577480321505284,0.3594767853308949,2397
noise_0.01,C0_poly3,STLSQ,conf_004,3.043874318910833,0.3498968942770474,2397
noise_0.01,C0_poly3,STLSQ,conf_005,3.0368330667122634,0.3532268506697955,2397
noise_0.01,C0_poly3,STLSQ,conf_006,3.1218002117867685,0.349226005903274,2397
noise_0.01,C0_poly3,STLSQ,conf_007,3.280540290103614,0.4059235984096431,2397
noise_0.01,C0_poly3,STLSQ,conf_008,2.8246095556676356,0.3369214184939738,2397
noise_0.01,C0_poly3,STLSQ,conf_009,2.9610315978273847,0.34248557113256234,2397
noise_0.01,C0_poly3,STLSQ,conf_010,3.1344481827479687,0.3754989801786789,2397
noise_0.01,C0_poly3,STLSQ,conf_011,3.036811869365796,0.35243720715088805,2397
noise_0.01,C0_poly3,STLSQ,conf_012,2.9235940873368613,0.32732564209548193,2397
noise_0.01,C0_poly3,STLSQ,conf_013,2.9869660274723238,0.3406939015454999,2397
noise_0.01,C0_poly3,STLSQ,conf_014,3.2110931770045745,0.3882051434184903,2397
noise_0.01,C0_poly3,STLSQ,conf_015,3.4300304691973404,0.37135669123317855,2397
noise_0.01,C0_poly3,STLSQ,conf_016,2.9432610264279444,0.35337821083574805,2397
noise_0.01,C0_poly3,STLSQ,conf_017,2.9696728592619266,0.34471407345258065,2397
