shot,signal,rel_scatter_ip_removed,abs_corr_with_ip_form
195266,q95,0.08318765134943748,0.6515522948510537
195266,betan,0.46070306147592094,0.517542204505955
195266,li,,0.4142829176569152
195266,kappa,,0.0739655703789579
195266,pcdiamag3,,0.4043673211036403
195266,pinj,,0.47115227670996507
195266,density,,0.5484716298146882
195267,q95,0.09482436807793847,0.5338702445719682
195267,betan,0.4705680255157893,0.5128582707850597
195267,li,,0.2141028084289794
195267,kappa,,0.2041417458897784
195267,pcdiamag3,,0.4065567587750491
195267,pinj,,0.4235572119444127
195267,density,,0.5278743559377697
195268,q95,0.09406404567298196,0.534990166927299
195268,betan,0.4736118497649248,0.5072595325585265
195268,li,,0.23157465874072083
195268,kappa,,0.45601675343084186
195268,pcdiamag3,,0.40646876387941816
195268,pinj,,0.4130639703173937
195268,density,,0.5258624073844629
195269,q95,0.08471235905990458,0.5056872640858712
195269,betan,0.46041380512940777,0.516113228556869
195269,li,,0.32207868738567397
195269,kappa,,0.6666026270445914
195269,pcdiamag3,,0.4044810005339873
195269,pinj,,0.4825266838084807
195269,density,,0.570671524812389
195273,q95,0.09181454967894669,0.43610522344100267
195273,betan,0.48684206115027,0.4962199903299818
195273,li,,0.3214753818966651
195273,kappa,,0.671111664475187
195273,pcdiamag3,,0.388724024441349
195273,pinj,,0.4733914744160112
195273,density,,0.5270839056467258
195274,q95,0.0861438541694584,0.5645757442551811
195274,betan,0.4742213961935792,0.5138223332128043
195274,li,,0.16411507810477025
195274,kappa,,0.4690714000232703
195274,pcdiamag3,,0.39668341137756813
195274,pinj,,0.46965164881186716
195274,density,,0.5484777700824985
195626,q95,0.07502777256012116,0.9293136734945525
195626,betan,0.42639615923052815,0.6844753041965717
195626,li,,0.4569843744483119
195626,kappa,,0.6639696961461763
195626,pcdiamag3,,0.5649331648875832
195626,pinj,,0.6766769476175609
195626,density,,0.7492490970009908
195638,q95,0.09120099112784419,0.9340259192985597
195638,betan,0.4539476682955994,0.6837933773713751
195638,li,,0.30599060683722784
195638,kappa,,0.6970710263175726
195638,pcdiamag3,,0.5637714072295168
195638,pinj,,0.6712247188687076
195638,density,,0.7321680015212575
195642,q95,0.07778969482005875,0.9812086697405158
195642,betan,0.46743466116981197,0.7503313397098438
195642,li,,0.6668265444971698
195642,kappa,,0.741709937487152
195642,pcdiamag3,,0.605196222826207
195642,pinj,,0.7477354907413343
195642,density,,0.8307044441251844
195645,q95,0.07397010668109928,0.9791594416449716
195645,betan,0.4883666897055062,0.7210546988609171
195645,li,,0.5707158447892529
195645,kappa,,0.695204895044372
195645,pcdiamag3,,0.5537645807594859
195645,pinj,,0.7202894294236168
195645,density,,0.8144743424809112
195647,q95,0.07005191977561574,0.9806730831336915
195647,betan,0.45322413073082135,0.7726334181393937
195647,li,,0.5668027242742184
195647,kappa,,0.7104503796431548
195647,pcdiamag3,,0.5892653685917771
195647,pinj,,0.7640860110673584
195647,density,,0.8370196420101802
195648,q95,0.06816906172875298,0.9820770497535071
195648,betan,0.46018272378755287,0.7625895134523747
195648,li,,0.5597315877244038
195648,kappa,,0.6828146590435354
195648,pcdiamag3,,0.5820376283198615
195648,pinj,,0.7466380393698707
195648,density,,0.8144862101125048
195649,q95,0.09695463787208472,0.9786088472366945
195649,betan,0.46216439771156886,0.7599469821132292
195649,li,,0.9248730031314893
195649,kappa,,0.8248151662720378
195649,pcdiamag3,,0.615740174260407
195649,pinj,,0.7094657243904141
195649,density,,0.8105195163158216
195650,q95,0.08501246977089952,0.9684083491025851
195650,betan,0.4608672460727001,0.7620268345135724
195650,li,,0.8942791862829989
195650,kappa,,0.7804392605528901
195650,pcdiamag3,,0.5580709041782594
195650,pinj,,0.7604400823616756
195650,density,,0.8118569499260557
195651,q95,0.08681028611373431,0.8951136542987463
195651,betan,0.4499550090210939,0.6429767793617442
195651,li,,0.20082736059894685
195651,kappa,,0.7185970386722856
195651,pcdiamag3,,0.5261165488756866
195651,pinj,,0.6721145165618697
195651,density,,0.707845048363417
195652,q95,0.09048422933007799,0.8861331123078893
195652,betan,0.45946118763798743,0.6247840857945409
195652,li,,0.24153460224531603
195652,kappa,,0.7106844181708613
195652,pcdiamag3,,0.49594223992541886
195652,pinj,,0.6517024429809679
195652,density,,0.7057248226723231
195655,q95,0.07754997798978396,0.923624093464503
195655,betan,0.4314036543961987,0.6618088468018559
195655,li,,0.007034077431109798
195655,kappa,,0.6630768126867489
195655,pcdiamag3,,0.5226307542755592
195655,pinj,,0.6549238523310387
195655,density,,0.6876176011360691
195659,q95,0.06924044593503655,0.9810868299954927
195659,betan,0.5150657265099009,0.7656194685465122
195659,li,,0.30773989758655124
195659,kappa,,0.6258203269906947
195659,pcdiamag3,,0.5789235683386131
195659,pinj,,0.7471321631775867
195659,density,,0.8351593778247831
