realization_index,shot,retained_rank,n_directions_removed,relative_coefficient_change,max_abs_coefficient_change,relative_prediction_change,prediction_correlation,rmse,rmse_canonical,absolute_rmse_change,relative_rmse_change,r2,r2_change,n_sign_changes,reconstruction_label,sensitivity_class
24,170394,6,1,0.8673599939936958,1.5083365897705008,0.11103369275382936,0.9938166425822471,0.17184615398582026,0.13197480505839873,0.03987134892742153,0.30211333829800463,0.9704688993602817,-0.012113751469515988,3,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
24,170394,5,2,0.8749793550420841,1.5874387268584291,0.11781541396917868,0.9930355120695694,0.17622729617028196,0.13197480505839873,0.04425249111188323,0.3353101456925904,0.9689439400845117,-0.013638710745285998,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
24,170394,4,3,0.9322003508620154,1.7015430214929212,0.30510766431433184,0.9523178635186119,0.3299797614955388,0.13197480505839873,0.19800495643714008,1.5003239167470002,0.8911133570033473,-0.09146929382645042,1,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
25,170396,7,0,2.776963302778307e-15,5.384581669432009e-15,5.143776506482921e-15,1.0,0.10855730909459962,0.10855730909459965,2.7755575615628914e-17,2.556767098145527e-16,0.9882153106421395,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
25,170396,6,1,0.8831809609830679,1.6471803216782965,0.1045402630366335,0.9945206550918044,0.15028161901144851,0.10855730909459965,0.04172430991684886,0.3843528387433483,0.9774154349872979,-0.01079987565484164,3,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
25,170396,5,2,0.8832535550134124,1.65269117154054,0.10458464643274297,0.9945159886751633,0.15031213292596945,0.10855730909459965,0.0417548238313698,0.38463392451063044,0.9774062626952457,-0.010809047946893857,3,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
25,170396,4,3,0.9398104418562172,1.786850011015296,0.3061052384706535,0.9519976801341609,0.323080293533609,0.10855730909459965,0.21452298443900936,1.9761265844574913,0.895619123930237,-0.0925961867119025,1,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
26,170411,7,0,2.5799004174638338e-15,4.690692279041286e-15,3.3658626433484413e-15,1.0,0.0784188841630967,0.07841888416309672,2.7755575615628914e-17,3.539399458668924e-16,0.9938504786066148,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
26,170411,6,1,0.9288095048629186,2.2625674000179914,0.15110664812986677,0.9885174661537133,0.16983028920966262,0.07841888416309672,0.09141140504656589,1.165681022143161,0.9711576728669623,-0.02269280573965249,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
26,170411,5,2,0.9288106773815681,2.262030417279115,0.15110766424231659,0.9885173108283094,0.1698311877375443,0.07841888416309672,0.09141230357444757,1.1656924801980832,0.971157367671655,-0.022693110934959848,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
26,170411,4,3,0.9551268102868766,2.3811289693919533,0.2984392398728765,0.9544286354170758,0.30768130937789023,0.07841888416309672,0.2292624252147935,2.923561431172207,0.905332211859507,-0.08851826674710783,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
27,186997,7,0,1.1215889172437008e-15,2.220446049250313e-15,3.1024085661733676e-15,0.9999999999999999,0.06297609135611881,0.06297609135611883,1.3877787807814457e-17,2.2036597554677956e-16,0.9960340119175057,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
27,186997,6,1,0.9342268088468045,2.314875899516408,0.13163730075132365,0.9912979476680585,0.1456902292097438,0.06297609135611883,0.08271413785362498,1.3134212694447744,0.9787743571128124,-0.01725965480469338,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
27,186997,5,2,0.9387132998776736,2.365271300015354,0.13634531099407024,0.9906613731088594,0.14994100179831046,0.06297609135611883,0.08696491044219164,1.380919465935395,0.977517695979719,-0.018516315937786687,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
27,186997,4,3,0.960988676200054,2.4758679761244458,0.26653281042170396,0.9638258457671232,0.2733568809366337,0.06297609135611883,0.21038078958051487,3.340645394945914,0.925276015644595,-0.07075799627291068,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
28,187017,7,0,4.343635388777802e-15,4.884981308350689e-15,5.690052809923032e-15,0.9999999999999998,0.04936402357206995,0.04936402357206991,3.469446951953614e-17,7.028290444939646e-16,0.9975631931767761,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
28,187017,6,1,0.8518147066101283,1.4540325417553022,0.059833847435843183,0.9982083503462712,0.07751239988652221,0.04936402357206991,0.0281483763144523,0.5702204617367949,0.9939918278638319,-0.003571365312944219,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
28,187017,5,2,0.8567883169605721,1.4876200850032175,0.061544809831423,0.9981043213927153,0.07883743014699787,0.04936402357206991,0.02947340657492796,0.5970624848255557,0.9937846596078173,-0.003778533568958853,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
28,187017,4,3,0.896711227910284,1.554670027715093,0.2569893962236261,0.9664142229026927,0.2613798408865825,0.04936402357206991,0.21201581731451258,4.294946035040517,0.9316805787781048,-0.06588261439867127,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
29,187018,7,0,1.3393249476308497e-15,2.220446049250313e-15,2.2832392769791484e-15,0.9999999999999999,0.05050638764529572,0.05050638764529572,0.0,0.0,0.9974491048070231,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
29,187018,6,1,0.8792815814651059,1.6358669238881727,0.0684745118842023,0.9976528660923201,0.085015842279715,0.05050638764529572,0.034509454634419276,0.6832691119542557,0.9927723065614706,-0.004676798245552449,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
29,187018,5,2,0.8821990929187378,1.6533040199134637,0.06968378955222922,0.9975691301727622,0.08599034250768312,0.05050638764529572,0.035483954862387396,0.702563705636385,0.9926056609954114,-0.004843443811611725,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
29,187018,4,3,0.9050520860303182,1.7103096602562546,0.20730041835843208,0.9782773311021884,0.2131073387830967,0.05050638764529572,0.162600951137801,3.219413597340153,0.9545852621567864,-0.04286384265023668,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
30,187019,7,0,4.5598738050255754e-15,7.049916206369744e-15,4.8193308135667975e-15,0.9999999999999997,0.042524365610462224,0.04252436561046221,1.3877787807814457e-17,3.2634908501491665e-16,0.9981916783294278,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
30,187019,6,1,0.8670046123233417,1.6172828504055168,0.07197166378168267,0.9974066771445311,0.08353966181274164,0.04252436561046221,0.04101529620227943,0.9645128296090919,0.9930211249042128,-0.0051705534252149965,1,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
30,187019,5,2,0.8865087498745876,1.7247970868736602,0.08249816237098813,0.9965912167009137,0.0927467580246592,0.04252436561046221,0.050222392414196994,1.1810262585513955,0.9913980388759153,-0.006793639453512523,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
30,187019,4,3,0.9168641995559262,1.785143062217541,0.28584635642168504,0.9582754617125733,0.28873639630438347,0.04252436561046221,0.24621203069392125,5.78990485006413,0.9166312934491581,-0.08156038488026973,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
31,187020,7,0,2.390620480366632e-15,4.218847493575595e-15,1.777147018586024e-15,1.0,0.06682150702583198,0.066821507025832,2.7755575615628914e-17,4.153688961983256e-16,0.9955348861987967,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
31,187020,6,1,0.832910801455746,1.516192065226661,0.07157622631737202,0.9974351326407973,0.09780283482446439,0.066821507025832,0.030981327798632385,0.4636430571171508,0.9904346055002985,-0.005100280698498216,1,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
31,187020,5,2,0.872685766155362,1.6654800693459666,0.10013514338196428,0.9949738454149811,0.12019729129914762,0.066821507025832,0.053375784273315616,0.7987815098614984,0.9855526111643479,-0.009982275034448818,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
31,187020,4,3,0.9087937706404956,1.7460887052297216,0.26661759211325514,0.9638023965397319,0.2742857121268389,0.066821507025832,0.20746420510100688,3.104751962879284,0.9247673481230728,-0.07076753807572389,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
32,187021,7,0,3.826134584006378e-15,7.327471962526033e-15,3.080840215049429e-15,1.0,0.05522718036787743,0.05522718036787745,2.0816681711721685e-17,3.769282004451055e-16,0.9969499585486139,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
32,187021,6,1,0.8393820279884433,1.479828643454077,0.06642273498558506,0.997791571560431,0.08630506620884773,0.05522718036787745,0.03107788584097028,0.562728092108899,0.9925514355466865,-0.004398523001927446,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
32,187021,5,2,0.8734423989223048,1.584050282473962,0.08298230665975728,0.9965510206614733,0.0995746046525243,0.05522718036787745,0.044347424284646844,0.8029999719203562,0.9900848981082935,-0.006865060440320425,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
32,187021,4,3,0.9067981944408274,1.6492804749812806,0.2615788813051754,0.9651821013959664,0.26695478652950144,0.05522718036787745,0.211727606161624,3.833757304850027,0.9287351419489883,-0.06821481659962558,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
33,187022,7,0,3.9894485139220204e-15,6.494804694057166e-15,7.956917988623713e-15,1.0,0.04272735858051118,0.04272735858051121,2.7755575615628914e-17,6.495972729820965e-16,0.9981743728287324,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
33,187022,6,1,0.89429640288002,1.8392069153706332,0.09762780214755155,0.9952229962414656,0.10648668709324291,0.04272735858051121,0.0637593285127317,1.492236605091991,0.9886605854719057,-0.00951378735682673,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
33,187022,5,2,0.9028191989323525,1.894563515744661,0.1022772192421352,0.9947559351037307,0.11075720986729937,0.04272735858051121,0.06802985128678815,1.5921848096132092,0.987732840462411,-0.010441532366321393,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
33,187022,4,3,0.9232429783577791,1.9801764483404827,0.23746808298417363,0.9713953415390779,0.24106797485466128,0.04272735858051121,0.19834061627415006,4.642005096112178,0.9418862314994724,-0.05628814132926008,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
34,187024,7,0,4.238255649009732e-15,3.9968028886505635e-15,3.7653447110635664e-15,0.9999999999999999,0.08506330234502979,0.0850633023450298,1.3877787807814457e-17,1.6314659112955499e-16,0.9927642345941581,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
34,187024,6,1,0.6547428297033666,0.7970235486607524,0.04561894151517588,0.9989589141576519,0.09644581363396035,0.0850633023450298,0.011382511288930544,0.13381224306059972,0.9906982050324834,-0.002066029561674676,1,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
34,187024,5,2,0.7418123383257378,1.0407988701642796,0.09709943181197588,0.9952746858741016,0.1288248582360863,0.0850633023450298,0.0437615558910565,0.5144586993995648,0.9834041559004523,-0.009360078693705809,2,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
34,187024,4,3,0.7981567430110715,1.100418771947247,0.22965552636827652,0.9732719759699803,0.24412251004921773,0.0850633023450298,0.1590592077041879,1.8698922251926864,0.9404042000872695,-0.05236003450688853,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
35,189646,7,0,3.891349352893119e-15,3.885780586188048e-15,2.6549901231807548e-15,1.0,0.025880577363215366,0.02588057736321534,2.42861286636753e-17,9.383920738257096e-16,0.9993301957153466,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
