feature,display_name,left_out_realization_index,left_out_shot,tau2_REML,tau2_interval_low
d[kappa]/d[betan],D_betaN kappa,19,165043,0.26364218714973675,0.17578261581446394
d[kappa]/d[betan],D_betaN kappa,20,165860,0.27066009123186224,0.1663493668845438
d[kappa]/d[betan],D_betaN kappa,21,165861,0.26734253034979316,0.17822144946738847
d[kappa]/d[betan],D_betaN kappa,22,165955,0.26497486912085255,0.17666100871340865
d[kappa]/d[betan],D_betaN kappa,23,165965,0.26686703195695693,0.1779080782044016
d[kappa]/d[betan],D_betaN kappa,24,170394,0.26935498883000714,0.16555820470127708
d[kappa]/d[betan],D_betaN kappa,25,170396,0.26838446314697156,0.16496983122790682
d[kappa]/d[betan],D_betaN kappa,26,170411,0.2591076394003044,0.17279343858758742
d[kappa]/d[betan],D_betaN kappa,27,186997,0.25724965814833395,0.1582173315479763
d[kappa]/d[betan],D_betaN kappa,28,187017,0.269605197885233,0.1657098872374694
d[kappa]/d[betan],D_betaN kappa,29,187018,0.2683772090169652,0.16496543335969904
d[kappa]/d[betan],D_betaN kappa,30,187019,0.2674421488160829,0.16439853277501001
d[kappa]/d[betan],D_betaN kappa,31,187020,0.268294717193843,0.1649154219872747
d[kappa]/d[betan],D_betaN kappa,32,187021,0.2690201092727539,0.16535518992095719
d[kappa]/d[betan],D_betaN kappa,33,187022,0.2654772522799108,0.16320718292084782
d[kappa]/d[betan],D_betaN kappa,34,187024,0.27049852089120574,0.166251424656029
d[kappa]/d[betan],D_betaN kappa,35,189646,0.27056628181959763,0.18034585529813768
d[kappa]/d[betan],D_betaN kappa,36,189647,0.26888176735462554,0.16527132158139496
d[kappa]/d[betan],D_betaN kappa,37,189649,0.2705154230001378,0.18031234232030902
d[kappa]/d[betan],D_betaN kappa,38,189650,0.2703593430430157,0.16616705587670746
d[kappa]/d[betan],D_betaN kappa,39,189651,0.2703033730469873,0.1661331270320784
d[kappa]/d[betan],D_betaN kappa,40,189652,0.2701654546957156,0.16604952092816483
d[kappa]/d[betan],D_betaN kappa,41,195261,0.26399827212531796,0.17601732230847736
d[kappa]/d[betan],D_betaN kappa,42,195264,0.26283166009762693,0.1752483591529171
d[kappa]/d[betan],D_betaN kappa,43,195265,0.26461821463709345,0.17642593675166698
d[kappa]/d[betan],D_betaN kappa,44,195266,0.26300543322038583,0.17536290280741895
d[kappa]/d[betan],D_betaN kappa,45,195267,0.26736289504649785,0.17823487042363886
d[kappa]/d[betan],D_betaN kappa,46,195268,0.266519277378051,0.1776788908679502
d[kappa]/d[betan],D_betaN kappa,47,195269,0.26799281402089353,0.1786500004815661
d[kappa]/d[betan],D_betaN kappa,48,195273,0.2655580668531424,0.17704538818037058
d[kappa]/d[betan],D_betaN kappa,49,195274,0.26551834136047686,0.1770192058337249
d[kappa]/d[betan],D_betaN kappa,50,195626,0.24299639184187732,0.16201798019182692
d[kappa]/d[betan],D_betaN kappa,51,195638,0.2685648101588378,0.16507916737059364
d[kappa]/d[betan],D_betaN kappa,52,195642,0.26691837130852236,0.16408096941036057
d[kappa]/d[betan],D_betaN kappa,53,195645,0.2680380178865096,0.16475979449154154
d[kappa]/d[betan],D_betaN kappa,54,195647,0.267380977225966,0.16436144522279103
d[kappa]/d[betan],D_betaN kappa,55,195648,0.26767420154459,0.16453922231820864
d[kappa]/d[betan],D_betaN kappa,56,195649,0.2699300778442387,0.16590683413133983
d[kappa]/d[betan],D_betaN kappa,57,195650,0.27023110081649016,0.16608931567917606
d[kappa]/d[betan],D_betaN kappa,58,195651,0.2687577671019327,0.16519614722400125
d[kappa]/d[betan],D_betaN kappa,59,195652,0.268038414290428,0.16476003481845827
d[kappa]/d[betan],D_betaN kappa,60,195655,0.2691020323377427,0.165404854642913
d[kappa]/d[betan],D_betaN kappa,61,195659,0.26809265677177146,0.16479292024034073
d[betan]/d[t],dot beta_N,0,155537,0.20800490382077483,0.15094487061692907
d[betan]/d[t],dot beta_N,1,159310,0.2032291335775204,0.14751033756789278
d[betan]/d[t],dot beta_N,2,160715,0.21001098482295502,0.1523873449226975
d[betan]/d[t],dot beta_N,3,160717,0.20786474385961998,0.1508440837610166
d[betan]/d[t],dot beta_N,4,160719,0.20867318058763618,0.15142540960092882
d[betan]/d[t],dot beta_N,5,160720,0.20657754774772855,0.14991845204122736
d[betan]/d[t],dot beta_N,6,160721,0.20982239434285396,0.152251744125441
d[betan]/d[t],dot beta_N,7,161136,0.20571455643677897,0.1492978396167303
d[betan]/d[t],dot beta_N,8,161138,0.20749345774656833,0.15057709468409877
d[betan]/d[t],dot beta_N,9,161145,0.20436244630251457,0.14832543416707433
d[betan]/d[t],dot beta_N,10,161414,0.20494397027816783,0.1487436595247865
d[betan]/d[t],dot beta_N,11,165017,0.20763093364243962,0.15067595308222578
d[betan]/d[t],dot beta_N,12,165022,0.2084986647611442,0.1512999215412944
d[betan]/d[t],dot beta_N,13,165026,0.20503730709353193,0.14881078528380623
d[betan]/d[t],dot beta_N,14,165027,0.20939614438951792,0.15194525673735065
