target,shot_id,rrv,n_grid_samples,grid_dt_ms
ece10,195650,0.24955803878263882,238,20.0
ece10,195655,0.09116949724911634,239,20.0
ece11,160715,0.16897999907550204,215,20.0
ece11,160720,0.7314980475806663,215,20.0
ece11,161138,0.13306667284971374,188,20.0
ece11,165022,0.32491555866881694,214,20.0
ece11,165028,0.354471315776004,215,20.0
ece11,165042,0.10129774893657953,214,20.0
ece11,165861,0.12599702673921412,215,20.0
ece11,170396,0.09500185253143129,230,20.0
ece11,187017,0.3378823768585464,250,20.0
ece11,187020,0.2658990759000727,257,20.0
ece11,187024,0.19723211742996635,257,20.0
ece11,189647,0.3891165655848615,218,20.0
ece11,189651,0.27148599000893503,218,20.0
ece11,195264,0.19085861458484318,264,20.0
ece11,195267,0.3690024349221207,268,20.0
ece11,195273,0.4124602007381229,268,20.0
ece11,195638,0.11155121507575026,238,20.0
ece11,195647,0.07620223015270217,238,20.0
ece11,195650,0.21974738203015567,238,20.0
ece11,195655,0.08712137222131969,239,20.0
ece12,160715,0.15616812518893397,215,20.0
ece12,160720,0.6603826673754856,215,20.0
ece12,161138,0.19475915747293304,188,20.0
ece12,165022,0.2655909608956734,214,20.0
ece12,165028,0.30376689166614146,215,20.0
ece12,165042,0.10089933568896778,214,20.0
ece12,165861,0.11843224278088947,215,20.0
ece12,170396,0.07324590434606248,230,20.0
ece12,187017,0.4180799531250169,250,20.0
ece12,187020,0.2653602640944184,257,20.0
ece12,187024,0.16190637956160836,257,20.0
ece12,189647,0.21517133871892363,218,20.0
ece12,189651,0.3046223749659387,218,20.0
ece12,195264,0.19960244407133132,264,20.0
ece12,195267,0.34349707147442293,268,20.0
ece12,195273,0.3881348599246205,268,20.0
ece12,195638,0.10688065705993788,238,20.0
ece12,195647,0.07138962211975339,238,20.0
ece12,195650,0.20577351313622247,238,20.0
ece12,195655,0.08090241011776092,239,20.0
ece13,160715,0.1435903556146458,215,20.0
ece13,160720,0.6377654187213049,215,20.0
ece13,161138,0.2324712404398561,188,20.0
ece13,165022,0.151950297404986,214,20.0
ece13,165028,0.2652263614805235,215,20.0
ece13,165042,0.10338167353491419,214,20.0
ece13,165861,0.09716933308687632,215,20.0
ece13,170396,0.06571962819639292,230,20.0
ece13,187017,0.4314871388437894,250,20.0
ece13,187020,0.25643967225863495,257,20.0
ece13,187024,0.15211562381703597,257,20.0
ece13,189647,0.22769445527849957,218,20.0
ece13,189651,0.31677410153221675,218,20.0
ece13,195264,0.15516070120979994,264,20.0
ece13,195267,0.3272935581073573,268,20.0
ece13,195273,0.3665576997026501,268,20.0
ece13,195638,0.10636593342743214,238,20.0
ece13,195647,0.06512696747599982,238,20.0
ece13,195650,0.19452967084170536,238,20.0
ece13,195655,0.0824304887790008,239,20.0
ece14,160715,0.12722411226096594,215,20.0
ece14,160720,0.5914346510857706,215,20.0
ece14,161138,0.2866391519342336,188,20.0
ece14,165022,0.17810172044477207,214,20.0
ece14,165028,0.2388483848276214,215,20.0
ece14,165042,0.09193489863483426,214,20.0
ece14,165861,0.0857137558002267,215,20.0
ece14,170396,0.054588058398795485,230,20.0
ece14,187017,0.5528756394014407,250,20.0
ece14,187020,0.2555148504983295,257,20.0
ece14,187024,0.15213096015007552,257,20.0
ece14,189647,0.22150950270109562,218,20.0
ece14,189651,0.3224087464837251,218,20.0
ece14,195264,0.13636375042736218,264,20.0
ece14,195267,0.2953303542030801,268,20.0
ece14,195273,0.3421571231542585,268,20.0
ece14,195638,0.10477052886517475,238,20.0
ece14,195647,0.06293512850386396,238,20.0
ece14,195650,0.1762768587528417,238,20.0
ece14,195655,0.08498421495603922,239,20.0
ece15,160715,0.12250322769123304,215,20.0
ece15,160720,0.5355180135948231,215,20.0
ece15,161138,0.6609383163597881,188,20.0
ece15,165022,0.13900593174135362,214,20.0
ece15,165028,0.238093847326896,215,20.0
ece15,165042,0.09187381130081129,214,20.0
ece15,165861,0.0782987512755824,215,20.0
ece15,170396,0.060029953801198556,230,20.0
ece15,187017,0.7606228439318484,250,20.0
ece15,187020,0.24012765385659537,257,20.0
ece15,187024,0.1381141046597437,257,20.0
ece15,189647,0.23955924555371763,218,20.0
ece15,189651,0.3227223921262683,218,20.0
ece15,195264,0.14962253985696095,264,20.0
ece15,195267,0.24187432435614561,268,20.0
ece15,195273,0.3071454485502978,268,20.0
ece15,195638,0.10314079581214844,238,20.0
ece15,195647,0.05968374256913542,238,20.0
ece15,195650,0.16371010571840217,238,20.0
ece15,195655,0.07718325987381415,239,20.0
ece16,160715,0.1320121319723887,215,20.0
ece16,160720,0.48930071274237374,215,20.0
ece16,161138,0.44278775619313343,188,20.0
ece16,165022,0.3317345314060722,214,20.0
ece16,165028,0.3001530250405264,215,20.0
