canonical_or_augmentation,noise_sigma,noise_percent,representation_id,support_scope,n_observations,n_trajectories,n_replicates,mean_rmse,median_rmse,std_rmse,se_rmse,ci_lo,ci_hi,ci_method
augmentation,0.008,0.8,C_all,native,72,24,3,2.1078713160943323,2.127790898425406,0.2140007996113936,0.02522023609742665,2.057343573355115,2.1589372981194437,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.008,0.8,C_compact,common,72,24,3,4.317431411275624,4.314598382399193,0.46360966278751653,0.05463692273011026,4.21391424233381,4.417788089001604,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.008,0.8,C_compact,native,72,24,3,4.451780317796318,4.449552993414583,0.47258559565274655,0.05569474656285682,4.348071791482943,4.553663055728562,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.009,0.8999999999999999,C0_poly2,common,72,24,3,2.8447613003919545,2.8766541677249693,0.20081041923599363,0.02366573486244744,2.7963750759125436,2.88852234936285,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.009,0.8999999999999999,C0_poly2,native,72,24,3,2.9797363410399225,2.97528260769909,0.22799671021043777,0.026869669979670788,2.923227225115633,3.0299189544871643,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.009,0.8999999999999999,C_all,common,72,24,3,2.1736379286235286,2.1789414053836667,0.2195799654103947,0.02587774709239961,2.1210841486901177,2.224954995939891,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.009,0.8999999999999999,C_all,native,72,24,3,2.1736379286235286,2.1789414053836667,0.2195799654103947,0.02587774709239961,2.1210841486901177,2.224954995939891,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.009,0.8999999999999999,C_compact,common,72,24,3,4.670160399209106,4.653272760299068,0.47756977406046586,0.0562821376213138,4.562979378527097,4.775794185377093,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.009,0.8999999999999999,C_compact,native,72,24,3,4.793388623621521,4.747266922742188,0.4948687270152903,0.0583208387782777,4.680524792606855,4.903210411366008,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.01,1.0,C0_poly2,common,72,24,3,2.866232797078979,2.8814174005591235,0.20781912811716247,0.02449171912532025,2.8170475521716196,2.911884572609077,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.01,1.0,C0_poly2,native,72,24,3,2.9991937404461506,2.9982398657670926,0.22839249605685394,0.02691631378898721,2.9437406086133375,3.0497258887085255,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.01,1.0,C_all,common,72,24,3,2.2346809041190494,2.237823954015736,0.23182327238296113,0.027320634656474652,2.179809584612554,2.28918887369749,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.01,1.0,C_all,native,72,24,3,2.2346809041190494,2.237823954015736,0.23182327238296113,0.027320634656474652,2.179809584612554,2.28918887369749,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.01,1.0,C_compact,common,72,24,3,4.999489077970959,5.019086200692562,0.4617468124035113,0.054417383706965916,4.893097294238715,5.101311980626858,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.01,1.0,C_compact,native,72,24,3,5.099921393773125,5.125270862672528,0.4860883909135186,0.05728606624516773,4.987222254124142,5.20720996153549,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
