times,x,y,z
21.62,-12.843270312684844,-21.690324590851244,20.17958283161389
21.63,-13.719296124643357,-22.352673715756907,22.53899788639006
21.64,-14.56120391839005,-22.718881115301585,25.095908326580805
21.650000000000002,-15.340838026036986,-22.723482219266934,27.794341933454696
21.66,-16.02696233910351,-22.312187467716463,30.555599976092918
21.67,-16.587058690670943,-21.45107139069736,33.280908684977646
21.68,-16.989814663441265,-20.13514786696636,35.85822582890008
21.69,-17.20807417274319,-18.394167116562798,38.173007132427564
21.7,-17.22183858995715,-16.29356955222529,40.12148381549799
21.71,-17.020786464824695,-13.92944147913282,41.62386972336934
21.72,-16.60579294304895,-11.417885361601106,42.63446269497861
21.73,-15.989101558133473,-8.880888596759293,43.14619007094876
21.740000000000002,-15.193090956149474,-6.431831236323918,43.18865565109918
21.75,-14.247891121891234,-4.163740862723541,42.82057577367748
21.76,-13.188330373830397,-2.1423404567748054,42.11888566143769
21.77,-12.050769146515655,-0.4043789372921342,41.167261789542685
21.78,-10.870299821689215,1.0396463466476682,40.046343156167445
21.79,-9.678618859501151,2.2000298114093626,38.82693679211758
21.8,-8.502682132791316,3.1013959195237715,37.566452680601685
21.81,-7.364094988846187,3.77658116619876,36.30807028986416
21.82,-6.279092097396201,4.261641460541244,35.081796991211846
21.830000000000002,-5.258927236008452,4.592256963401941,33.906564915386895
21.84,-4.310502630909116,4.801458908160144,32.79268555951439
21.85,-3.4371006355610327,4.918426382252977,31.744212408336505
21.86,-2.639120688514101,4.968053177860545,30.760970618673547
21.87,-1.9147613488167408,4.971012064958998,29.840165926867552
21.88,-1.260616152340484,4.944102725510316,28.977579753345783
21.89,-0.6721722572048119,4.900732740629936,28.168405847691364
21.900000000000002,-0.14421351865215765,4.851434981657785,27.407800987290866
21.91,0.32886339282082805,4.804365251787943,26.69122136482356
21.92,0.7528081229189758,4.765751680951538,26.014606738242154
21.93,1.1333386208503633,4.740284776394756,25.374461975943092
21.94,1.4760142457160301,4.731447081110338,24.767873456865814
21.95,1.7861495538621575,4.741786587836588,24.192487303776062
21.96,2.068759841926881,4.773140269629067,23.646468064571426
21.97,2.328531009499747,4.826814601776683,23.12845012811877
21.98,2.5698076540316688,4.903729582001486,22.63748956820132
21.990000000000002,2.7965944740719073,5.004531994055306,22.173020894962942
22.0,3.0125670297332126,5.129682774043948,21.73482102118673
22.01,3.2210887048995698,5.2795224650771955,21.32298133512275
22.02,3.4252313557849856,5.454317942373278,20.937887883724944
22.03,3.6277976374253877,5.654292874893636,20.580209134069314
22.04,3.831343394083818,5.879643758691431,20.250890464201802
22.05,4.038198800515283,6.1305428021900985,19.951154339471785
22.06,4.2504871638953,6.4071284551467285,19.682504984371157
22.07,4.470140453519455,6.709483947407143,19.446736209127018
22.080000000000002,4.698910732147672,7.037603839363691,19.24594085422533
22.09,4.938376725214029,7.391348296911915,19.082520043772057
22.1,5.1899448011343114,7.7703846034114195,18.959190066481593
22.11,5.454843651718558,8.174115347483703,18.87898421554026
22.12,5.734111980994669,8.601592816188212,18.845246308885265
22.13,6.028578543358208,9.051419445701898,18.8616118878764
22.14,6.3388339496580945,9.521634804947322,18.9319722827191
22.150000000000002,6.665193804921197,10.009590607606539,19.06041589943246
22.16,7.00765299487123,10.511816754041302,19.25114032711728
22.17,7.365831336706794,11.023883490750238,19.508328354063813
22.18,7.738911400147465,11.540267491858064,19.83598094592098
22.19,8.12557012722356,12.05423300539479,20.237701004100476
22.2,8.52390696685188,12.557743027360678,20.716423667115965
22.21,8.93137259904408,13.041419448523094,21.27409248402402
22.22,9.344703916817437,13.494574683589265,21.91128637226442
22.23,9.759872661912196,13.905339560464867,22.626810124590058
22.240000000000002,10.17205677808363,14.260912031961235,23.417271271044207
22.25,10.575644859997745,14.547947186037963,24.27667769216755
22.26,10.964284632033277,14.753099718932775,25.196102119669032
22.27,11.330985716818052,14.863714600442608,26.16346925635732
22.28,11.66828457614186,14.86864021714783,27.163525620731377
22.29,11.968475088197724,14.75911255413656,28.178047960886065
22.3,12.223901712951298,14.529632691254779,29.18633031209604
22.31,12.427303998204248,14.178738663816652,30.165961354362476
22.32,12.572192252367287,13.709563185791014,31.093864485165863
22.330000000000002,12.653226036028022,13.130076768825782,31.94752843589238
22.34,12.66656148103372,12.452944373780785,32.70631509946551
22.35,12.610132003794368,11.694971033955945,33.35270374213503
22.36,12.48383079896114,10.87617041843639,33.87332573748185
22.37,12.289572600416548,10.0185482256871,34.259665520049175
22.38,12.031225378841938,9.144736505153984,34.508349021930925
22.39,11.714417676899316,8.27663514700886,34.62100122254466
22.400000000000002,11.346241436706862,7.4342086176730655,34.60371632468615
22.41,10.93488093367837,6.63455269405943,34.466234157263635
22.42,10.489204133830697,5.891296669544189,34.22094531769204
22.43,10.018352974874503,5.21435327505882,33.88185217738044
22.44,9.531364439667072,4.609982438624941,33.463596281543246
22.45,9.036846369087431,4.081103295625018,32.980632232296536
22.46,8.542722591915439,3.627774041508861,32.44659259601124
22.47,8.056052821415184,3.2477595647328696,31.873855312119137
22.48,7.582925107069152,2.9371180024679373,31.273299434611978
22.490000000000002,7.12841308251946,2.690754338862867,30.654218773640494
22.5,6.696586940613499,2.502907439452426,30.0243556794195
22.51,6.290565739678882,2.367553346439504,29.3900169277281
22.52,5.9125988465770405,2.278720577929941,28.756238003074834
22.53,5.5641655409856865,2.230722117530966,28.126968764404136
22.54,5.246083578866305,2.218314090151566,27.50526075932269
22.55,4.958619476480546,2.2367935378494406,26.893443179261183
22.56,4.701595177501784,2.2820480825955434,26.29328001797292
22.57,4.47448745426884,2.3505693581009974,25.70610521520145
22.580000000000002,4.2765177992170615,2.4394405152182026,25.132935501626953
22.59,4.106731669174287,2.5463062817097253,24.574562510589388
22.6,3.964066772438285,2.6693322570922406,24.031626733932093
22.61,3.847410673418092,2.807158495851737,23.50467631301074
22.62,3.7556483750694625,2.958851042346759,22.99421367596321
22.63,3.6877007681055454,3.1238539399439422,22.5007328181225
22.64,3.642554945574835,3.3019433274754144,22.024749689387917
22.650000000000002,3.6192874042190692,3.4931845256173855,21.566827778212126
22.66,3.6170811149928026,3.697892467875631,21.127600614280162
22.67,3.635237364091797,3.9165954099478824,20.707792576670016
22.68,3.6731831575248024,4.150001525349954,20.308239101314335
22.69,3.730474856442363,4.398967737318765,19.929907130458712
22.7,3.806798574477792,4.664469924479663,19.57391643026004
22.71,3.9019677268242896,4.947573452462775,19.241562208970464
22.72,4.0159179752870715,5.2494028119587375,18.93433928242355
22.73,4.148699666463463,5.571108975546455,18.653967839011024
22.740000000000002,4.300467710357171,5.913832915723562,18.40242063295484
22.75,4.471468695614224,6.278663555178195,18.181951162772005
22.76,4.6620248838111,6.666588252298099,17.995122044199643
22.77,4.872514571728176,7.078433777287469,17.844832342636796
22.78,5.103348158847601,7.514795630303457,17.73434205649827
22.79,5.3549391142644405,7.975953536122408,17.66729121833548
22.8,5.627668912632167,8.46177107808836,17.647710179832664
22.81,5.921844918419368,8.971577792174921,17.68001656146204
22.82,6.237650165750662,9.504032739737529,17.76899308734984
22.830000000000002,6.575084040342455,10.056969754476096,17.919739139391307
22.84,6.933893065379964,10.627226378347338,18.13758745652075
22.85,7.313491381381011,11.210461137226233,18.427976165035037
22.86,7.712871157788859,11.800967415825026,18.7962655536117
22.87,8.130504155155855,12.391496861139156,19.247489145273157
22.88,8.564237037952626,12.973110914497784,19.78603025445495
22.89,9.011184865516677,13.535085430034377,20.41521907335957
22.900000000000002,9.467629452279427,14.064899679906922,21.136852176167167
22.91,9.928931894920398,14.548346162314363,21.950646803580984
22.92,10.389471277934367,14.969799719258862,22.85365664674834
22.93,10.842623985270912,15.312681228689694,23.83969352934264
22.94,11.280799565854297,15.560140054445911,24.89881860328326
22.95,11.695548951542232,15.6959584524688,26.01698405155063
22.96,12.077758184466566,15.705649628626851,27.175916838742946
22.97,12.417934979074102,15.5776811126634,28.35333376564483
22.98,12.706586156211067,15.304712125540393,29.523556376788317
22.990000000000002,12.934671711207796,14.884696937199964,30.65855217276043
23.0,13.094107451209185,14.321687461874296,31.729367186158573
23.01,13.178275165053204,13.626178430835727,32.70784311833871
23.02,13.18249017785445,12.814883370884584,33.56844504886746
23.03,13.10437377715784,11.90990638003697,34.28998144468053
23.04,12.944084203322921,10.937369990369685,34.85699241933244
23.05,12.704374631635691,9.925651879510985,35.26062171109692
23.06,12.390467619805724,8.90344967431173,35.498866749513624
23.07,12.009758873422692,7.89791648371093,35.57620156985797
23.080000000000002,11.571384221629966,6.933085160401924,35.502664890870015
23.09,11.08569836877271,6.028735324395132,35.29257780191842
23.1,10.563720005700054,5.1997725161039705,34.96308853510463
23.11,10.016595131378287,4.45610506211841,34.53273420634669
23.12,9.455120770947376,3.802938870543109,34.02017031576114
23.13,8.889357612759971,3.241372667036443,33.44316311391136
23.14,8.32834552064506,2.7691665479976937,32.81788278712274
23.150000000000002,7.779922910849495,2.3815691179294793,32.15848800702451
23.16,7.250641136157472,2.0721139607158428,31.47696036890888
23.17,6.745758811423927,1.833326121491108,30.783131179208862
23.18,6.269298188612072,1.6573072089230148,30.084840140406826
23.19,5.824145535857239,1.5361900205067835,29.388171469309437
23.2,5.4121791283631415,1.4624690484142793,28.697723651451483
23.21,5.03441110895392,1.4292222983189276,28.016881045526734
23.22,4.691132480346647,1.4302438615137354,27.348066719428417
23.23,4.3820534083518785,1.4601071623309227,26.692965087684637
23.240000000000002,4.106433587591323,1.5141771523599552,26.052709773529276
23.25,3.8631995336350173,1.5885870197157077,25.42803676925232
23.26,3.6510472999075674,1.6801919641597018,24.81940579074386
23.27,3.4685303130016316,1.7865097027621728,24.22709416530276
23.28,3.314132843486912,1.9056548429901528,23.65126807951386
23.29,3.1863301545013334,2.0362721725007313,23.092035897757707
23.3,3.083636668721444,2.1774722629930383,22.549487808003093
23.31,3.0046436259180136,2.328771521027453,22.023725446430532
23.32,2.9480477182871305,2.4900378764631927,21.51488451728769
23.330000000000002,2.912672127674921,2.6614426123656223,21.023152830553276
23.34,2.8974812759941164,2.8434183487492124,20.548785663656982
