analysis,realization_index,shot,parameter,feature,display_name,coefficient,canonical_coefficient
fixed_threshold,2,160715,0.01,d[betan]/d[t],dot beta_N,-0.1744515122300527,-0.1744515122300516
fixed_threshold,2,160715,0.01,d[li]/d[betan],D_betaN l_i,-0.009574447972186685,-0.0095744479721841
fixed_threshold,2,160715,0.02,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.4676499134893646,0.4676499134893681
fixed_threshold,2,160715,0.02,d[kappa]/d[t],dot kappa,1.0561295773182953,1.0561295773182957
fixed_threshold,2,160715,0.02,r[q95]/r[kappa],q95 / kappa,-0.00360940753029957,-0.0036094075302998
fixed_threshold,2,160715,0.02,d[pcdiamag3]/d[betan],D_betaN W_dia,1.1047516146989105,1.1047516146989054
fixed_threshold,2,160715,0.02,d[kappa]/d[betan],D_betaN kappa,-1.1208812821514582,-1.1208812821514549
fixed_threshold,2,160715,0.02,d[betan]/d[t],dot beta_N,-0.1744515122300527,-0.1744515122300516
fixed_threshold,2,160715,0.02,d[li]/d[betan],D_betaN l_i,-0.009574447972186685,-0.0095744479721841
fixed_threshold,2,160715,0.05,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.994388652099972,0.4676499134893681
fixed_threshold,2,160715,0.05,d[kappa]/d[t],dot kappa,0.7739098275608359,1.0561295773182957
fixed_threshold,2,160715,0.05,r[q95]/r[kappa],q95 / kappa,-0.0234363582209614,-0.0036094075302998
fixed_threshold,2,160715,0.05,d[pcdiamag3]/d[betan],D_betaN W_dia,0.37947935934891536,1.1047516146989054
fixed_threshold,2,160715,0.05,d[kappa]/d[betan],D_betaN kappa,-0.06222909545636526,-1.1208812821514549
fixed_threshold,2,160715,0.05,d[betan]/d[t],dot beta_N,0.1179405823442087,-0.1744515122300516
fixed_threshold,2,160715,0.05,d[li]/d[betan],D_betaN l_i,-0.03320877312859463,-0.0095744479721841
fixed_threshold,2,160715,0.1,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.805604134842586,0.4676499134893681
fixed_threshold,2,160715,0.1,d[kappa]/d[t],dot kappa,0.5413201757940662,1.0561295773182957
fixed_threshold,2,160715,0.1,r[q95]/r[kappa],q95 / kappa,-0.007378170896736591,-0.0036094075302998
fixed_threshold,2,160715,0.1,d[pcdiamag3]/d[betan],D_betaN W_dia,0.6521709328255437,1.1047516146989054
fixed_threshold,2,160715,0.1,d[kappa]/d[betan],D_betaN kappa,0.09028262300852127,-1.1208812821514549
fixed_threshold,2,160715,0.1,d[betan]/d[t],dot beta_N,0.3573592211477699,-0.1744515122300516
fixed_threshold,2,160715,0.1,d[li]/d[betan],D_betaN l_i,-0.051477161920752024,-0.0095744479721841
fixed_rank,2,160715,7.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.4676499134893646,0.4676499134893681
fixed_rank,2,160715,7.0,d[kappa]/d[t],dot kappa,1.0561295773182953,1.0561295773182957
fixed_rank,2,160715,7.0,r[q95]/r[kappa],q95 / kappa,-0.00360940753029957,-0.0036094075302998
fixed_rank,2,160715,7.0,d[pcdiamag3]/d[betan],D_betaN W_dia,1.1047516146989105,1.1047516146989054
fixed_rank,2,160715,7.0,d[kappa]/d[betan],D_betaN kappa,-1.1208812821514582,-1.1208812821514549
fixed_rank,2,160715,7.0,d[betan]/d[t],dot beta_N,-0.1744515122300527,-0.1744515122300516
fixed_rank,2,160715,7.0,d[li]/d[betan],D_betaN l_i,-0.009574447972186685,-0.0095744479721841
fixed_rank,2,160715,6.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.994388652099972,0.4676499134893681
fixed_rank,2,160715,6.0,d[kappa]/d[t],dot kappa,0.7739098275608359,1.0561295773182957
fixed_rank,2,160715,6.0,r[q95]/r[kappa],q95 / kappa,-0.0234363582209614,-0.0036094075302998
fixed_rank,2,160715,6.0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.37947935934891536,1.1047516146989054
fixed_rank,2,160715,6.0,d[kappa]/d[betan],D_betaN kappa,-0.06222909545636526,-1.1208812821514549
