realization_index,feature,display_name,var_primary,var_short,var_long,var_ratio_short_over_primary,var_ratio_long_over_primary,interval_width_primary,interval_width_ratio_short,interval_width_ratio_long,sign_stability_primary,sign_stability_short,sign_stability_long,mc_se_var_short_B300,mc_se_var_long_B300,n_primary,n_sensitivity
41,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.024706512508256825,0.016986884631134774,0.02458002356277666,0.6875468411601119,0.9948803399331293,0.4670460396441042,0.913928599820261,1.0030869466779748,1.0,1.0,1.0,0.0013892907395525868,0.002010303822936411,1000,300
41,d[kappa]/d[t],dot kappa,0.017500197884003574,0.011861287215453509,0.01780940288931429,0.677780176777062,1.0176686576552,0.40407514242845854,0.9197872123153639,1.0095808282371606,1.0,1.0,1.0,0.0009700882089585498,0.0014565612852715632,1000,300
41,r[q95]/r[kappa],q95 / kappa,2.9154003720512338e-05,2.3597186651993613e-05,3.060820928195328e-05,0.8093978061541843,1.0498801322583966,0.022057750391687118,0.8819844790270283,1.05284679344979,0.974,0.9933333333333333,0.9333333333333333,1.9299214427477166e-06,2.5033255145422458e-06,1000,300
41,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0025865749627275963,0.0017720560625268244,0.0025721531577006223,0.6850975085052841,0.9944243622416549,0.151926643275613,0.9147644032054739,1.0089011585133976,1.0,1.0,1.0,0.00014492952245782542,0.000210366329100435,1000,300
41,d[kappa]/d[betan],D_betaN kappa,0.003297920851654142,0.0023069738269235196,0.003637339229702225,0.6995237092383245,1.1029188974859239,0.20342582266032502,0.9388581829993352,1.0353776120155456,1.0,1.0,1.0,0.00018867835060588922,0.00029748372454208304,1000,300
41,d[betan]/d[t],dot beta_N,0.01768139488853669,0.011998169524200299,0.018038257600551857,0.6785759607676103,1.0201829501724735,0.4090709126382897,0.9288589550055901,1.0106676191713742,1.0,1.0,1.0,0.0009812832766875634,0.0014752784154534316,1000,300
41,d[li]/d[betan],D_betaN l_i,7.347549812476317e-06,6.16834650245197e-06,7.930865543369362e-06,0.8395106749705825,1.0793891495505836,0.010299890528881615,0.9783574967652554,1.0510816219684487,0.923,0.9333333333333333,0.8866666666666667,5.044848929215124e-07,6.486344197478485e-07,1000,300
42,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.02815298732700606,0.018850407891445053,0.026687559833610208,0.6695704321708906,0.9479477088390501,0.6341987264931144,0.8557109302598586,0.9655751313726636,0.994,1.0,1.0,0.001541701005749642,0.0021826709572238616,1000,300
42,d[kappa]/d[t],dot kappa,0.025626490329654847,0.01720055149095268,0.02548807646548063,0.6712019972180228,0.9945987974789492,0.6134325996272753,0.8497765687257752,0.97760361210111,0.996,0.9966666666666667,0.99,0.0014067657148726768,0.002084569912107242,1000,300
42,r[q95]/r[kappa],q95 / kappa,4.133125095692859e-05,4.5329121002160785e-05,3.880549697560809e-05,1.0967275355250772,0.9388899701111734,0.023109982287248133,1.0371435925532613,0.929029832276123,0.981,0.98,0.98,3.707291207767137e-06,3.1737495581228746e-06,1000,300
42,d[pcdiamag3]/d[betan],D_betaN W_dia,0.004347226183646401,0.002979858695243666,0.004180864740980046,0.6854620784290999,0.9617315879969205,0.2496788686052328,0.8656934736896184,0.9732248439998266,1.0,1.0,1.0,0.00024371096763025008,0.0003419365465824961,1000,300
42,d[kappa]/d[betan],D_betaN kappa,0.009640280883072562,0.008125070504629468,0.010937451988447873,0.8428250798061638,1.134557397352708,0.3763223991658457,0.888472579700176,1.03531795655683,0.994,0.99,0.99,0.0006645176826364015,0.0008945313453180595,1000,300
42,d[betan]/d[t],dot beta_N,0.02546855793037638,0.017193266451862258,0.02482717852958721,0.6750781296241287,0.9748168152063217,0.6163111580453531,0.8608250137372686,0.9665968250475846,1.0,1.0,1.0,0.0014061699000681748,0.0020305176593213925,1000,300
42,d[li]/d[betan],D_betaN l_i,2.1792071317313824e-05,2.163195396382662e-05,1.913623147747375e-05,0.9926524949760058,0.8781281594957884,0.01800048392518197,0.9985725102089112,0.9701723036681562,0.933,0.9466666666666667,0.93,1.7691927609426853e-06,1.5650773969972496e-06,1000,300
43,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.013281169075128527,0.011224308436116487,0.01838567394348348,0.845129549411136,1.3843415319449621,0.4423928095665779,0.9577100254304054,1.1198615371869107,0.999,1.0,0.9966666666666667,0.0009179922102724554,0.001503692236968383,1000,300
43,d[kappa]/d[t],dot kappa,0.009009275895029497,0.00769701890228599,0.012106240693765915,0.8543437887758003,1.3437529092038398,0.3732036164397136,0.9747033314094542,1.1136153330356857,1.0,1.0,1.0,0.0006295090191822179,0.0009901219942246766,1000,300
43,r[q95]/r[kappa],q95 / kappa,8.818388330087159e-05,6.786483631241254e-05,9.59700408236651e-05,0.7695832137587637,1.0882945639423498,0.0362209102358218,0.9440731888118107,1.0170215156189575,0.992,0.9966666666666667,1.0,5.550399068306877e-06,7.849013629398788e-06,1000,300
43,d[pcdiamag3]/d[betan],D_betaN W_dia,0.003010624878070785,0.0025121007021623666,0.004172764795606932,0.8344117264360502,1.3860128593240246,0.2086769308137723,0.9606942468927802,1.1326329425201669,1.0,1.0,1.0,0.0002054548740468241,0.00034127408378592636,1000,300
43,d[kappa]/d[betan],D_betaN kappa,0.002121803962164343,0.001873381506102866,0.0022586597760526884,0.8829192232216996,1.0644997447119224,0.1864319881177945,0.9389924875187075,1.0641376130344824,1.0,1.0,1.0,0.00015321653349593178,0.00018472693367908605,1000,300
43,d[betan]/d[t],dot beta_N,0.009601798786099963,0.008393272921678165,0.012629614145449459,0.8741354728062705,1.315338347199351,0.38888833825465985,0.9747962621060636,1.0923678486072748,1.0,1.0,1.0,0.000686452907512682,0.0010329266582664225,1000,300
43,d[li]/d[betan],D_betaN l_i,7.592957399608412e-06,6.4398899588556136e-06,6.945006898222204e-06,0.8481398775117236,0.9146642780559227,0.010382072085465951,0.913862918881023,0.9449044032287067,0.987,1.0,0.9866666666666667,5.266933683164784e-07,5.68004903744636e-07,1000,300
44,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.07921640851887118,0.05955051100536433,0.10802289589377839,0.7517446463276357,1.3636429360218323,0.8542107439888743,0.9314643698201946,1.1189482789123542,0.946,0.9433333333333334,0.9366666666666666,0.0048704029768788905,0.008834769422629205,1000,300
44,d[kappa]/d[t],dot kappa,0.052190733282794936,0.04026532250169634,0.06930068889159487,0.7715032912743172,1.3278351257509609,0.7148307848188877,0.9416739349773807,1.1233154027448085,1.0,1.0,1.0,0.003293142968321211,0.005667831825103522,1000,300
44,r[q95]/r[kappa],q95 / kappa,3.741260524591666e-05,6.202646352447116e-05,3.197758090879281e-05,1.6579028142190375,0.85472745612344,0.023217083711541645,1.4554347091411621,0.7866539294639661,0.957,0.93,0.9466666666666667,5.072901432661787e-06,2.615321054718416e-06,1000,300
44,d[pcdiamag3]/d[betan],D_betaN W_dia,0.02053239864203004,0.015396367882153005,0.027986957922159484,0.7498572451557839,1.36306324507405,0.43249864661595605,0.9222875437445298,1.1237027259062822,1.0,1.0,1.0,0.0012592086062805695,0.002288943635858828,1000,300
44,d[kappa]/d[betan],D_betaN kappa,0.003532791698558707,0.002704457600756204,0.004260455358684965,0.7655298787810095,1.2059741196807974,0.2215356957435417,0.9052963065343541,1.1685501669697116,1.0,1.0,1.0,0.00022118699113059226,0.000348445951369413,1000,300
44,d[betan]/d[t],dot beta_N,0.04990634805060576,0.03804025212558881,0.06658497271666047,0.7622327341406636,1.3341984600664898,0.7135614508573574,0.9394661509495339,1.116319582245721,1.0,1.0,1.0,0.0031111631800607377,0.005445724039301866,1000,300
44,d[li]/d[betan],D_betaN l_i,1.2560420703128183e-05,1.1285160496963413e-05,1.4112668583330907e-05,0.8984699448922785,1.1235824752124852,0.01428608591736903,0.9217634161104565,1.0655199848839838,0.851,0.86,0.79,9.229690619114175e-07,1.1542198701497025e-06,1000,300
45,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.09243652663605514,0.07683627384342906,0.11860763856445301,0.831232810661006,1.283125219875903,0.8910165297009474,0.9266754241248176,1.0342757929593174,1.0,1.0,1.0,0.006284137793974737,0.009700454054757834,1000,300
45,d[kappa]/d[t],dot kappa,0.032063077410276634,0.026744247673026217,0.042286960178975326,0.8341135609289436,1.3188677941881464,0.5508578056144233,0.9346922532542227,1.0309255754840052,1.0,1.0,1.0,0.002187307233507363,0.0034584847931915827,1000,300
45,r[q95]/r[kappa],q95 / kappa,8.054831629986201e-05,7.475655542629484e-05,6.423410192319285e-05,0.9280958170248297,0.7974605165434463,0.03769163076784668,0.9197292318195824,0.7530490381084776,0.998,0.9966666666666667,0.99,6.1140457729513085e-06,5.253455527790168e-06,1000,300
45,d[pcdiamag3]/d[betan],D_betaN W_dia,0.039400579757657574,0.03278275388348406,0.05046217843840267,0.8320373478035605,1.2807471044533363,0.5811366363921647,0.92917919079305,1.0374349748334555,1.0,1.0,1.0,0.002681172997659518,0.004127103864214549,1000,300
45,d[kappa]/d[betan],D_betaN kappa,0.011010459270835481,0.00863979425735078,0.012249116074057358,0.7846897249995628,1.1124981958293814,0.38073012614299995,0.8773258920266185,0.9772391305837229,1.0,1.0,1.0,0.0007066149216894523,0.0010018072117945387,1000,300
45,d[betan]/d[t],dot beta_N,0.030879314134926318,0.025644743287279052,0.0405806084037584,0.8304829302627982,1.3141680617141476,0.5420973239160979,0.9239821651355894,1.0321259513735428,1.0,1.0,1.0,0.002097383077643243,0.0033189289669641555,1000,300
45,d[li]/d[betan],D_betaN l_i,1.586573058958926e-05,1.6773301451920592e-05,1.3620263260058533e-05,1.0572032190516873,0.8584706000866954,0.015073371872657983,1.0508112868184518,0.9053039362596965,0.884,0.91,0.87,1.3718226081412156e-06,1.1139479679979182e-06,1000,300
46,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.04312035265963996,0.03214244509627083,0.04993703563714178,0.7454123891327935,1.1580850470149828,0.657479349265286,0.8894520890486559,1.06319611287797,1.0,1.0,1.0,0.0026288046506761625,0.0040841544920031635,1000,300
46,d[kappa]/d[t],dot kappa,0.020314661774581827,0.015741187012863665,0.023138289579731464,0.7748682792523477,1.1389945762563778,0.4765977606897712,0.8849021920345761,0.992538662539075,1.0,1.0,1.0,0.001287410011983817,0.0018923900491610982,1000,300
46,r[q95]/r[kappa],q95 / kappa,0.00015378978740636698,0.00013233290661073734,0.00018586839026618344,0.8604791569226051,1.2085873412065617,0.0467606584458724,0.9501458231792971,1.0880743393310381,0.993,0.9966666666666667,0.9866666666666667,1.0822989952813557e-05,1.520144740955391e-05,1000,300
46,d[pcdiamag3]/d[betan],D_betaN W_dia,0.013679578687158267,0.010249975874211273,0.01575670268351171,0.7492903187020999,1.1518412258049546,0.3701936367990248,0.8938241047546387,1.0584355897273614,1.0,1.0,1.0,0.0008383053674585335,0.001288678977895893,1000,300
