analysis,realization_index,shot,parameter,feature,display_name,canonical,truncated
fixed_rank,26,170411,6.0,d[kappa]/d[betan],D_betaN kappa,-2.127385380829148,0.13518201918884348
fixed_rank,26,170411,6.0,d[betan]/d[t],dot beta_N,-0.5981382880667196,0.3144797907818942
fixed_rank,26,170411,5.0,d[kappa]/d[betan],D_betaN kappa,-2.127385380829148,0.13464503644996706
fixed_rank,26,170411,5.0,d[betan]/d[t],dot beta_N,-0.5981382880667196,0.3124852738729817
fixed_rank,26,170411,4.0,r[q95]/r[kappa],q95 / kappa,-0.0029246575310788,0.08389518886799958
fixed_rank,26,170411,4.0,d[kappa]/d[betan],D_betaN kappa,-2.127385380829148,0.25374358856280504
fixed_threshold,27,186997,0.05,d[kappa]/d[betan],D_betaN kappa,-2.208469368554254,0.10640653096215397
fixed_threshold,27,186997,0.05,d[betan]/d[t],dot beta_N,-0.6860243289948947,0.16471792610795905
fixed_threshold,27,186997,0.1,d[kappa]/d[betan],D_betaN kappa,-2.208469368554254,0.15680193146109994
fixed_threshold,27,186997,0.1,d[betan]/d[t],dot beta_N,-0.6860243289948947,0.2891760893025001
fixed_rank,27,186997,6.0,d[kappa]/d[betan],D_betaN kappa,-2.208469368554254,0.10640653096215397
fixed_rank,27,186997,6.0,d[betan]/d[t],dot beta_N,-0.6860243289948947,0.16471792610795905
fixed_rank,27,186997,5.0,d[kappa]/d[betan],D_betaN kappa,-2.208469368554254,0.15680193146109994
fixed_rank,27,186997,5.0,d[betan]/d[t],dot beta_N,-0.6860243289948947,0.2891760893025001
fixed_rank,27,186997,4.0,r[q95]/r[kappa],q95 / kappa,-0.0062452940969436,0.08747833725554237
fixed_rank,27,186997,4.0,d[kappa]/d[betan],D_betaN kappa,-2.208469368554254,0.2673986075701918
fixed_threshold,28,187017,0.02,d[kappa]/d[betan],D_betaN kappa,-1.3994213092761352,0.054611232479167056
fixed_threshold,28,187017,0.02,d[betan]/d[t],dot beta_N,-0.2282702254123405,0.26979692819886547
fixed_threshold,28,187017,0.05,d[kappa]/d[betan],D_betaN kappa,-1.3994213092761352,0.08819877572708235
fixed_threshold,28,187017,0.05,d[betan]/d[t],dot beta_N,-0.2282702254123405,0.3693777194022128
fixed_threshold,28,187017,0.1,d[kappa]/d[betan],D_betaN kappa,-1.3994213092761352,0.08819877572708235
fixed_threshold,28,187017,0.1,d[betan]/d[t],dot beta_N,-0.2282702254123405,0.3693777194022128
fixed_rank,28,187017,6.0,d[kappa]/d[betan],D_betaN kappa,-1.3994213092761352,0.054611232479167056
fixed_rank,28,187017,6.0,d[betan]/d[t],dot beta_N,-0.2282702254123405,0.26979692819886547
fixed_rank,28,187017,5.0,d[kappa]/d[betan],D_betaN kappa,-1.3994213092761352,0.08819877572708235
fixed_rank,28,187017,5.0,d[betan]/d[t],dot beta_N,-0.2282702254123405,0.3693777194022128
fixed_rank,28,187017,4.0,r[q95]/r[kappa],q95 / kappa,-0.0193530347410494,0.09260716836343091
fixed_rank,28,187017,4.0,d[kappa]/d[betan],D_betaN kappa,-1.3994213092761352,0.15524871843895788
fixed_rank,28,187017,4.0,d[betan]/d[t],dot beta_N,-0.2282702254123405,0.017372582020222387
fixed_threshold,29,187018,0.02,d[kappa]/d[betan],D_betaN kappa,-1.5464043552594489,0.08946256862872386
fixed_threshold,29,187018,0.02,d[betan]/d[t],dot beta_N,-0.3525545219402431,0.2877932619559654
