realization_index,shot,lambda_relative,lambda,coefficient_norm,edf,relative_coefficient_change,max_abs_coefficient_change,relative_prediction_change,prediction_correlation,rmse,rmse_canonical,absolute_rmse_change,relative_rmse_change,r2,r2_change,n_sign_changes,reconstruction_label,sensitivity_class
3,160717,0.0,0.0,2.4406319791899675,7.0,2.1792414791388684e-15,2.9976021664879227e-15,2.8755004962943663e-15,0.9999999999999999,0.0723378036056314,0.07233780360563145,5.551115123125783e-17,7.673878451423642e-16,0.9947672421695131,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
3,160717,1e-06,0.00360921655451645,2.4383830499474612,6.998391525137415,0.0010389485452081066,0.0019716437993566593,0.00014104491281515305,0.9999999902858567,0.07233794039130215,0.07233780360563145,1.3678567069297376e-07,1.8909292772931689e-06,0.9947672223799444,-1.9789568650452338e-08,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
3,160717,1e-05,0.0360921655451645,2.4184022272882015,6.98405216232368,0.010280514627857644,0.01950959938292174,0.0013957373361368386,0.9999990484825414,0.0723511970830706,0.07233780360563145,1.3393477439144208e-05,0.00018515184000003767,0.9947653042806467,-1.9378888663768024e-06,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
3,160717,0.0001,0.360921655451645,2.2415113064119403,6.852871212689374,0.09304718626635124,0.17657396283784998,0.012640217931818985,0.9999217772958802,0.07342817494256638,0.07233780360563145,0.001090371336934931,0.015073326567659725,0.9946083031246039,-0.00015893904490915656,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
3,160717,0.001,3.60921655451645,1.4970522659750785,6.135185170894229,0.4776573865741918,0.9061674286076776,0.06538241768746195,0.9978941053843957,0.09739224334188942,0.07233780360563145,0.02505443973625797,0.3463533379151029,0.9905147509368342,-0.004252491232678901,0,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
3,160717,0.01,36.0921655451645,1.0101654277788805,4.884139337075075,0.8188595437901995,1.5498241628308183,0.13073181860255773,0.9921780975677952,0.14911114701510383,0.07233780360563145,0.07677334340947238,1.0613170373270022,0.9777658658358401,-0.017001376333672935,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
3,160717,0.1,360.921655451645,0.5953287470571766,3.2209379513286955,0.9160782527166847,1.6571230889080149,0.33085783376633665,0.9574134395357757,0.33782665700715164,0.07233780360563145,0.2654888534015202,3.67012599454773,0.8858731498153724,-0.10889409235414071,1,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
3,160717,1.0,3609.21655451645,0.23189634005055487,1.1769749934352132,0.9747541918721454,1.604796176452422,0.6642075128239789,0.8857792441649213,0.6664051572974796,0.07233780360563145,0.5940673536918482,8.212405189001235,0.5559041663273214,-0.43886307584219164,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
4,160719,0.0,0.0,2.240609284229129,7.0,5.507731645242041e-15,9.103828801926284e-15,2.117237739397655e-15,1.0,0.06361405675449139,0.06361405675449142,2.7755575615628914e-17,4.3631198875976134e-16,0.9959532517832363,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
4,160719,1e-06,0.003640812004671627,2.2385642701850514,6.998243873697302,0.0010676580676150117,0.0018972190407855472,0.0001293528616928714,0.9999999918017147,0.06361418773524999,0.06361405675449142,1.3098075857254088e-07,2.058990815159592e-06,0.9959532351187844,-1.6664451929493396e-08,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
4,160719,1e-05,0.03640812004671627,2.220416871600516,6.982597952889738,0.010557090212386962,0.01876049845266592,0.0012791548532623096,0.9999991981285122,0.0636268640784893,0.06361405675449142,1.2807323997887643e-05,0.00020132852157684773,0.9959516221675374,-1.6296156989392685e-06,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
4,160719,0.0001,0.36408120046716275,2.0614999362204944,6.840259977920406,0.0949465296772103,0.16877951108174738,0.011513852022512448,0.9999349241733786,0.0646434879369293,0.06361405675449142,0.0010294311824378816,0.0161824482662817,0.995821219467348,-0.00013203231588831965,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
4,160719,0.001,3.640812004671627,1.4319289524471692,6.084968365714567,0.47358903850161455,0.843599497846856,0.05805442323890759,0.9983420845465718,0.08604316041307306,0.06361405675449142,0.02242910365858164,0.35258093576932115,0.9925965745461302,-0.003356677237106198,0,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
4,160719,0.01,36.40812004671627,1.0270713231552568,4.851953005815049,0.7938106451744806,1.4149613857930545,0.12107178259879557,0.9934681345807553,0.1365496466464964,0.06361405675449142,0.07293558989200499,1.1465326000743428,0.981354194000717,-0.014599057782519353,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
4,160719,0.1,364.0812004671627,0.6019046849288839,3.214125426158378,0.8986613501971044,1.5056434832534387,0.3321706935356193,0.9579855254122835,0.3375464565165048,0.06361405675449142,0.27393239976201333,4.306161463954557,0.8860623896931514,-0.10989086209008492,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
4,160719,1.0,3640.812004671627,0.2302476340798198,1.1703137087351367,0.9694259597764587,1.4529820173661916,0.6750026833250593,0.8854014986300498,0.6766325120752041,0.06361405675449142,0.6130184553207128,9.63652511089731,0.5421684436027988,-0.45378480818043754,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
5,160720,0.0,0.0,2.42412416457494,7.0,8.699485126760091e-16,1.3785696523640786e-15,1.5480145491304341e-15,1.0,0.11130570989024902,0.111305709890249,1.3877787807814457e-17,1.246817240687677e-16,0.9876110389458277,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
5,160720,1e-06,0.003624632054961813,2.421652129244456,6.9982696150714325,0.0011571192976045695,0.0021558861332120483,0.0001482143797744524,0.999999989247877,0.1113058073485841,0.111305709890249,9.745833509655633e-08,8.755915145112725e-07,0.9876110172504798,-2.1695347851569124e-08,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
5,160720,1e-05,0.036246320549618134,2.399724582649455,6.98286255898398,0.01143547846941081,0.021305936843686757,0.0014648381518531357,0.999998949467796,0.11131522906305397,0.111305709890249,9.519172804964282e-06,8.552277160219728e-05,0.9876089197786398,-2.119167187841775e-06,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
