canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,noise_seed,trajectory_id,representation_id,representation_label,support_scope,rmse,estimator,cohort
canonical,0.0,0.0,0,,conf_008,C*_compact,q_comp -> compact (12),native,3.064759453262785e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_009,C*_compact,q_comp -> compact (12),native,3.2641109847552225e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_010,C*_compact,q_comp -> compact (12),native,3.2840847147810096e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_011,C*_compact,q_comp -> compact (12),native,3.357984029380064e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_012,C*_compact,q_comp -> compact (12),native,3.357072726477319e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_013,C*_compact,q_comp -> compact (12),native,3.291883764200364e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_014,C*_compact,q_comp -> compact (12),native,3.328114655477448e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_015,C*_compact,q_comp -> compact (12),native,3.818057472630216e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_016,C*_compact,q_comp -> compact (12),native,3.163571539012528e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_017,C*_compact,q_comp -> compact (12),native,3.1979070920875767e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_018,C*_compact,q_comp -> compact (12),native,3.3900542288892696e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_019,C*_compact,q_comp -> compact (12),native,3.311536558911064e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_020,C*_compact,q_comp -> compact (12),native,3.3986603543302646e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_021,C*_compact,q_comp -> compact (12),native,3.0357506675960595e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_022,C*_compact,q_comp -> compact (12),native,2.983170328451989e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_023,C*_compact,q_comp -> compact (12),native,3.507343440905525e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_000,C*_robust,q_rob -> C_all (38),native,1.5285204928035807e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_001,C*_robust,q_rob -> C_all (38),native,1.1423147677802105e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_002,C*_robust,q_rob -> C_all (38),native,9.467291277263218e-06,pysindy.STLSQ,confirmation_24
