shot_id,era,block,denominator,used_by,finite,rms,no_sign_change,eta,eta_threshold,admissible,failure_reasons
165017,earlier,C,cerqtit10,RECIP(cerqtit10),True,1823.0630271086006,True,0.12170255043202376,0.05,True,
165017,earlier,C,ece22,"RATIO(ip,ece22)",True,3283.664079833223,True,0.3449474709089061,0.05,True,
165017,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,3.083855639714412e+19,True,0.22164219870812837,0.05,True,
165026,earlier,A,cerqtit10,RECIP(cerqtit10),True,1458.1074029417475,True,0.15108626607841108,0.05,True,
165026,earlier,A,ece22,"RATIO(ip,ece22)",True,3512.4956176570604,True,0.3856278252216523,0.05,True,
165026,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.684978575632158e+19,True,0.37499008252333954,0.05,True,
165026,earlier,B,cerqtit10,RECIP(cerqtit10),True,1755.389929720818,True,0.12549918358412535,0.05,True,
165026,earlier,B,ece22,"RATIO(ip,ece22)",True,3783.278891810978,True,0.35802701436300866,0.05,True,
165026,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.7640689944666546e+19,True,0.3642602046711855,0.05,True,
165026,earlier,C,cerqtit10,RECIP(cerqtit10),True,1808.0197536501294,True,0.12184601556869282,0.05,True,
165026,earlier,C,ece22,"RATIO(ip,ece22)",True,3836.9250764764724,True,0.3530212394404002,0.05,True,
165026,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.8156353409162908e+19,True,0.3575890396808437,0.05,True,
165027,earlier,A,cerqtit10,RECIP(cerqtit10),True,1504.5341915594024,True,0.14994674588929635,0.05,True,
165027,earlier,A,ece22,"RATIO(ip,ece22)",True,3455.330195837848,True,0.3760232101746292,0.05,True,
165027,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.647345286550787e+19,True,0.39499426518061154,0.05,True,
165027,earlier,B,cerqtit10,RECIP(cerqtit10),True,1700.1891949964431,True,0.13269111859282673,0.05,True,
165027,earlier,B,ece22,"RATIO(ip,ece22)",True,3706.048676555347,True,0.35058480496265926,0.05,True,
165027,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.726500962948707e+19,True,0.3835268060971361,0.05,True,
165027,earlier,C,cerqtit10,RECIP(cerqtit10),True,1725.8417131963847,True,0.13071882802374035,0.05,True,
165027,earlier,C,ece22,"RATIO(ip,ece22)",True,3764.6729401174666,True,0.3451254260646974,0.05,True,
165027,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.8090048365172146e+19,True,0.37226215937634083,0.05,True,
165029,earlier,A,cerqtit10,RECIP(cerqtit10),True,1592.6380186808765,True,0.13430546765023849,0.05,True,
165029,earlier,A,ece22,"RATIO(ip,ece22)",True,3710.2639916565795,True,0.290836829441281,0.05,True,
165029,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.963268332191585e+19,True,0.37596799354385824,0.05,True,
165029,earlier,B,cerqtit10,RECIP(cerqtit10),True,1787.9699667648206,True,0.1196328785564101,0.05,True,
165029,earlier,B,ece22,"RATIO(ip,ece22)",True,3858.584195928912,True,0.2796573460447126,0.05,True,
165029,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.99598652607544e+19,True,0.3718621694355618,0.05,True,
165029,earlier,C,cerqtit10,RECIP(cerqtit10),True,1777.462909745612,True,0.12034006038815034,0.05,True,
165029,earlier,C,ece22,"RATIO(ip,ece22)",True,3878.8918012384256,True,0.27819322399738744,0.05,True,
165029,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,3.005019736413971e+19,True,0.37074433677950663,0.05,True,
165031,earlier,A,cerqtit10,RECIP(cerqtit10),True,1678.9373045248576,True,0.12799763789636595,0.05,True,
165031,earlier,A,ece22,"RATIO(ip,ece22)",True,3820.0273627844567,True,0.2829873471428284,0.05,True,
165031,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.962611865871753e+19,True,0.34710974518738197,0.05,True,
165031,earlier,B,cerqtit10,RECIP(cerqtit10),True,1849.9442738450348,True,0.11616566628172664,0.05,True,
165031,earlier,B,ece22,"RATIO(ip,ece22)",True,3363.4228844758895,True,0.3214045472536053,0.05,True,
165031,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,3.089020719750795e+19,True,0.33290532603964534,0.05,True,
165031,earlier,C,cerqtit10,RECIP(cerqtit10),True,1843.8754880314157,True,0.11654800475964243,0.05,True,
165031,earlier,C,ece22,"RATIO(ip,ece22)",True,3312.2294713715464,True,0.3263721365777697,0.05,True,
165031,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,3.21471109183949e+19,True,0.31988922813695997,0.05,True,
165043,earlier,A,cerqtit10,RECIP(cerqtit10),True,1325.3079257297204,True,0.16954550152902872,0.05,True,
165043,earlier,A,ece22,"RATIO(ip,ece22)",True,3608.0800643755992,True,0.37737754093370435,0.05,True,
165043,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.5026261843498504e+19,True,0.29631773908057674,0.05,True,
165043,earlier,B,cerqtit10,RECIP(cerqtit10),True,1305.3215379444641,True,0.17214149189791597,0.05,True,
