shot_id,era,comparator,NRMSE_REL,NRMSE_comparator,d_s,class
187019,earlier,H0,11.952633158377472,0.7074843085921024,11.24514884978537,LOSS
187021,earlier,H0,0.2339909427410042,0.4667436737660848,-0.23275273102508057,WIN
187022,earlier,H0,11.766571685014748,0.6950492386911534,11.071522446323595,LOSS
189646,later,H0,0.2402300600201362,0.8809500467976171,-0.6407199867774809,WIN
189649,later,H0,0.1374895379814073,0.6894236187663871,-0.5519340807849799,WIN
189650,later,H0,0.1699439778423281,0.1724870379825911,-0.0025430601402630093,TIE
189652,later,H0,0.1781385530057603,0.5638674290759577,-0.38572887607019735,WIN
195261,later,H0,0.1697792788135332,0.1745913669325571,-0.004812088119023922,TIE
195265,later,H0,0.1880751743690242,0.2228817077025504,-0.03480653333352618,WIN
195266,later,H0,0.2512944925106523,0.2159677661121492,0.03532672639850307,LOSS
195268,later,H0,0.2617329850600386,0.3188249163487932,-0.05709193128875456,WIN
195269,later,H0,0.2077212378630986,0.1465011060773467,0.06122013178575189,LOSS
195274,later,H0,0.499649267736147,1.2323499826771365,-0.7327007149409894,WIN
195626,later,H0,0.1402416861252779,0.0846936335372903,0.055548052587987604,LOSS
195642,later,H0,0.0801776221388742,0.0809517682796638,-0.0007741461407896055,TIE
195645,later,H0,0.1211655672429321,0.2108169170477963,-0.08965134980486418,WIN
195648,later,H0,0.0504973280382959,0.0867073721048229,-0.036210044066527,WIN
195649,later,H0,0.1013440042194344,0.1267758342042128,-0.025431829984778387,WIN
195651,later,H0,0.1693317910890801,0.1044270246712269,0.06490476641785321,LOSS
195652,later,H0,0.1391419137467811,0.0723304836616853,0.06681143008509578,LOSS
195659,later,H0,0.1308391260664134,0.1465934601313106,-0.015754334064897207,WIN
