shot_id,era,block,max_abs_z_protected,worst_coordinate,worst_constructor,mean_abs_z_protected,n_coordinates_above_10_sigma,REL_nrmse_discharge
195645,later,B,4.711123912239662,"PROD(prmtan_neped,prmtan_neped)",C2,0.9004842044364091,0,0.1211655672429321
195645,later,C,1.8124246278387715,"PROD(gasa,gasa)",C2,0.5138268960090755,0,0.1211655672429321
195648,later,A,2.419591994607142,"PROD(gasa,gasa)",C2,1.0785507999388948,0,0.0504973280382959
195648,later,B,2.019660107935582,"PROD(gasa,gasa)",C2,0.7507134217495671,0,0.0504973280382959
195648,later,C,2.1194815548572814,"PROD(prmtan_neped,prmtan_neped)",C2,0.5921767503327676,0,0.0504973280382959
195649,later,A,3.777596068339302,"PROD(gasa,gasa)",C2,1.2914128093794137,0,0.1013440042194344
195649,later,B,1.8186090296198654,"PROD(prmtan_neped,prmtan_neped)",C2,0.8460589521736503,0,0.1013440042194344
195649,later,C,1.354757768374131,"PROD(prmtan_neped,prmtan_neped)",C2,0.5957110948546246,0,0.1013440042194344
195651,later,A,3.910831820900533,"PROD(prmtan_neped,prmtan_neped)",C2,0.7774627320680486,0,0.1693317910890801
195651,later,B,5.068867871729875,"RATIO(ip,ece22)",C3,0.6805232699269281,0,0.1693317910890801
195651,later,C,2.8011998149546966,"PROD(prmtan_neped,prmtan_neped)",C2,0.3872999897423618,0,0.1693317910890801
195652,later,A,2.4741880114849195,"RATIO(ip,ece22)",C3,0.9006647746751122,0,0.1391419137467811
195652,later,B,3.7555286802172634,"PROD(gasa,gasa)",C2,0.5871427593415666,0,0.1391419137467811
195652,later,C,1.905662460402211,"PROD(gasa,gasa)",C2,0.4942679339381969,0,0.1391419137467811
195659,later,A,5.2049765958923,"RATIO(ip,ece22)",C3,1.2948459736132958,0,0.1308391260664134
195659,later,B,2.027322528859007,"RATIO(ip,ece22)",C3,0.7006406793716797,0,0.1308391260664134
195659,later,C,2.0385570684379912,"RATIO(ip,ece22)",C3,0.6644743187285822,0,0.1308391260664134
