shot_id,era,block,n_calibration,n_protected,scale,scale_valid,y_protected_finite,relational_applicable,domain_failure,relational_nonfinite_construction,B1A_a,B1A_phi,REL_rmse,REL_mse,REL_nrmse,REL_finite,B0_rmse,B0_mse,B0_nrmse,B0_finite,B1_rmse,B1_mse,B1_nrmse,B1_finite,B1A_rmse,B1A_mse,B1A_nrmse,B1A_finite,B2_rmse,B2_mse,B2_nrmse,B2_finite,B3_rmse,B3_mse,B3_nrmse,B3_finite,H0_rmse,H0_mse,H0_nrmse,H0_finite,all_methods_finite,comparison_eligible,ineligible_reason
189649,later,A,241,61,1.710809199785404e+19,True,True,True,,False,2.3592169595057173e-20,1.004357074115203,1.4871564853462042e+18,2.2116344119072748e+36,0.08692708021050777,True,2.082281124805718e+19,4.335894682722166e+38,1.2171322933421855,True,2.40114853855656e+18,5.765514304212302e+36,0.14035162652023084,True,1.2113755792787317e+19,1.467430794072883e+38,0.7080717004740686,True,2.176882483042552e+19,4.738817344977506e+38,1.2724285579687145,True,3.928531318373939e+18,1.5433358319444882e+37,0.22963000893768376,True,2.316570288234349e+19,5.366497900330175e+38,1.3540786947632317,True,True,True,
189649,later,B,362,60,1.7172383423116804e+19,True,True,True,,False,2.075196462772063e-20,1.0021313675585806,3.809619455977147e+18,1.4513200399359613e+37,0.22184570202694073,True,2.2966629571744874e+19,5.2746607388574616e+38,1.3374165371143576,True,6.756112510627791e+18,4.564505625626135e+37,0.3934289343628894,True,2.5911382799973576e+18,6.713997586067666e+36,0.1508898454077881,True,9.783048576271618e+18,9.570803944569015e+37,0.5696966073505005,True,1.0217866290829277e+19,1.0440479153726524e+38,0.5950173624165866,True,9.948594276423475e+18,9.897452807688593e+37,0.5793368358541925,True,True,True,
189649,later,C,483,60,1.8316205417105711e+19,True,True,True,,False,1.842589251458684e-20,1.0017005966550685,1.899314154438888e+18,3.6073942572519076e+36,0.10369583170677356,True,1.6191092054472692e+19,2.621514619164087e+38,0.8839763305641707,True,4.3729175374572237e+18,1.9122407789400951e+37,0.2387458230498609,True,8.508740921397425e+18,7.239867206746311e+37,0.4645471443255936,True,2.54875777032079e+18,6.496166171770605e+36,0.13915315494007707,True,2.1380680474440438e+18,4.5713349755011855e+36,0.11673094938361403,True,2.4700378467773906e+18,6.101086964512688e+36,0.13485532568173725,True,True,True,
189650,later,A,236,59,1.8403504129660654e+19,True,True,True,,False,2.173995440736747e-20,1.0066118787238447,2.230879363100897e+18,4.976822732709464e+36,0.12122035822000995,True,4.088945012137446e+19,1.6719471312283695e+39,2.2218295946951505,True,3.2209861791861417e+18,1.0374751966508139e+37,0.1750202655153551,True,1.6969237920072376e+19,2.8795503558802225e+38,0.9220655914502341,True,4.2863962928902016e+18,1.837319317970286e+37,0.23291196408524617,True,7.286255973125945e+18,5.308952610591351e+37,0.395916773337899,True,5.489119709393572e+18,3.0130435184052967e+37,0.29826492121936926,True,True,True,
189650,later,B,354,59,2.4537077355531387e+19,True,True,True,,False,1.5932651650871678e-20,1.0024778671284362,2.8765456820454845e+18,8.274515060894522e+36,0.11723261252208693,True,2.7508983764911997e+19,7.567441877781918e+38,1.1211190055897449,True,1.6474001283881697e+18,2.7139271830133585e+36,0.0671392156660743,True,5.648515646622453e+18,3.190572901013867e+37,0.2302032782787437,True,4.0466601396155535e+18,1.637545828555337e+37,0.16492021771709972,True,7.691314981737085e+18,5.915632614829333e+37,0.3134568502309112,True,3.924853978148768e+18,1.5404478749790206e+37,0.15995605023692802,True,True,True,
189650,later,C,472,59,2.4601514001490764e+19,True,True,True,,False,1.457695292199205e-20,1.0015809164212186,6.676333352662451e+18,4.457342703587305e+37,0.27137896278488755,True,1.448000498034604e+19,2.0967054423084615e+38,0.5885818644929172,True,9.267902310130797e+18,8.589401323012777e+37,0.37672081114882583,True,1.374646851057112e+19,1.889653965121234e+38,0.5587651438744028,True,1.8061834944905876e+18,3.2622988157702304e+36,0.07341757480377588,True,2.3412197874105205e+19,5.4813100929625634e+38,0.9516567912318936,True,1.4573971949543583e+18,2.1240065838608317e+36,0.05924014249147614,True,True,True,
189652,later,A,257,65,1.7853697651314295e+19,True,True,True,,False,2.2153975004749386e-20,1.0056387750685205,2.750493783774382e+18,7.565216054581518e+36,0.15405737441576453,True,4.111218508975535e+19,1.690211762854302e+39,2.302726633590599,True,6.42009168699568e+18,4.121757726943104e+37,0.35959451158976397,True,1.2027577126010102e+19,1.4466261152212144e+38,0.6736742920660301,True,2.6022493410915238e+19,6.771701633211269e+38,1.457540836589646,True,6.339486345819027e+18,4.0189087128825884e+37,0.35507974144237553,True,2.5653825214179996e+19,6.581187481196973e+38,1.4368914336516445,True,True,True,
189652,later,B,386,64,2.4366777218200097e+19,True,True,True,,False,1.606398810345068e-20,1.0024768553520962,2.5743732625135544e+18,6.627397694744682e+36,0.10565095414385357,True,2.982292020763546e+19,8.894065697109914e+38,1.2239173010274025,True,2.0072254739293071e+18,4.028954103190732e+36,0.08237550070552888,True,8.729258520537924e+18,7.619995431838393e+37,0.35824427836184436,True,2.7968943743199324e+18,7.822618141102485e+36,0.11478310608227947,True,2.198379754137597e+18,4.832873543402081e+36,0.09022037401382639,True,2.3819365962013793e+18,5.673621948323413e+36,0.09775345236965753,True,True,True,
189652,later,C,515,64,2.4127074738729964e+19,True,True,True,,False,1.4809733735833947e-20,1.0011283002072282,6.627884293229022e+18,4.392885020443197e+37,0.2747073304576629,True,9.266466828742695e+18,8.586740748818871e+37,0.38406922219491896,True,4.846313631071087e+18,2.3486755810705415e+37,0.2008661921742028,True,7.885507875603968e+18,6.218123445621221e+37,0.32683232264978085,True,3.577790778412944e+18,1.28005868540967e+37,0.14828945560771603,True,7.500903006578076e+18,5.626354591409202e+37,0.3108915228142954,True,3.7869229497077576e+18,1.4340785427023303e+37,0.15695740120657078,True,True,True,
195261,later,A,316,79,9.16498524326591e+18,True,True,True,,False,2.646965394386107e-20,1.0017287444146583,2.636429693850433e+18,6.950761530616288e+36,0.28766327755820265,True,9.140384788065538e+18,8.354663407389989e+37,0.9973158216246505,True,2.1876816441382218e+18,4.7859509760993135e+36,0.23869996361921575,True,1.908657093057461e+18,3.6429718988785574e+36,0.20825533728598977,True,3.008413913995155e+18,9.050554277919646e+36,0.3282508191931488,True,3.994698619667703e+18,1.5957617061975048e+37,0.4358652538587401,True,3.3188361713090627e+18,1.1014673531989398e+37,0.3621212782363856,True,True,True,
