shot_id,era,n_eligible_blocks,blocks,evaluable,REL_nrmse,REL_mse,REL_rmse,B0_nrmse,B0_mse,B0_rmse,B1_nrmse,B1_mse,B1_rmse,B1A_nrmse,B1A_mse,B1A_rmse,B2_nrmse,B2_mse,B2_rmse,B3_nrmse,B3_mse,B3_rmse,H0_nrmse,H0_mse,H0_rmse,S_pers_REL,S_pers_undefined
170411,earlier,3,ABC,True,0.12364385419715014,2.8560205769093307e+36,1.379317123083962e+18,0.8100163335388076,8.777357619722488e+37,8.894369432269497e+18,0.08671114192208984,1.3017517639387674e+36,9.671340384108753e+17,0.3561411909557081,2.123991963533118e+37,3.9614482599905894e+18,0.2545409236613961,2.046903663649457e+37,2.890661381972476e+18,0.1366026664784562,4.40474246657008e+36,1.5333377921802033e+18,0.24500354957363804,1.9135303450280065e+37,2.7816599193447685e+18,-1.1939824903849132,False
186997,earlier,3,ABC,True,0.24319849109218425,9.798776080931535e+36,2.722735984496589e+18,1.0217782057536906,1.461745468828362e+38,1.153507072197715e+19,0.19915059035254182,8.199200890249234e+36,2.2125820396565535e+18,0.3182843026172702,1.7993062608721375e+37,3.7411070242763955e+18,0.2939529428341234,1.689153863704372e+37,3.268054826136097e+18,0.20457074986305943,1.1181959896669426e+37,2.2292578863173809e+18,0.2688211307336695,1.3345723944280805e+37,2.999906436390588e+18,-0.195089157113417,False
187018,earlier,3,ABC,True,0.3085991152311767,8.819183254253871e+36,2.8969845921073915e+18,1.7027787494803033,3.258327789074456e+38,1.7362307474889599e+19,0.3550296531477837,1.3600164716195522e+37,3.311971412346657e+18,0.26221972081914674,1.4532581355620947e+37,2.9669962586436685e+18,0.5152196233534804,4.096648178270227e+37,5.542320695327858e+18,1.0005515138831895,9.735573581826321e+37,9.513593010681467e+18,0.46930043082651207,3.818609107585207e+37,5.148821744559085e+18,0.35153849690131334,False
187019,earlier,3,ABC,True,11.952633158377472,2.070035555762746e+40,8.399461300822178e+19,1.2063721657860962,9.757988136898738e+37,9.166138759318035e+18,0.1774456668879357,1.7733278082519792e+36,1.3254220229766234e+18,0.3256119667215395,6.009511069297657e+36,2.446328922539763e+18,0.7097049756296445,6.1014159432204e+37,5.55257381969025e+18,0.8460346923831442,5.1570175051829495e+37,6.261251745385186e+18,0.7074843085921024,6.132180611535058e+37,5.538715410197399e+18,-11672.169202727613,False
187021,earlier,3,ABC,True,0.2339909427410042,1.679098427763569e+36,1.222459058099758e+18,1.1415465930682869,3.7569351644788364e+37,5.996878405184472e+18,0.37206701873055253,4.0615375991341074e+36,1.9736221495005197e+18,0.41047270532384056,7.896930322253737e+36,2.263264447839835e+18,0.43529316155449743,9.061343463912853e+36,2.395721643702715e+18,1.6735848870903738,8.962210391979832e+37,8.954722060392345e+18,0.46674367376608483,1.07249268416602e+37,2.574133137388228e+18,0.5865855265942777,False
187022,earlier,3,ABC,True,11.766571685014748,1.2462362530741055e+40,6.5520735667358e+19,0.9835375611479736,3.454927508167993e+37,5.724810845541055e+18,0.23447942047413192,2.3847745050702013e+36,1.3454298577474092e+18,0.3612214852515412,6.144023401557291e+36,2.1774186394547814e+18,0.6637003963208771,2.2961823790593124e+37,3.845593123347099e+18,0.9824483744091538,4.158715354233211e+37,5.64056595912419e+18,0.6950492386911534,2.308474206719066e+37,4.037172355806032e+18,-5224.803321968253,False
189646,later,3,ABC,True,0.24023006002013625,1.7024812117224196e+37,3.7299885086853094e+18,1.1006477448202614,3.022978634087363e+38,1.6858975618746788e+19,0.25377827736642505,1.7623621475784286e+37,3.8450340919691694e+18,0.20662287852608205,1.4633298593696872e+37,3.260791105182005e+18,0.760891077852463,2.0674376390273716e+38,1.1355161486977694e+19,0.44135836561704295,9.57142648246939e+37,6.958182086164999e+18,0.8809500467976171,3.0000818855105448e+38,1.309307095592693e+19,0.033977656600425954,False
189649,later,3,ABC,True,0.13748953798140737,6.777409689506265e+36,2.398696698587413e+18,1.1461750536735713,4.077356680247905e+38,1.9993510958091583e+19,0.257508794644327,2.3510992783291537e+37,4.510059528880525e+18,0.4411695634024834,7.528524968693969e+37,7.737878331394033e+18,0.6604261067530973,1.9202864670507043e+38,1.1366877059005975e+19,0.3137927735792948,4.146982827740377e+37,5.42815521888242e+18,0.6894236187663871,2.1390846835813872e+38,1.1861445001848117e+19,0.7117344319750403,False
189650,later,3,ABC,True,0.16994397784232815,1.927492160982568e+37,3.9279194659362775e+18,1.3105101549259375,8.79453954412469e+38,2.76261462888775e+19,0.20629343077675175,3.2994230793216425e+37,4.712096205901702e+18,0.5703446712011269,1.6960872037009477e+38,1.212140735908865e+19,0.15708325220204059,1.2670316760342155e+37,3.3797466423321144e+18,0.553676804933568,2.2012562051682108e+38,1.279658960965608e+19,0.17248703798259113,1.5886306839234666e+37,3.623790294165566e+18,0.41580933555848865,False
189652,later,3,ABC,True,0.17813855300576034,1.9373821317919392e+37,3.9842504465056527e+18,1.3035710522709736,8.88495246684494e+38,2.6733857375377834e+19,0.2142787348231652,2.291109572777573e+37,4.424543597332025e+18,0.4529169643592184,9.434793343223919e+37,9.54744784071733e+18,0.5735377994265473,2.325977894387754e+38,1.0799059521216039e+19,0.2520638794234991,3.3761835528773326e+37,5.346256368844899e+18,0.5638674290759577,2.2604438516501465e+38,1.0607561586696378e+19,0.15439132426861646,False
