coordinate_id,group,n_supports,share,group_size,in_C_dev_star
"PROD(pinj,pinj_30l)",V3_STYLE_FAIL,8,0.055944055944055944,143,False
"RATIO(ece39,bt)",V3_STYLE_FAIL,8,0.055944055944055944,143,False
"RATIO(prmtan_teped,prmtan_neped)",V3_STYLE_FAIL,8,0.055944055944055944,143,False
"RATIO(fs03da,ece22)",V3_STYLE_FAIL,7,0.04895104895104895,143,False
"RATIO(ip,cerqtit10)",V3_STYLE_FAIL,6,0.04195804195804196,143,False
"PROD(gasa,gasb)",V3_STYLE_FAIL,5,0.03496503496503497,143,False
RATE_OVER_LEVEL(ece37|cerqtit10),V3_STYLE_FAIL,5,0.03496503496503497,143,False
LEVEL_RATE(pinj_30r|ece39),V3_STYLE_FAIL,4,0.027972027972027972,143,False
"PROD(bt,cerqtit6)",V3_STYLE_FAIL,4,0.027972027972027972,143,False
"PROD(ece39,cerqtit10)",V3_STYLE_FAIL,4,0.027972027972027972,143,False
"PROD(fs04,pinj)",V3_STYLE_FAIL,4,0.027972027972027972,143,False
"PROD(ip,pinj)",V3_STYLE_FAIL,4,0.027972027972027972,143,False
"PROD(prmtan_neped,pinj)",V3_STYLE_FAIL,4,0.027972027972027972,143,False
"RATIO(pinj,bt)",V3_STYLE_FAIL,4,0.027972027972027972,143,False
"RATIO(pinj,ece37)",V3_STYLE_FAIL,4,0.027972027972027972,143,False
LEVEL_RATE(prmtan_neped|ece9),V3_STYLE_FAIL,3,0.02097902097902098,143,False
"PROD(cerqtit8,cerqtit10)",V3_STYLE_FAIL,3,0.02097902097902098,143,False
"PROD(ece37,cerqtit6)",V3_STYLE_FAIL,3,0.02097902097902098,143,False
"PROD(gasc,pinj)",V3_STYLE_FAIL,3,0.02097902097902098,143,False
"PROD(ip,ece39)",V3_STYLE_FAIL,3,0.02097902097902098,143,False
"RATIO(bt,prmtan_neped)",V3_STYLE_FAIL,3,0.02097902097902098,143,False
"RATIO(ece22,ece39)",V3_STYLE_FAIL,3,0.02097902097902098,143,False
RECIP(ece39),V3_STYLE_FAIL,3,0.02097902097902098,143,False
ID(pinj),V3_STYLE_FAIL,2,0.013986013986013986,143,False
LEVEL_RATE(prmtan_neped|ip),V3_STYLE_FAIL,2,0.013986013986013986,143,False
"PROD(pinj_30l,cerqtit6)",V3_STYLE_FAIL,2,0.013986013986013986,143,False
"PROD(prmtan_neped,ece38)",V3_STYLE_FAIL,2,0.013986013986013986,143,False
RATE_OVER_LEVEL(ip|ece1),V3_STYLE_FAIL,2,0.013986013986013986,143,False
"RATIO(gasd,bt)",V3_STYLE_FAIL,2,0.013986013986013986,143,False
"RATIO(pinj_33r,cerqtit10)",V3_STYLE_FAIL,2,0.013986013986013986,143,False
ID(bt),V3_STYLE_FAIL,1,0.006993006993006993,143,False
ID(ece38),V3_STYLE_FAIL,1,0.006993006993006993,143,False
ID(prmtan_teped),V3_STYLE_FAIL,1,0.006993006993006993,143,False
LEVEL_RATE(fs03da|cerqrott6),V3_STYLE_FAIL,1,0.006993006993006993,143,False
"PROD(bt,gasd)",V3_STYLE_FAIL,1,0.006993006993006993,143,False
"PROD(bt,prmtan_neped)",V3_STYLE_FAIL,1,0.006993006993006993,143,False
"PROD(fs04,fs03da)",V3_STYLE_FAIL,1,0.006993006993006993,143,False
RATE_OVER_LEVEL(cerqrott3|prmtan_neped),V3_STYLE_FAIL,1,0.006993006993006993,143,False
RATE_OVER_LEVEL(ece33|ece39),V3_STYLE_FAIL,1,0.006993006993006993,143,False
RATE_OVER_LEVEL(gasa|ece39),V3_STYLE_FAIL,1,0.006993006993006993,143,False
"RATIO(bt,ece39)",V3_STYLE_FAIL,1,0.006993006993006993,143,False
"RATIO(cerqtit6,ece22)",V3_STYLE_FAIL,1,0.006993006993006993,143,False
"RATIO(gasd,ip)",V3_STYLE_FAIL,1,0.006993006993006993,143,False
ID(pcdiamag3),V3_STYLE_PASS,70,1.0,70,True
"PROD(fs03da,cerqtit11)",V3_STYLE_PASS,61,0.8714285714285714,70,False
"PROD(prmtan_neped,ece39)",V3_STYLE_PASS,61,0.8714285714285714,70,False
"RATIO(ip,ece22)",V3_STYLE_PASS,60,0.8571428571428571,70,True
"RATIO(fs03da,prmtan_neped)",V3_STYLE_PASS,56,0.8,70,True
"PROD(ip,prmtan_neped)",V3_STYLE_PASS,54,0.7714285714285715,70,False
"PROD(gasa,ece1)",V3_STYLE_PASS,40,0.5714285714285714,70,False
RECIP(bt),V3_STYLE_PASS,38,0.5428571428571428,70,False
"RATIO(prmtan_neped,cerqtit10)",V3_STYLE_PASS,33,0.4714285714285714,70,False
"RATIO(ece25,ece39)",V3_STYLE_PASS,30,0.42857142857142855,70,False
"PROD(prmtan_neped,prmtan_neped)",V3_STYLE_PASS,29,0.4142857142857143,70,True
RECIP(cerqtit10),V3_STYLE_PASS,28,0.4,70,True
"RATIO(cerqrott12,cerqtit10)",V3_STYLE_PASS,22,0.3142857142857143,70,False
"PROD(bt,bt)",V3_STYLE_PASS,21,0.3,70,False
"PROD(ece37,ece39)",V3_STYLE_PASS,19,0.2714285714285714,70,True
"PROD(pinj,cerqrott6)",V3_STYLE_PASS,19,0.2714285714285714,70,True
"RATIO(gasd,bt)",V3_STYLE_PASS,19,0.2714285714285714,70,False
"RATIO(ip,bt)",V3_STYLE_PASS,17,0.24285714285714285,70,False
"PROD(pinj,ece36)",V3_STYLE_PASS,15,0.21428571428571427,70,False
"RATIO(pinj_33r,cerqtit10)",V3_STYLE_PASS,11,0.15714285714285714,70,False
"RATIO(pinj,bt)",V3_STYLE_PASS,10,0.14285714285714285,70,False
ID(prmtan_neped),V3_STYLE_PASS,9,0.12857142857142856,70,True
"PROD(prmtan_neped,cerqtit6)",V3_STYLE_PASS,9,0.12857142857142856,70,False
"RATIO(ip,cerqtit10)",V3_STYLE_PASS,9,0.12857142857142856,70,False
"RATIO(prmtan_neped,ece22)",V3_STYLE_PASS,7,0.1,70,False
"PROD(bt,cerqtit6)",V3_STYLE_PASS,5,0.07142857142857142,70,False
"PROD(pinj,pinj_30l)",V3_STYLE_PASS,5,0.07142857142857142,70,False
ID(pinj),V3_STYLE_PASS,4,0.05714285714285714,70,False
LEVEL_RATE(cerqrott12|ece33),V3_STYLE_PASS,4,0.05714285714285714,70,False
"PROD(gasa,cerqtit6)",V3_STYLE_PASS,4,0.05714285714285714,70,False
"RATIO(cerqtit8,ece22)",V3_STYLE_PASS,4,0.05714285714285714,70,False
"RATIO(prmtan_teped,prmtan_neped)",V3_STYLE_PASS,4,0.05714285714285714,70,False
"PROD(bt,gasd)",V3_STYLE_PASS,3,0.04285714285714286,70,False
"RATIO(cerqrott3,prmtan_neped)",V3_STYLE_PASS,3,0.04285714285714286,70,False
ID(cerqtit6),V3_STYLE_PASS,2,0.02857142857142857,70,True
ID(ece39),V3_STYLE_PASS,2,0.02857142857142857,70,False
ID(gasd),V3_STYLE_PASS,2,0.02857142857142857,70,False
LEVEL_RATE(cerqrott12|cerqtit8),V3_STYLE_PASS,2,0.02857142857142857,70,False
LEVEL_RATE(prmtan_neped|ece9),V3_STYLE_PASS,2,0.02857142857142857,70,False
"PROD(ece39,cerqtit10)",V3_STYLE_PASS,2,0.02857142857142857,70,False
"PROD(fs04,pinj)",V3_STYLE_PASS,2,0.02857142857142857,70,False
"PROD(ip,pinj)",V3_STYLE_PASS,2,0.02857142857142857,70,False
"RATIO(cerqtit8,ip)",V3_STYLE_PASS,2,0.02857142857142857,70,False
"RATIO(ece16,cerqtit10)",V3_STYLE_PASS,2,0.02857142857142857,70,False
"RATIO(ece22,ece39)",V3_STYLE_PASS,2,0.02857142857142857,70,False
RECIP(ece39),V3_STYLE_PASS,2,0.02857142857142857,70,False
ID(bt),V3_STYLE_PASS,1,0.014285714285714285,70,False
ID(ece38),V3_STYLE_PASS,1,0.014285714285714285,70,False
LEVEL_RATE(bt|cerqrott3),V3_STYLE_PASS,1,0.014285714285714285,70,False
LEVEL_RATE(cerqrott12|cerqrott3),V3_STYLE_PASS,1,0.014285714285714285,70,False
LEVEL_RATE(fs03da|ip),V3_STYLE_PASS,1,0.014285714285714285,70,False
"PROD(ece37,cerqtit6)",V3_STYLE_PASS,1,0.014285714285714285,70,False
"PROD(fs03da,cerqtit10)",V3_STYLE_PASS,1,0.014285714285714285,70,False
"PROD(fs03da,ece39)",V3_STYLE_PASS,1,0.014285714285714285,70,False
"PROD(ip,ece39)",V3_STYLE_PASS,1,0.014285714285714285,70,False
"PROD(prmtan_neped,ece38)",V3_STYLE_PASS,1,0.014285714285714285,70,False
RATE_OVER_LEVEL(cerqrott3|ece1),V3_STYLE_PASS,1,0.014285714285714285,70,False
RATE_OVER_LEVEL(ip|ece1),V3_STYLE_PASS,1,0.014285714285714285,70,False
"RATIO(cerqtit6,ece22)",V3_STYLE_PASS,1,0.014285714285714285,70,False
"RATIO(ece21,prmtan_neped)",V3_STYLE_PASS,1,0.014285714285714285,70,True
"RATIO(fs03da,cerqtit10)",V3_STYLE_PASS,1,0.014285714285714285,70,False
"RATIO(pinj,ece37)",V3_STYLE_PASS,1,0.014285714285714285,70,False
"RATIO(pinj_33r,prmtan_neped)",V3_STYLE_PASS,1,0.014285714285714285,70,False
"RATIO(prmtan_neped,bt)",V3_STYLE_PASS,1,0.014285714285714285,70,False
