shot_id,era,block,nrmse,rmse,scale,log10_kappa,active_terms
170411,earlier,B,0.06393125158414853,7.044108651771291e+17,1.1018255512328882e+19,1.617052015143819,12
170411,earlier,C,0.10734638611266374,1.0830805836672076e+18,1.008958589933784e+19,1.6502517543658464,12
186997,earlier,A,0.23606780598614277,2.9196474609762857e+18,1.2367834100799283e+19,1.865637698381571,12
186997,earlier,B,0.1641861417250043,1.834374046743121e+18,1.1172526666809174e+19,1.8678056923803679,12
186997,earlier,C,0.5704131100428347,6.13865790784744e+18,1.076177563202652e+19,1.8552182342335986,12
187017,earlier,A,0.09697360546359127,6.870098093345833e+17,7.084503108348602e+18,2.217701418176354,12
187017,earlier,B,0.30520501562030583,2.427484972572313e+18,7.953620839548248e+18,2.1648234279335328,12
187017,earlier,C,0.3311742982762005,3.738322949978748e+18,1.1288082950389387e+19,2.2451066892657674,12
187018,earlier,A,0.3232042593288548,2.5811913885226757e+18,7.986254246409412e+18,2.2302232964941657,12
187018,earlier,B,0.15076532499846393,1.4239202549152776e+18,9.444613706300074e+18,2.22114996451327,12
187018,earlier,C,0.1392843258459625,1.833040751820012e+18,1.3160423764029348e+19,2.2122861148878905,12
187019,earlier,A,0.14858452172939812,1.1245777893714755e+18,7.568606583527958e+18,2.1309868067642985,12
187019,earlier,B,0.31693871595239675,2.224710196174051e+18,7.019370257397635e+18,2.1193243781553943,12
187019,earlier,C,0.20929169558451907,1.6736528248624824e+18,7.996747411254093e+18,2.1193021491668,12
187020,earlier,A,0.19981648376948785,9.54944403021682e+17,4.779107233832241e+18,2.147399851430357,12
187020,earlier,B,0.26806592930885276,1.247520661593163e+18,4.653782988422334e+18,2.165560445774574,12
187020,earlier,C,0.22514321838996418,1.2792127955781524e+18,5.681773604934724e+18,2.2171501844077572,12
187021,earlier,A,0.21151977665453472,1.050136655224118e+18,4.964720896709609e+18,2.0779083703261585,12
187021,earlier,B,0.16584773762914837,8.394338095478505e+17,5.061472779477438e+18,2.1265825851395292,12
187021,earlier,C,0.26310688010890804,1.5215821496302725e+18,5.783133261283182e+18,2.125915560775952,12
187022,earlier,A,0.24284158253728022,1.5127856875269693e+18,6.229516673878254e+18,1.927109871605499,12
187022,earlier,B,0.5263487215913575,2.927358699813708e+18,5.561633532543141e+18,1.9436035929501332,12
187022,earlier,C,0.245176463559349,1.4419631494075372e+18,5.881327793352751e+18,2.0211037713255293,12
187024,earlier,A,1.3310573529088299,2.1638276134947886e+18,1.6256456634014019e+18,2.0887434492327266,12
187024,earlier,B,1.2328437279771869,2.622338664631283e+18,2.1270649354188124e+18,2.1817693141572176,12
187024,earlier,C,0.20866787387467703,5.952021478338166e+17,2.852389957216349e+18,2.2398012359069748,12
189646,later,A,0.15103113066342375,2.1916901652442941e+18,1.4511512663760194e+19,2.903726533944767,12
189646,later,B,0.18315820511413394,2.9125474628455895e+18,1.5901812648964608e+19,2.9327599535024236,12
189646,later,C,0.2618641356261336,4.192224245311833e+18,1.6009157708015118e+19,2.9076283618946506,12
189647,later,A,0.26583329827717705,4.910303809889576e+18,1.847136473012398e+19,2.772467265837991,12
189647,later,B,0.11967965575931203,2.5279506429816397e+18,2.1122643000123646e+19,2.8324641950901475,12
189647,later,C,0.14659540648403108,3.1088216265562035e+18,2.120681473668722e+19,2.8054616811755793,12
189649,later,A,0.08497962266185584,1.4538392024419517e+18,1.710809199785404e+19,2.6293923184409644,12
189649,later,B,0.17953603665087794,3.0830616596356275e+18,1.7172383423116804e+19,2.6626575135087145,12
189649,later,C,0.07664517263173974,1.4038487261524739e+18,1.8316205417105711e+19,2.627890329051927,12
189650,later,A,0.19666101986628165,3.6192518912523904e+18,1.8403504129660654e+19,2.70952792003295,12
189650,later,B,0.09577141963694387,2.3499507320807496e+18,2.4537077355531387e+19,2.7869385115800283,12
189650,later,C,0.19044835417120476,4.685317851703766e+18,2.4601514001490764e+19,2.7944199076181047,12
189651,later,A,0.07920261919768497,1.4768429968016028e+18,1.8646390886587875e+19,2.61549412463446,12
189651,later,B,0.15104561788946255,3.4920062234111795e+18,2.311888469327645e+19,2.6736347465323465,12
189651,later,C,0.3591075676952981,8.848776650321047e+18,2.4641019700897006e+19,2.637553796360405,12
189652,later,A,0.08702411560669031,1.5537022484148705e+18,1.7853697651314295e+19,2.6672208471321954,12
189652,later,B,0.1365627137047346,3.3275932211561093e+18,2.4366777218200097e+19,2.7557997557116325,12
189652,later,C,0.32234201793724804,7.777169958205018e+18,2.4127074738729964e+19,2.7631113119693502,12
195261,later,A,0.20170652070187925,1.848637285703233e+18,9.16498524326591e+18,2.164251653512651,12
195261,later,B,0.12821050985248483,1.1115009926171409e+18,8.66934383067348e+18,2.144963138414284,12
195261,later,C,0.11606051251069542,9.691173583109705e+17,8.35010407369744e+18,2.114787887406166,12
195264,later,A,0.3672998087390033,3.247685916983841e+18,8.842057196091785e+18,2.1578294774007523,12
195264,later,B,0.22574524752297917,2.370655520900148e+18,1.050146369375432e+19,2.116901460000437,12
195264,later,C,0.20151700093414476,1.9509828767801377e+18,9.68148031052583e+18,2.113379160063054,12
195265,later,A,0.20719969012661388,1.8627804286288535e+18,8.990266479117614e+18,2.201054663336039,12
195265,later,B,0.2135093039455828,1.8147272099277268e+18,8.499522861028328e+18,2.2178580048062106,12
195265,later,C,0.30263794685701495,2.599476840807544e+18,8.589394911655605e+18,2.1663909311926717,12
195266,later,A,0.0950301007585923,8.272575093063983e+17,8.70521553384337e+18,2.237120360470376,12
195266,later,B,0.2186706982216382,1.700680712597533e+18,7.777359867730302e+18,2.265184276829869,12
195266,later,C,0.4012138932341555,3.15330401045279e+18,7.859408818159908e+18,2.2468680463208925,12
195267,later,A,0.11594065031228055,1.0366361410979276e+18,8.941093036012805e+18,2.1798419869935453,12
195267,later,B,0.3304110534984147,2.7492927925394995e+18,8.320825721263864e+18,2.202114508535369,12
195267,later,C,0.1775615027877025,1.79020214686343e+18,1.0082152486644842e+19,2.118606352071255,12
195268,later,A,0.3457955296623384,3.146631234838501e+18,9.099687430636005e+18,2.2091614113067957,12
195268,later,B,0.14537296608502906,1.4854695885667474e+18,1.0218334457714043e+19,2.1761962019335663,12
195268,later,C,0.22705014516989905,2.499760226146604e+18,1.1009727495554173e+19,2.1249157405208523,12
195269,later,A,0.09668869604015462,8.658886956243802e+17,8.955428411867075e+18,2.2771472815527294,12
195269,later,B,0.16831477172923898,1.5101308071420861e+18,8.972063423948144e+18,2.2829325688728046,12
195269,later,C,0.24474200780047065,2.1506484151074995e+18,8.787410197520508e+18,2.244470640194147,12
195273,later,A,0.08846649742028848,7.917677842738536e+17,8.94991671832905e+18,2.1890059361497256,12
195273,later,B,0.22010639038798152,1.8022215162994652e+18,8.18795634748582e+18,2.2116049829042805,12
195273,later,C,0.25863700284018337,2.6063518015011195e+18,1.007725798273201e+19,2.1773058592493304,12
195274,later,A,0.2265975646411033,2.460545881311958e+18,1.0858659867810562e+19,2.3781245631424364,12
195274,later,B,0.26720770400907334,2.547988382685129e+18,9.535609731516609e+18,2.381615378183896,12
195274,later,C,0.1530561112966843,1.5952970433345114e+18,1.0422955541070713e+19,2.229769852100862,12
195626,later,A,0.09556247170154447,1.424314117950968e+18,1.4904534097854947e+19,1.9808442723114197,12
195626,later,B,0.10859239876938133,1.3945889288592965e+18,1.2842417560192199e+19,2.0023887620186462,12
195626,later,C,0.18128789933812697,2.0703792987051955e+18,1.1420394335551609e+19,2.003096057104847,12
195638,later,A,0.13674671210569753,2.4802546127453573e+18,1.813758133232673e+19,1.8897389697903448,12
195638,later,B,0.07644288552010424,1.3692291076535519e+18,1.7911792553846608e+19,1.8997349727343271,12
195638,later,C,0.10340731219904853,1.6733956573629955e+18,1.6182566027263908e+19,1.8661420495173795,12
195642,later,A,0.056187638748920556,1.0737990391692972e+18,1.911094794297485e+19,2.157484949303588,12
195642,later,B,0.06784466022553874,1.3197862070908214e+18,1.9453059425803047e+19,2.1972381596928092,12
195642,later,C,0.046066076941300625,8.394005020032434e+17,1.8221662397534818e+19,2.214875127103812,12
195645,later,A,0.05656369337029552,1.109681668528456e+18,1.9618267521250767e+19,2.0265408918837533,12
195645,later,B,0.12332784187153481,2.561317659422745e+18,2.076836520086646e+19,2.003462858419394,12
195645,later,C,0.11338600883293112,2.1359059089591565e+18,1.8837473255684588e+19,1.9581769000230935,12
195647,later,A,0.07263255525080059,1.310407681340737e+18,1.8041602375352107e+19,1.9932902956319407,12
195647,later,B,0.05940920570017499,1.1039939504735479e+18,1.8582876802715714e+19,2.0241897929062804,12
195647,later,C,0.054928708438399206,9.464049462440966e+17,1.7229695966826885e+19,2.0386986567813516,12
195648,later,A,0.07347142359885246,1.3693566028744046e+18,1.8637948413126873e+19,2.1214952660014537,12
195648,later,B,0.07130576021295489,1.4278640990048535e+18,2.0024526696588505e+19,2.14571842132507,12
195648,later,C,0.03131597129245057,5.914991676101517e+17,1.8888099049725022e+19,2.0959135010551946,12
195649,later,A,0.1498979083834524,2.8928451757646525e+18,1.9298769455571673e+19,1.864758245649569,12
195649,later,B,0.06133262337837733,1.1886961410157312e+18,1.9381139686172353e+19,1.8927607602224579,12
195649,later,C,0.09536307113972561,1.7416990193192558e+18,1.8263872990912016e+19,1.9029769799786551,12
195650,later,A,0.1717687569715758,3.2885207293411676e+18,1.914504585886565e+19,2.0552232872257594,12
195650,later,B,0.07799601048138248,1.5935577395465372e+18,2.043127244215801e+19,2.0424181460659763,12
195650,later,C,0.10751499914034664,2.111815203699456e+18,1.964205199818455e+19,2.030546430512326,12
195651,later,A,0.1741808929395578,2.7497637037424287e+18,1.5786827460441481e+19,2.0499558066071044,12
195651,later,B,0.05682666670458454,9.064730915594291e+17,1.5951544303517958e+19,2.0478455749979454,12
195651,later,C,0.07418581512676764,1.1263967496701184e+18,1.5183451819533804e+19,2.045000055648044,12
195652,later,A,0.11026985902907095,1.8206119429557645e+18,1.651051301766685e+19,1.9758212962009896,12
195652,later,B,0.19651751655345248,3.311287294898648e+18,1.6849832793393676e+19,1.9880306383172848,12
195652,later,C,0.07199117100577344,1.0951820625168902e+18,1.5212727438883588e+19,1.9625410198494264,12
195655,later,A,0.11558195805139448,1.72834438528115e+18,1.4953409809103833e+19,1.9964334589074137,12
195655,later,B,0.07176274892864963,1.1711933094614638e+18,1.632035181129874e+19,1.9978925621396093,12
195655,later,C,0.1212577473139696,1.9108324367068756e+18,1.5758435885825966e+19,1.9967458601999724,12
195659,later,A,0.2205761912093792,3.5047485551351383e+18,1.588906099030561e+19,2.207479561960202,12
195659,later,B,0.07419216406774283,1.3862494185901821e+18,1.8684579914995278e+19,2.274730950428462,12
195659,later,C,0.09649376856082602,1.7488674821663183e+18,1.812414944768064e+19,2.299131689505159,12
