candidate,shot,cohort,target_source_dt_ms,coarsest_predictor_source_dt_ms,binding_signal,required_analysis_dt_ms,n_grid_samples,validation_feasible
ece6,195648,external,0.19999230680463134,7.117384843982169,cerqrott3,7.117384843982169,672,True
ece6,195649,external,0.19999230325187609,6.7262723521320495,prmtan_teped,6.7262723521320495,711,True
ece6,195651,external,0.19999232186732188,6.648575305291724,prmtan_teped,6.648575305291724,721,True
ece6,195652,external,0.1999923121276187,6.75,prmtan_teped,6.75,709,True
ece6,195659,external,0.19999048751486326,9.974424552429667,prmtan_teped,9.974424552429667,380,True
ece7,160715,development,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,729,True
ece7,160720,development,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,730,True
ece7,161138,development,0.199991991991992,9.973614775725594,cerqrott8,9.973614775725594,380,True
ece7,165022,development,0.19999182806243362,5.876840696117805,cerqrott3,5.876840696117805,730,True
ece7,165028,development,0.19999184505606524,5.898123324396783,cerqrott3,5.898123324396783,730,True
ece7,165042,development,0.19999182806243362,5.8533333333333335,cerqrott3,5.8533333333333335,733,True
ece7,165861,development,0.19999184505606524,5.890227576974565,cerqrott3,5.890227576974565,731,True
ece7,170396,development,0.19999203155504205,14.144144144144144,prmtan_teped,14.144144144144144,326,True
ece7,187017,development,0.19999334420446604,8.328445747800586,prmtan_teped,8.328445747800586,600,True
ece7,187020,development,0.2,8.290598290598291,prmtan_teped,8.290598290598291,619,True
ece7,187024,development,0.2,7.96169630642955,prmtan_teped,7.96169630642955,645,True
ece7,189647,development,0.19999213341724356,7.452991452991453,cerqrott8,7.452991452991453,585,True
ece7,189651,development,0.19999213341724356,7.194719471947194,cerqrott8,7.194719471947194,607,True
ece7,195264,development,0.19999334973731464,6.818181818181818,prmtan_teped,6.818181818181818,775,True
ece7,195267,development,0.19999343163979114,6.869047619047619,prmtan_teped,6.869047619047619,780,True
ece7,195273,development,0.19999343702828642,6.856465005931198,prmtan_teped,6.856465005931198,782,True
ece7,195638,development,0.19999228216408121,6.768377253814147,prmtan_teped,6.768377253814147,704,True
ece7,195647,development,0.19999230562074408,7.149253731343284,cerqrott3,7.149253731343284,669,True
ece7,195650,development,0.19999229821318548,6.648426812585499,prmtan_teped,6.648426812585499,717,True
ece7,195655,development,0.1999923268751199,7.100591715976331,cerqrott3,7.100591715976331,674,True
ece7,155537,external,0.19999181970632748,5.881578947368421,cerqrott3,5.881578947368421,728,True
ece7,159310,external,0.1999921411450352,6.488095238095238,cerqrott3,6.488095238095238,673,True
ece7,160717,external,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,728,True
ece7,160719,external,0.19999187784275504,5.908496732026144,cerqrott3,5.908496732026144,729,True
ece7,160721,external,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,729,True
ece7,161136,external,0.199991991991992,9.973614775725594,cerqrott8,9.973614775725594,380,True
ece7,161145,external,0.199991991991992,9.973614775725594,cerqrott8,9.973614775725594,380,True
ece7,161414,external,0.1999931621593901,6.153846153846154,cerqrott3,6.153846153846154,833,True
ece7,165017,external,0.19999184505606524,5.9523809523809526,cerqrott3,5.9523809523809526,723,True
ece7,165026,external,0.19999184505606524,6.002728512960436,cerqrott3,6.002728512960436,717,True
ece7,165027,external,0.19999184505606524,5.876840696117805,cerqrott3,5.876840696117805,732,True
ece7,165029,external,0.19999184505606524,6.145251396648045,cerqrott3,6.145251396648045,668,True
