realization_index,shot,a_rel,b_rel,class,fraction,count
28,187017,0.1,0.1,JOINTLY_SMALL,0.008,8
28,187017,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
28,187017,0.25,0.25,REGULAR,0.852,852
28,187017,0.25,0.25,POLE_LIKE,0.111,111
28,187017,0.25,0.25,JOINTLY_SMALL,0.037,37
28,187017,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
29,187018,0.05,0.05,REGULAR,0.966,966
29,187018,0.05,0.05,POLE_LIKE,0.033,33
29,187018,0.05,0.05,JOINTLY_SMALL,0.001,1
29,187018,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
29,187018,0.1,0.1,REGULAR,0.936,936
29,187018,0.1,0.1,POLE_LIKE,0.061,61
29,187018,0.1,0.1,JOINTLY_SMALL,0.003,3
29,187018,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
29,187018,0.25,0.25,REGULAR,0.847,847
29,187018,0.25,0.25,POLE_LIKE,0.114,114
29,187018,0.25,0.25,JOINTLY_SMALL,0.039,39
29,187018,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
30,187019,0.05,0.05,REGULAR,0.977,977
30,187019,0.05,0.05,POLE_LIKE,0.023,23
30,187019,0.05,0.05,JOINTLY_SMALL,0.0,0
30,187019,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
30,187019,0.1,0.1,REGULAR,0.946,946
30,187019,0.1,0.1,POLE_LIKE,0.05,50
30,187019,0.1,0.1,JOINTLY_SMALL,0.004,4
30,187019,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
30,187019,0.25,0.25,REGULAR,0.869,869
30,187019,0.25,0.25,POLE_LIKE,0.097,97
30,187019,0.25,0.25,JOINTLY_SMALL,0.034,34
30,187019,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
31,187020,0.05,0.05,REGULAR,0.975,975
31,187020,0.05,0.05,POLE_LIKE,0.025,25
31,187020,0.05,0.05,JOINTLY_SMALL,0.0,0
31,187020,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
31,187020,0.1,0.1,REGULAR,0.942,942
31,187020,0.1,0.1,POLE_LIKE,0.055,55
31,187020,0.1,0.1,JOINTLY_SMALL,0.003,3
31,187020,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
31,187020,0.25,0.25,REGULAR,0.869,869
31,187020,0.25,0.25,POLE_LIKE,0.106,106
31,187020,0.25,0.25,JOINTLY_SMALL,0.025,25
31,187020,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
32,187021,0.05,0.05,REGULAR,0.974,974
32,187021,0.05,0.05,POLE_LIKE,0.025,25
32,187021,0.05,0.05,JOINTLY_SMALL,0.001,1
32,187021,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
32,187021,0.1,0.1,REGULAR,0.95,950
32,187021,0.1,0.1,POLE_LIKE,0.047,47
32,187021,0.1,0.1,JOINTLY_SMALL,0.003,3
32,187021,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
32,187021,0.25,0.25,REGULAR,0.866,866
32,187021,0.25,0.25,POLE_LIKE,0.107,107
32,187021,0.25,0.25,JOINTLY_SMALL,0.027,27
32,187021,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
33,187022,0.05,0.05,REGULAR,0.975,975
33,187022,0.05,0.05,POLE_LIKE,0.024,24
33,187022,0.05,0.05,JOINTLY_SMALL,0.001,1
33,187022,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
33,187022,0.1,0.1,REGULAR,0.943,943
33,187022,0.1,0.1,POLE_LIKE,0.054,54
33,187022,0.1,0.1,JOINTLY_SMALL,0.003,3
33,187022,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
33,187022,0.25,0.25,REGULAR,0.855,855
33,187022,0.25,0.25,POLE_LIKE,0.11,110
33,187022,0.25,0.25,JOINTLY_SMALL,0.035,35
33,187022,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
34,187024,0.05,0.05,REGULAR,0.971,971
34,187024,0.05,0.05,POLE_LIKE,0.028,28
34,187024,0.05,0.05,JOINTLY_SMALL,0.001,1
34,187024,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
34,187024,0.1,0.1,REGULAR,0.951,951
34,187024,0.1,0.1,POLE_LIKE,0.047,47
34,187024,0.1,0.1,JOINTLY_SMALL,0.002,2
34,187024,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
34,187024,0.25,0.25,REGULAR,0.885,885
34,187024,0.25,0.25,POLE_LIKE,0.101,101
34,187024,0.25,0.25,JOINTLY_SMALL,0.014,14
34,187024,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
35,189646,0.05,0.05,REGULAR,0.962,962
35,189646,0.05,0.05,POLE_LIKE,0.034,34
35,189646,0.05,0.05,JOINTLY_SMALL,0.004,4
35,189646,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
35,189646,0.1,0.1,REGULAR,0.922,922
35,189646,0.1,0.1,POLE_LIKE,0.07,70
35,189646,0.1,0.1,JOINTLY_SMALL,0.008,8
35,189646,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
35,189646,0.25,0.25,REGULAR,0.817,817
35,189646,0.25,0.25,POLE_LIKE,0.165,165
35,189646,0.25,0.25,JOINTLY_SMALL,0.018,18
35,189646,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
36,189647,0.05,0.05,REGULAR,0.979,979
36,189647,0.05,0.05,POLE_LIKE,0.021,21
36,189647,0.05,0.05,JOINTLY_SMALL,0.0,0
36,189647,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
36,189647,0.1,0.1,REGULAR,0.959,959
36,189647,0.1,0.1,POLE_LIKE,0.04,40
36,189647,0.1,0.1,JOINTLY_SMALL,0.001,1
36,189647,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
36,189647,0.25,0.25,REGULAR,0.89,890
36,189647,0.25,0.25,POLE_LIKE,0.1,100
36,189647,0.25,0.25,JOINTLY_SMALL,0.01,10
36,189647,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
37,189649,0.05,0.05,REGULAR,0.966,966
37,189649,0.05,0.05,POLE_LIKE,0.032,32
37,189649,0.05,0.05,JOINTLY_SMALL,0.002,2
37,189649,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
37,189649,0.1,0.1,REGULAR,0.943,943
37,189649,0.1,0.1,POLE_LIKE,0.055,55
37,189649,0.1,0.1,JOINTLY_SMALL,0.002,2
