realization_index,shot,sample_index,eps,A_analytical,dG_dy_fd,abs_error
4,160719,132,0.0001,0.026715808053016765,0.026715808054689205,1.6724399642953358e-12
6,160721,202,1e-06,0.026442832481445966,0.026442832867790145,3.863441788709565e-10
6,160721,202,1e-05,0.026442832481445966,0.026442832490314313,8.868347028956336e-12
6,160721,202,0.0001,0.026442832481445966,0.02644283248420809,2.762123862964927e-12
53,195645,232,1e-06,0.08745707528421232,0.08745707535950942,7.529710188691752e-11
53,195645,232,1e-05,0.08745707528421232,0.08745707518187372,1.0233859593089534e-10
53,195645,232,0.0001,0.08745707528421232,0.08745707527069158,1.3520740083095006e-11
45,195267,85,1e-06,0.004169080712881024,0.004169078915428059,1.7974529642472703e-09
45,195267,85,1e-05,0.004169080712881024,0.004169080863869468,1.5098844396987943e-10
45,195267,85,0.0001,0.004169080712881024,0.004169080711213802,1.6672219160795976e-12
33,187022,763,1e-06,-0.004663166088001325,-0.004663166519591755,4.3159043006113507e-10
33,187022,763,1e-05,-0.004663166088001325,-0.0046631662753426895,1.8734136464360063e-10
33,187022,763,0.0001,-0.004663166088001325,-0.004663166091045667,3.0443425558246417e-12
29,187018,890,1e-06,-0.05245198267793305,-0.05245198286818464,1.9025159225805055e-10
29,187018,890,1e-05,-0.05245198267793305,-0.05245198271275341,3.482036187163473e-11
29,187018,890,0.0001,-0.05245198267793305,-0.052451982667234276,1.0698775199102784e-11
17,165031,209,1e-06,0.035602977902293054,0.03560297817672975,2.744366955909072e-10
17,165031,209,1e-05,0.035602977902293054,0.03560297794913403,4.684097554275013e-11
17,165031,209,0.0001,0.035602977902293054,0.03560297790472511,2.432054557743868e-12
54,195647,597,1e-06,0.0699569198075477,0.06995691997913056,1.7158285903207116e-10
54,195647,597,1e-05,0.0699569198075477,0.06995691985145491,4.3907211200178153e-11
54,195647,597,0.0001,0.0699569198075477,0.06995691981148688,3.939182313672518e-12
20,165860,135,1e-06,0.025532840048174466,0.02553284047905613,4.3088166368221437e-10
20,165860,135,1e-05,0.025532840048174466,0.025532839924638503,1.2353596270942013e-10
20,165860,135,0.0001,0.025532840048174466,0.025532840034602627,1.357183809780338e-11
58,195651,930,1e-06,0.017413906324995954,0.017413905650798256,6.741976976698538e-10
58,195651,930,1e-05,0.017413906324995954,0.017413906366892107,4.1896153213372145e-11
58,195651,930,0.0001,0.017413906324995954,0.017413906330254747,5.258793400741979e-12
22,165955,754,1e-06,0.01048215390585705,0.01048215514387607,1.238019020632919e-09
22,165955,754,1e-05,0.01048215390585705,0.010482153678381678,2.2747537187228772e-10
22,165955,754,0.0001,0.01048215390585705,0.010482153898205837,7.651212996506729e-12
55,195648,690,1e-06,-0.03240309532831376,-0.03240309592866808,6.003543218113805e-10
55,195648,690,1e-05,-0.03240309532831376,-0.03240309517926754,1.4904621981060018e-10
55,195648,690,0.0001,-0.03240309532831376,-0.03240309531582497,1.2488787781705923e-11
20,165860,277,1e-06,0.062359865748019994,0.062359866215278004,4.672580100617552e-10
20,165860,277,1e-05,0.062359865748019994,0.06235986582114882,7.312882938093068e-11
20,165860,277,0.0001,0.062359865748019994,0.06235986575064967,2.6296742561271458e-12
24,170394,877,1e-06,0.10695479852078904,0.10695479936428942,8.435003806539498e-10
24,170394,877,1e-05,0.10695479852078904,0.10695479863154221,1.1075317052355871e-10
24,170394,877,0.0001,0.10695479852078904,0.10695479852051992,2.6911806116913795e-13
16,165029,29,1e-06,0.037114328161882426,0.03711432894348832,7.816058911203072e-10
16,165029,29,1e-05,0.037114328161882426,0.03711432801090098,1.509814495648243e-10
16,165029,29,0.0001,0.037114328161882426,0.037114328161336196,5.46229728115577e-13
24,170394,725,1e-06,0.1132558176900863,0.11325581601717705,1.6729092555678449e-09
