realization_index,shot,n_finite,coverage,explicit_rmse,explicit_mae,explicit_median_abs,explicit_q90_abs,explicit_q95_abs,explicit_q99_abs,explicit_max_abs,implicit_rmse,median_amplification,q95_amplification
37,189649,1000,1.0,29.963603747404616,5.142895560865379,1.3325754937879095,5.584002848510695,9.643106968354363,82.67824380833248,485.0362157382112,0.052980073151495444,69.33303056822243,1018.9498542648375
38,189650,1000,1.0,15.83564735392091,2.7696755259258357,0.9561098649830859,4.611634495464117,10.244203294260467,23.661896849618298,473.2368796566602,0.06076712969279271,56.87604755696273,598.0999602294085
39,189651,1000,1.0,16.130325990413677,3.6649734592939573,1.0247323032659994,4.789411743568802,8.957582033218749,74.75812368114026,254.80538254815403,0.05100837249810603,62.451387946477894,857.8466863278231
40,189652,1000,1.0,5.028371862337024,1.6544562943253982,0.739176555809254,2.6866207565604827,4.003628784117209,19.661484592807213,67.78818987433155,0.044302970249775725,44.68574234192142,509.657906901793
41,195261,1000,1.0,4.514328135056687,0.9329040667878451,0.4059345884241452,1.3205464712166677,2.1624783018955083,8.95390003015908,123.92860673451302,0.0208205098385163,41.256786328589115,455.00413728110965
42,195264,1000,1.0,1.5412642367619336,0.7048974661900063,0.36852733112160974,1.3817224222366553,2.2883620314263835,6.573444962974301,19.346330570005282,0.040068112464124284,20.673246879283283,172.32270122148327
43,195265,1000,1.0,2.7633690348234485,1.0767278901909358,0.5762602294741577,2.025685165390195,3.203709143079334,10.67185555407946,50.310520599237236,0.03457109509179018,39.14369483384337,406.77285063987426
44,195266,1000,1.0,3.0149719878798376,0.8962658818011758,0.4788466092155401,1.508995416997638,2.241910598763179,7.792588426014635,68.00756069571955,0.030884855177558852,39.85953774530307,416.81704047059793
45,195267,1000,1.0,17.290750264548194,2.3785146653597304,0.6731345891805516,3.037561668153693,6.002732027661502,14.62700077034288,380.989285440504,0.03289941562086147,47.98986392432856,633.6446166184458
46,195268,1000,1.0,40.18142512019343,3.4745837491918143,0.7609596099072994,3.5121226271250765,5.727935042359485,19.52744607656068,946.7769649545958,0.03626132207837082,61.82965624600843,799.4659866827175
47,195269,1000,1.0,13.48716173953705,2.3602710298866643,0.7217340256216953,3.0105708248587577,5.414514412911233,24.076375725527353,263.82248528054873,0.04243564267351768,47.196164645550674,434.075307213156
48,195273,1000,1.0,42.1211110408229,3.264832578385742,0.585872824779426,2.2350466443593846,4.147243229835955,18.078260087099977,941.2303587499081,0.049358414769711666,37.71364416293754,480.7059078818509
49,195274,1000,1.0,72.09283851670367,6.011568019465656,0.6824439838657912,2.7134120839511984,5.028974149452452,72.04661303151842,2096.594862968814,0.03297914087582525,50.42110810997499,708.2317852283081
50,195626,1000,1.0,27.668794300158133,3.40109899800727,0.5649730089565852,3.162297838703227,5.977761085598596,31.934184770722098,505.5023790450754,0.06936839729210426,22.70587145070229,275.26566354606376
51,195638,1000,1.0,5.336069799908954,2.081516490197293,0.8463277015584827,3.878307089625693,7.461518694002299,24.65248877393456,63.47540269626198,0.060153652096599966,42.23022427191586,383.5982147102122
52,195642,1000,1.0,22.063749407212946,2.5866771353239164,0.7656849086486409,2.5773566672773085,4.796249361475919,16.04537180397634,478.6144943379214,0.050723495161130484,36.975661238325884,410.52458067845663
53,195645,1000,1.0,2.9603129558090884,1.1640643234835977,0.49315649080846014,2.284340105886737,4.385240889425203,12.6707546831351,41.123538383178726,0.055429994234534416,22.96555440910818,140.81816613479617
54,195647,1000,1.0,9.130535663780295,1.7124464854364556,0.683865796659332,2.317059170841361,4.362680220499049,13.981078627525829,242.26194006113226,0.048535554186033066,35.019195055777196,296.0125263379401
55,195648,1000,1.0,10.422141197584837,1.9723256981740855,0.6032320126696358,2.6699481304535015,5.944858651722927,23.633249490286683,207.58355931655245,0.04520271530109939,36.70205570418693,314.16639033332405
56,195649,1000,1.0,15.606282577182546,3.609054734133965,0.7011542732267114,5.234109523001641,13.96435408978556,49.014913092031705,225.25999525052654,0.04053559244275374,48.56669985541761,882.6507420374871
57,195650,1000,1.0,13.804900170016387,2.8022255127850495,0.95418893339036,4.202618517538138,6.871427153844396,34.88887222665193,347.94074495990475,0.04565545969586339,50.712557299484146,425.00207213352223
58,195651,1000,1.0,26.35420357860827,3.107565901951357,0.7400389017593573,3.0567805592026756,6.613631971490018,27.74016749637361,681.4203032788646,0.05494881234151568,31.535221556651216,273.06740842304464
59,195652,1000,1.0,28.242825382456342,4.274972459156099,0.6312109549740155,3.82682831633829,7.060873200967576,66.81936484970359,526.2480221963916,0.06657638452491287,26.151345974574575,308.20934087399814
60,195655,1000,1.0,30.26010991579161,3.5228165741706023,0.8490209481810327,3.98479630685853,6.865232493575713,36.38002248406302,663.7503740067731,0.05096049019276125,40.341469501058185,516.1068186474953
61,195659,1000,1.0,38.60145386128071,3.4027463316012754,0.7793215977747627,2.8982602713462486,5.18979648324478,18.885570003870097,1138.3871541905248,0.04699965484553476,39.5857237069328,347.953583710226
