realization_index,shot,min_A,max_A,median_A,min_abs_A,q0001_abs_A,q001_abs_A,q005_abs_A,q01_abs_A,q025_abs_A,q05_abs_A,q10_abs_A,q25_abs_A,median_abs_A,max_inv_abs_A,q50_inv_abs_A,q95_inv_abs_A,n_exact_zero_A,n_sign_changes_A,frac_abs_lt_1e-06,frac_rel_lt_1e-06,frac_abs_lt_1e-05,frac_rel_lt_1e-05,frac_abs_lt_0.0001,frac_rel_lt_0.0001,frac_abs_lt_0.001,frac_rel_lt_0.001,frac_abs_lt_0.01,frac_rel_lt_0.01,frac_abs_lt_0.05,frac_rel_lt_0.05,frac_abs_lt_0.1,frac_rel_lt_0.1,rel_frac_abs_lt_0.0001,rel_frac_rel_lt_0.0001,rel_frac_abs_lt_0.001,rel_frac_rel_lt_0.001,rel_frac_abs_lt_0.01,rel_frac_rel_lt_0.01,rel_frac_abs_lt_0.05,rel_frac_rel_lt_0.05,rel_frac_abs_lt_0.1,rel_frac_rel_lt_0.1,rel_frac_abs_lt_0.25,rel_frac_rel_lt_0.25
30,187019,-0.20884780316617746,0.14213740764999638,0.003436650463830959,1.52113806864973e-05,3.557755484262565e-05,0.00021887312224778076,0.0003991100250664742,0.0006925689814215086,0.0011912978328703528,0.001976206048420115,0.00419899282492483,0.009152486569833279,0.021561581582812073,65740.25202641013,46.37933812475445,506.0307244419129,0,158,0.0,0.0,0.0,0.0,0.001,0.001,0.02,0.02,0.277,0.277,0.821,0.821,0.964,0.964,0.001,0.0,0.02,0.001,0.277,0.001,0.821,0.023,0.964,0.054,1.0,0.131
31,187020,-0.2787736127275633,0.1405054340306211,0.01075377093357327,2.0833664427621912e-05,2.3727843320641284e-05,4.9775453357815634e-05,0.00014830394925557767,0.00038424410103019,0.0009819208672376153,0.0017825499187539952,0.0037749921448251176,0.009448832819284797,0.019692016057198114,47999.2371708824,50.78200207079395,560.9998859164856,0,146,0.0,0.0,0.0,0.0,0.003,0.003,0.027,0.027,0.268,0.268,0.85,0.85,0.969,0.969,0.003,0.0,0.027,0.0,0.268,0.006,0.85,0.025,0.969,0.058,0.997,0.131
32,187021,-0.17430257753972966,0.15479582626067812,0.007563684120828307,1.348155326708067e-06,4.154022512267619e-06,2.9406827182303586e-05,0.00017014287974109198,0.0004421718262983887,0.0009113503050863476,0.0019169588819080154,0.0037196833346517916,0.00897104514574723,0.01909972189872844,741754.2920976364,52.35692192166164,521.7078122930587,0,154,0.0,0.0,0.001,0.001,0.004,0.004,0.028,0.028,0.289,0.289,0.874,0.874,0.97,0.97,0.004,0.001,0.028,0.001,0.289,0.008,0.874,0.026,0.97,0.05,1.0,0.134
33,187022,-0.20856255463454443,0.12921493361109615,0.009692526821976188,2.8314051519928718e-05,3.2515993519093536e-05,7.033347151157687e-05,0.00027566101414266633,0.0006263955045092106,0.0010125637392497723,0.0018389608271065338,0.0034463303031430194,0.008981730111099206,0.019761310954155842,35318.1528717695,50.60402630572502,543.7863282312362,0,143,0.0,0.0,0.0,0.0,0.002,0.002,0.025,0.025,0.269,0.269,0.84,0.84,0.965,0.965,0.002,0.0,0.025,0.0,0.269,0.003,0.84,0.025,0.965,0.057,1.0,0.145
34,187024,-0.20189284464184887,0.12061674826402591,0.012167513133409968,1.0210948896527405e-05,1.0836620791363772e-05,1.6467667844891067e-05,0.00017157537105629394,0.000290520319979658,0.000689219824363746,0.0018251158756051656,0.0036270631160762908,0.008587956339667913,0.016648012467067874,97934.09115386773,60.06723201550959,547.9332585535069,0,133,0.0,0.0,0.0,0.0,0.002,0.002,0.034,0.034,0.294,0.294,0.886,0.886,0.969,0.969,0.002,0.0,0.034,0.002,0.294,0.005,0.886,0.029,0.969,0.049,1.0,0.115
35,189646,-0.15375822517557336,0.10674590082100854,-0.0022226869203803568,3.417901578739446e-05,3.431174066490584e-05,3.550626456250827e-05,0.0002077747733626001,0.0002886304303547271,0.0005839884452590816,0.0011892965252752075,0.002902144596000056,0.007071526789086097,0.019370113025521996,29257.717841272926,51.62592488140898,840.8331973967522,0,111,0.0,0.0,0.0,0.0,0.005,0.005,0.041,0.041,0.332,0.332,0.796,0.796,0.985,0.985,0.005,0.0,0.041,0.0,0.332,0.005,0.796,0.038,0.985,0.078,1.0,0.183
36,189647,-0.21708060023537223,0.13761771518535804,-0.0286453570498314,3.9744076161252195e-06,1.8246420817312137e-05,0.0001466945396279944,0.0005217443674503897,0.0009721002566347648,0.002505722834095392,0.004405427181965127,0.008263979613540862,0.019844482688837706,0.036805683872150996,251609.8237993346,27.169716597947783,226.99274297252836,0,64,0.0,0.0,0.001,0.001,0.001,0.001,0.012,0.012,0.115,0.115,0.653,0.653,0.907,0.907,0.001,0.0,0.012,0.001,0.115,0.003,0.653,0.021,0.907,0.041,1.0,0.11
37,189649,-0.13995690886330148,0.15658328894914053,0.0007723198646475415,1.1362684261273515e-05,1.2170197400434268e-05,1.9437815652881052e-05,7.311318970754766e-05,0.00019155401129989036,0.000585283477326204,0.0009814385878515741,0.0027447704190924904,0.006203944263129757,0.01442313990610894,88007.37369850329,69.33303056822243,1018.9498542648375,0,116,0.0,0.0,0.0,0.0,0.007,0.007,0.051,0.051,0.377,0.377,0.845,0.845,0.965,0.965,0.007,0.0,0.051,0.001,0.377,0.007,0.845,0.034,0.965,0.057,1.0,0.137
38,189650,-0.18875087712987448,0.1497912979558348,0.0031220610730423037,2.3324351289155665e-05,2.416102972092381e-05,3.169113560683712e-05,0.00023825994852045228,0.0005234500567552957,0.00106333774215934,0.0016719684945871172,0.003325560441759501,0.007594677897795055,0.017582093745147742,42873.64684242842,56.87604755696273,598.0999602294085,0,119,0.0,0.0,0.0,0.0,0.002,0.002,0.024,0.024,0.319,0.319,0.816,0.816,0.954,0.954,0.002,0.0,0.024,0.0,0.319,0.002,0.816,0.018,0.954,0.053,1.0,0.133
39,189651,-0.20531060175361415,0.12571068784662975,0.002700639967043339,1.6488606781717152e-05,1.6496828138653985e-05,1.657082035108548e-05,0.0001298532246095946,0.0003285243099785207,0.00046652566298175383,0.001165972832686685,0.0026755316426501975,0.006824726170837403,0.01601251857118846,60647.937890593465,62.451387946477894,857.8466863278231,0,113,0.0,0.0,0.0,0.0,0.005,0.005,0.047,0.047,0.345,0.345,0.854,0.854,0.964,0.964,0.005,0.0,0.047,0.0,0.345,0.008,0.854,0.04,0.964,0.072,1.0,0.161
