realization_index,shot,feature,display_name,target_dependent,affine_in_target,alpha_min,alpha_q01,alpha_median,alpha_q99,alpha_max,beta_min,beta_median,beta_max,affine_test_max_error
18,165042,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.7804216422460413,-0.08682292522413479,10.564595348231112,0.0
18,165042,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.3433428419297413,-0.2046940228323298,13.16024461396025,0.0
18,165042,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.3257680092556416,-0.10931228470201501,6.285486785032783,0.0
18,165042,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-4.010644403117971,0.014284910007148415,3.25832865363172,0.0
18,165042,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-3.408988855881154,-0.06616862322264211,4.704891205319533,0.0
19,165043,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5058114403152956,0.616032128975272,0.7809673534570023,0.8705086959017354,0.9594956772102663,-4.773776899513971,0.03560006512133018,3.156049115226649,4.6074255521944e-15
19,165043,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,1.2768721819222053,1.361667068539195,1.618518813666638,1.9760523483371977,2.1699083976644644,-5.917551966954274,0.05399856959808247,9.691590339080705,9.547918011776346e-15
19,165043,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.3265911291538517,-0.09142604725761797,9.367079960702519,0.0
19,165043,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.2464367269490184,-0.20826900506246196,11.578425857964463,0.0
19,165043,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.6325503106428756,-0.07440691335694491,6.750498220583684,0.0
19,165043,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-4.474524570537927,-0.0443100330105692,4.620535985040516,0.0
19,165043,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.8537282856696518,0.012449084184464424,6.448695709335043,0.0
20,165860,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5074436729403431,0.6689329053622375,0.7949001589080162,0.8549378485588043,0.910024319161262,-5.888230101703815,0.06136800240332363,2.444137287548852,5.551115123125783e-15
20,165860,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.7116437462104158,0.8049468910857983,0.8986764494328676,1.0761367657697636,1.1117654317899774,-3.833474363414153,0.037613856259804734,4.447998966097106,6.328271240363392e-15
20,165860,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.7182042417458625,-0.11430703090646921,11.545587692262753,0.0
20,165860,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-0.9722823116119612,-0.219132630705218,14.23784807970277,0.0
20,165860,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.2963246354012963,-0.04226888448443077,7.368420715866977,0.0
20,165860,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-4.024416377060286,-0.07101766304151827,5.34996104250238,0.0
20,165860,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-4.156786858097863,-0.028616145763289927,4.7450765266396955,0.0
21,165861,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5201918539026221,0.626886035650226,0.7924209089605242,0.8541153357537451,0.9100211450728399,-5.585269426021947,0.05815126632446521,2.496052708402008,5.551115123125783e-15
21,165861,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.9096083676317555,0.958344409145151,1.0770820393723766,1.1953667579427352,1.2513741946526984,-3.4277528118344627,0.04404553945918366,3.657193869322114,7.778500066280003e-15
21,165861,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.775345373475136,-0.11070067898634864,10.680096425965004,0.0
21,165861,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-0.9207246487200194,-0.25102995792868676,13.616936436342648,0.0
21,165861,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.117673773613869,-0.10830483918483758,8.737216905546004,0.0
21,165861,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-2.939731804034563,-0.06086461987978296,3.744734859087053,0.0
21,165861,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-3.0523436310017282,-0.046581890788217194,5.417614162710158,0.0
22,165955,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5199294607107109,0.5750929078428486,0.7415860469557788,0.8431805841740532,0.9082088713384513,-4.017619022356898,0.0332997019922745,3.0784405237923806,4.551914400963142e-15
22,165955,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,1.0629794980680671,1.105209105896159,1.3269855113352649,1.5171791558701,1.627202276689541,-4.736551294332024,0.08833083798794128,5.574988088914722,8.215650382226158e-15
22,165955,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.4295682668541367,-0.0938845832433261,7.657375706099318,0.0
22,165955,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.0134501373929985,-0.23175123718330704,9.876828834292494,0.0
22,165955,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-4.082738101244478,-0.04773354366787133,5.744374185919617,0.0
22,165955,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-3.438463629271572,-0.08170292291210729,4.437022111860001,0.0
22,165955,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-4.272665545555037,-0.06331846318620613,3.358272176229264,0.0
23,165965,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.49919005440357317,0.6135921371265216,0.7384162577246303,0.8156163071217296,0.8976467088802802,-4.644817693633314,0.03530481622544368,3.1504235129360705,4.9404924595819466e-15
23,165965,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.9596085452169316,0.9976714430467057,1.168246161506814,1.3221209276383818,1.356541555469368,-4.039451363623325,0.04224867945721478,3.725981897444978,7.716050021144838e-15
23,165965,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.5475028780821387,-0.09382998412889956,9.236636192250685,0.0
23,165965,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.055104438217209,-0.2851841010135443,11.942798189275932,0.0
23,165965,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-4.061225665326675,-0.06915343500936832,6.464566698510566,0.0
23,165965,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-2.7621905878463706,-0.05417787684027622,4.187548104440783,0.0
23,165965,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-4.502124978234992,-0.005958226522815609,4.237407555291054,0.0
24,170394,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.4723112686692704,0.5684171458877857,0.7453579994464532,0.8474083566761379,1.0150102813740003,-4.599407622240591,0.04382692223870954,4.629337933045827,4.3576253716537394e-15
24,170394,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.36269375452890623,0.39182645591525944,0.4452642012233804,0.5987698992533268,0.6731112635016668,-1.4775658536286862,-0.07343276126899623,3.801169023624718,2.609024107869118e-15
24,170394,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-4.596915564484164,-0.1078750589627783,9.660639703944657,0.0
24,170394,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-0.8862726405449133,-0.23644014783746822,8.533420805941054,0.0
24,170394,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.9965867355446907,-0.16830675491944458,6.460423620900776,0.0
24,170394,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-5.728416459787671,0.04208769474572882,3.9230706853227026,0.0
24,170394,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.1538639474753625,-0.11859050311624397,8.382602159564952,0.0
25,170396,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.4985118220559416,0.5764919467284446,0.745477956359899,0.868412949229237,0.9447035931371864,-4.18684604934303,0.03678770076705362,3.443959804550678,4.385380947269368e-15
25,170396,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.4266234398879328,0.44300824354960316,0.5083278210967395,0.6191633440956732,0.6773781114262579,-1.4515692519334982,-0.05425466474134488,2.8368563522165005,2.942091015256665e-15
25,170396,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.6844006949231227,-0.0985870390606517,8.32505688977817,0.0
25,170396,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-0.8780904201160648,-0.24763051144327375,8.95707046453058,0.0
25,170396,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.241229936967995,-0.11170019807785293,5.728808388057135,0.0
25,170396,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-4.267568924217518,0.0006949304538529529,3.276115879261804,0.0
25,170396,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.594493738141272,-0.0622845887292484,5.755596998547085,0.0
26,170411,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5125114852792951,0.598278329833111,0.7920477109762438,0.8867712403249272,1.1440186947571362,-4.861089115617181,0.04174547544299401,6.215025915314348,4.6629367034256575e-15
26,170411,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.40860481276479216,0.4445597588090373,0.49738017380043964,0.6281000157065026,0.6978324476678068,-1.6164931122432264,-0.05944657977951273,3.4563207942818828,2.942091015256665e-15
26,170411,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-5.462236066463438,-0.09547369475921819,9.418744739135091,0.0
26,170411,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-0.9323177924955915,-0.2563113695178673,9.423788305889765,0.0
26,170411,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.6366061574321713,-0.10364031800041179,6.250296777254288,0.0
26,170411,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-5.028550541903824,0.013434186630742464,3.8269940167034395,0.0
26,170411,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.8671993858187426,-0.10320225468474337,6.289966067782005,0.0
27,186997,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5116733236858968,0.6791825679380673,0.8165556581289733,0.9140895767336463,1.057853619733801,-5.8774380229742995,0.06339070842627947,4.765236965766579,5.440092820663267e-15
