realization_index,shot,tolerance,feature,coefficient,canonical_coefficient,delta
1,159310,1e-10,d[betan]/d[t],0.8079141971887026,0.8079141971887019,6.661338147750939e-16
1,159310,1e-10,d[li]/d[betan],0.009658223388830408,0.00965822338883017,2.3765711620882257e-16
1,159310,1e-08,d[pcdiamag3]/d[kappa],0.20098599229570369,0.20098599229570552,-1.8318679906315083e-15
1,159310,1e-08,d[kappa]/d[t],0.18329535813579673,0.18329535813579687,-1.3877787807814457e-16
1,159310,1e-08,r[q95]/r[kappa],-0.015542686558065512,-0.015542686558066149,6.366435156834882e-16
1,159310,1e-08,d[pcdiamag3]/d[betan],0.5208682073706452,0.5208682073706433,1.887379141862766e-15
1,159310,1e-08,d[kappa]/d[betan],-0.06864124912441363,-0.06864124912441179,-1.8457457784393227e-15
1,159310,1e-08,d[betan]/d[t],0.8079141971887026,0.8079141971887019,6.661338147750939e-16
1,159310,1e-08,d[li]/d[betan],0.009658223388830408,0.00965822338883017,2.3765711620882257e-16
1,159310,1e-06,d[pcdiamag3]/d[kappa],0.20098599229570369,0.20098599229570552,-1.8318679906315083e-15
1,159310,1e-06,d[kappa]/d[t],0.18329535813579673,0.18329535813579687,-1.3877787807814457e-16
1,159310,1e-06,r[q95]/r[kappa],-0.015542686558065512,-0.015542686558066149,6.366435156834882e-16
1,159310,1e-06,d[pcdiamag3]/d[betan],0.5208682073706452,0.5208682073706433,1.887379141862766e-15
1,159310,1e-06,d[kappa]/d[betan],-0.06864124912441363,-0.06864124912441179,-1.8457457784393227e-15
1,159310,1e-06,d[betan]/d[t],0.8079141971887026,0.8079141971887019,6.661338147750939e-16
1,159310,1e-06,d[li]/d[betan],0.009658223388830408,0.00965822338883017,2.3765711620882257e-16
2,160715,1e-12,d[pcdiamag3]/d[kappa],0.4676499134893646,0.46764991348936813,-3.552713678800501e-15
2,160715,1e-12,d[kappa]/d[t],1.0561295773182953,1.0561295773182957,-4.440892098500626e-16
2,160715,1e-12,r[q95]/r[kappa],-0.00360940753029957,-0.0036094075302998685,2.983724378680108e-16
2,160715,1e-12,d[pcdiamag3]/d[betan],1.1047516146989105,1.1047516146989054,5.10702591327572e-15
2,160715,1e-12,d[kappa]/d[betan],-1.1208812821514582,-1.1208812821514549,-3.3306690738754696e-15
2,160715,1e-12,d[betan]/d[t],-0.1744515122300527,-0.17445151223005165,-1.0547118733938987e-15
2,160715,1e-12,d[li]/d[betan],-0.009574447972186685,-0.009574447972184125,-2.5604518505417673e-15
