realization_index,shot,feature,block_setting,sd_primary,sd_sensitivity,sd_ratio_sens_over_primary
9,161145,r[q95]/r[kappa],long,0.010049879085573235,0.00847146808195004,0.8429422891376004
9,161145,d[pcdiamag3]/d[betan],short,0.5706734401996518,0.4940093305088147,0.8656602808358895
9,161145,d[pcdiamag3]/d[betan],long,0.5706734401996518,0.6139870120461179,1.0758990497811
9,161145,d[kappa]/d[betan],short,0.7456298658496732,0.6576213785247421,0.8819675936335477
9,161145,d[kappa]/d[betan],long,0.7456298658496732,0.7887442497568241,1.0578227695560711
9,161145,d[betan]/d[t],short,0.3028265631995105,0.2619412155071678,0.8649875781689363
9,161145,d[betan]/d[t],long,0.3028265631995105,0.3133899485375083,1.0348826246495335
9,161145,d[li]/d[betan],short,0.007150566992072408,0.008468417857034873,1.1843001913585784
9,161145,d[li]/d[betan],long,0.007150566992072408,0.005745456249389629,0.8034965976486366
10,161414,d[pcdiamag3]/d[kappa],short,0.1254266692012478,0.09033834175977873,0.720248272038777
10,161414,d[pcdiamag3]/d[kappa],long,0.1254266692012478,0.14916635141720022,1.1892714074856026
10,161414,d[kappa]/d[t],short,0.09629618738463104,0.06973546076090223,0.7241767577189806
10,161414,d[kappa]/d[t],long,0.09629618738463104,0.1174366686691903,1.2195360154822918
10,161414,r[q95]/r[kappa],short,0.005951651556773503,0.005046502909609948,0.8479163911848528
10,161414,r[q95]/r[kappa],long,0.005951651556773503,0.006205763274115604,1.0426960004155246
10,161414,d[pcdiamag3]/d[betan],short,0.057906094627762354,0.041676530554143124,0.7197261501065055
10,161414,d[pcdiamag3]/d[betan],long,0.057906094627762354,0.06883647511259183,1.1887604500889248
10,161414,d[kappa]/d[betan],short,0.0358714866446964,0.040129293249573185,1.1186961289630628
10,161414,d[kappa]/d[betan],long,0.0358714866446964,0.032581545635343746,0.9082853453513062
10,161414,d[betan]/d[t],short,0.0930255658491919,0.06750594454868825,0.7256708834012853
10,161414,d[betan]/d[t],long,0.0930255658491919,0.11267887346054628,1.211267810434113
10,161414,d[li]/d[betan],short,0.0032283917499884977,0.0033016700963668867,1.0226980961581342
10,161414,d[li]/d[betan],long,0.0032283917499884977,0.003359816480072317,1.040709040370719
11,165017,d[pcdiamag3]/d[kappa],short,0.25811567561765225,0.20127714156404342,0.7797943347780056
11,165017,d[pcdiamag3]/d[kappa],long,0.25811567561765225,0.29056014773557237,1.1256974108228093
11,165017,d[kappa]/d[t],short,0.1405004551837402,0.10736470824295759,0.7641591488266003
11,165017,d[kappa]/d[t],long,0.1405004551837402,0.1609152608359683,1.1453006371084662
11,165017,r[q95]/r[kappa],short,0.01671151526051065,0.011846282650382164,0.7088694511367409
11,165017,r[q95]/r[kappa],long,0.01671151526051065,0.01679198764843189,1.0048153854791606
11,165017,d[pcdiamag3]/d[betan],short,0.17884502546284958,0.1397218640561289,0.7812454592713943
11,165017,d[pcdiamag3]/d[betan],long,0.17884502546284958,0.2014519651825976,1.126405191652607
11,165017,d[kappa]/d[betan],short,0.11323036835458765,0.09892649032123495,0.8736745429586511
11,165017,d[kappa]/d[betan],long,0.11323036835458765,0.12171187645688045,1.0749048883752756
