shot,realization_index,feature_1,feature_2,covariance,correlation
160715,2,d[kappa]/d[betan],d[kappa]/d[t],-0.019053801053520763,-0.773183664149772
160715,2,d[kappa]/d[betan],r[q95]/r[kappa],0.0024131021655466292,0.14900585164839678
160715,2,d[kappa]/d[betan],d[pcdiamag3]/d[betan],-0.09305531455273747,-0.9759122270084797
160715,2,d[kappa]/d[betan],d[kappa]/d[betan],0.10713173425100307,0.9999999999999907
160715,2,d[kappa]/d[betan],d[betan]/d[t],0.019386675180797,0.8554513924093498
160715,2,d[kappa]/d[betan],d[li]/d[betan],0.0005809553447901296,0.10887678882292652
160715,2,d[betan]/d[t],d[pcdiamag3]/d[kappa],0.010361317302673798,0.7445837924929645
160715,2,d[betan]/d[t],d[kappa]/d[t],-0.003993440746378729,-0.7660523112912401
160715,2,d[betan]/d[t],r[q95]/r[kappa],0.0007829220739467086,0.22853687866621983
160715,2,d[betan]/d[t],d[pcdiamag3]/d[betan],-0.015079596691734103,-0.7476002588819873
160715,2,d[betan]/d[t],d[kappa]/d[betan],0.019386675180797,0.8554513924093498
160715,2,d[betan]/d[t],d[betan]/d[t],0.004793998097085615,0.9999999999997914
160715,2,d[betan]/d[t],d[li]/d[betan],0.00030823446212345095,0.27307622103299667
160715,2,d[li]/d[betan],d[pcdiamag3]/d[kappa],0.000599290704503218,0.1829096819779159
160715,2,d[li]/d[betan],d[kappa]/d[t],0.0002902962058344392,0.23651195078000634
160715,2,d[li]/d[betan],r[q95]/r[kappa],0.00017951223300433666,0.22255243539038924
160715,2,d[li]/d[betan],d[pcdiamag3]/d[betan],-0.0007377920084541072,-0.15535105670919036
160715,2,d[li]/d[betan],d[kappa]/d[betan],0.0005809553447901296,0.10887678882292652
160715,2,d[li]/d[betan],d[betan]/d[t],0.00030823446212345095,0.27307622103299667
160715,2,d[li]/d[betan],d[li]/d[betan],0.0002657643728073485,0.9999999999962372
160717,3,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[kappa],0.042236284092991364,0.9999999999999764
160717,3,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.011440509498917091,-0.59420145240328
160717,3,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],0.0010169081265018938,0.17016123327075805
160717,3,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],-0.06214474062930277,-0.9955871704847685
160717,3,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],0.06856706600627825,0.9511658295092431
160717,3,d[pcdiamag3]/d[kappa],d[betan]/d[t],0.014784049150534035,0.6115884834587828
160717,3,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.00010325870148360298,0.022396767949100976
160717,3,d[kappa]/d[t],d[pcdiamag3]/d[kappa],-0.011440509498917091,-0.59420145240328
160717,3,d[kappa]/d[t],d[kappa]/d[t],0.008776828486935782,0.9999999999998862
160717,3,d[kappa]/d[t],r[q95]/r[kappa],-0.0003336900441793388,-0.12248874963402404
160717,3,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.015797700893653902,0.555191545393867
160717,3,d[kappa]/d[t],d[kappa]/d[betan],-0.0264822589080672,-0.8058788279923623
160717,3,d[kappa]/d[t],d[betan]/d[t],-0.010215545643010492,-0.9270464924127443
160717,3,d[kappa]/d[t],d[li]/d[betan],-0.00039017589965379415,-0.1856492404862991
160717,3,r[q95]/r[kappa],d[pcdiamag3]/d[kappa],0.0010169081265018938,0.17016123327075805
160717,3,r[q95]/r[kappa],d[kappa]/d[t],-0.0003336900441793388,-0.12248874963402404
160717,3,r[q95]/r[kappa],r[q95]/r[kappa],0.0008455834699056709,0.9999999999988174
160717,3,r[q95]/r[kappa],d[pcdiamag3]/d[betan],-0.0015624598205389037,-0.1769083690774612
160717,3,r[q95]/r[kappa],d[kappa]/d[betan],0.0019218160534542708,0.18841570487372855
160717,3,r[q95]/r[kappa],d[betan]/d[t],0.0005328980003330183,0.15580256406633305
160717,3,r[q95]/r[kappa],d[li]/d[betan],2.9932794919962802e-05,0.04588498247365871
160717,3,d[pcdiamag3]/d[betan],d[pcdiamag3]/d[kappa],-0.06214474062930277,-0.9955871704847685
160717,3,d[pcdiamag3]/d[betan],d[kappa]/d[t],0.015797700893653902,0.555191545393867
160717,3,d[pcdiamag3]/d[betan],r[q95]/r[kappa],-0.0015624598205389037,-0.1769083690774612
160717,3,d[pcdiamag3]/d[betan],d[pcdiamag3]/d[betan],0.09224959626965137,0.9999999999999891
160717,3,d[pcdiamag3]/d[betan],d[kappa]/d[betan],-0.0992428020235926,-0.9315374202254113
160717,3,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.019773549709494742,-0.5534917542119797
160717,3,d[pcdiamag3]/d[betan],d[li]/d[betan],0.00032275971729408794,0.04736948155494978
160717,3,d[kappa]/d[betan],d[pcdiamag3]/d[kappa],0.06856706600627825,0.9511658295092431
160717,3,d[kappa]/d[betan],d[kappa]/d[t],-0.0264822589080672,-0.8058788279923623
160717,3,d[kappa]/d[betan],r[q95]/r[kappa],0.0019218160534542708,0.18841570487372855
160717,3,d[kappa]/d[betan],d[pcdiamag3]/d[betan],-0.0992428020235926,-0.9315374202254113
160717,3,d[kappa]/d[betan],d[kappa]/d[betan],0.1230362116299355,0.9999999999999919
160717,3,d[kappa]/d[betan],d[betan]/d[t],0.03355701221140808,0.8133464267440998
160717,3,d[kappa]/d[betan],d[li]/d[betan],0.0010253174701687698,0.13029970254321568
160717,3,d[betan]/d[t],d[pcdiamag3]/d[kappa],0.014784049150534035,0.6115884834587828
160717,3,d[betan]/d[t],d[kappa]/d[t],-0.010215545643010492,-0.9270464924127443
160717,3,d[betan]/d[t],r[q95]/r[kappa],0.0005328980003330183,0.15580256406633305
160717,3,d[betan]/d[t],d[pcdiamag3]/d[betan],-0.019773549709494742,-0.5534917542119797
160717,3,d[betan]/d[t],d[kappa]/d[betan],0.03355701221140808,0.8133464267440998
160717,3,d[betan]/d[t],d[betan]/d[t],0.013835106143015254,0.9999999999999277
160717,3,d[betan]/d[t],d[li]/d[betan],0.0013048821965584657,0.4945174262752599
160717,3,d[li]/d[betan],d[pcdiamag3]/d[kappa],0.00010325870148360298,0.022396767949100976
160717,3,d[li]/d[betan],d[kappa]/d[t],-0.00039017589965379415,-0.1856492404862991
160717,3,d[li]/d[betan],r[q95]/r[kappa],2.9932794919962802e-05,0.04588498247365871
160717,3,d[li]/d[betan],d[pcdiamag3]/d[betan],0.00032275971729408794,0.04736948155494978
160717,3,d[li]/d[betan],d[kappa]/d[betan],0.0010253174701687698,0.13029970254321568
160717,3,d[li]/d[betan],d[betan]/d[t],0.0013048821965584657,0.4945174262752599
160717,3,d[li]/d[betan],d[li]/d[betan],0.0005032652173071802,0.999999999998013
160719,4,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[kappa],0.016072230695748053,0.9999999999999378
160719,4,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.003334742624041127,-0.22686210016015126
160719,4,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.0004815956983520503,-0.1678229497715855
160719,4,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],-0.02355376852255066,-0.9971881937689865
160719,4,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],0.024539297682483276,0.7717731743289189
160719,4,d[pcdiamag3]/d[kappa],d[betan]/d[t],0.002980077435511,0.228387605372968
160719,4,d[pcdiamag3]/d[kappa],d[li]/d[betan],-0.0005322073374840342,-0.26808376476463625
160719,4,d[kappa]/d[t],d[pcdiamag3]/d[kappa],-0.003334742624041127,-0.22686210016015126
160719,4,d[kappa]/d[t],d[kappa]/d[t],0.013443878762139054,0.9999999999999257
160719,4,d[kappa]/d[t],r[q95]/r[kappa],-0.0006693563574563106,-0.2550362587430267
160719,4,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.004844089692760104,0.22423566369008804
160719,4,d[kappa]/d[t],d[kappa]/d[betan],-0.022993688849750497,-0.7907004489081417
160719,4,d[kappa]/d[t],d[betan]/d[t],-0.011439489607932916,-0.9585779065755687
160719,4,d[kappa]/d[t],d[li]/d[betan],0.0004580770037471816,0.25229226226960855
160719,4,r[q95]/r[kappa],d[pcdiamag3]/d[kappa],-0.0004815956983520503,-0.1678229497715855
160719,4,r[q95]/r[kappa],d[kappa]/d[t],-0.0006693563574563106,-0.2550362587430267
160719,4,r[q95]/r[kappa],r[q95]/r[kappa],0.0005123731227691552,0.9999999999980483
160719,4,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.0006354127032383637,0.1506667870446179
160719,4,r[q95]/r[kappa],d[kappa]/d[betan],0.00022934388221599063,0.040397977083512844
160719,4,r[q95]/r[kappa],d[betan]/d[t],0.0003359534201341757,0.14420122750141737
160719,4,r[q95]/r[kappa],d[li]/d[betan],-0.00010189877001364401,-0.2874772663349169
160719,4,d[pcdiamag3]/d[betan],d[pcdiamag3]/d[kappa],-0.02355376852255066,-0.9971881937689865
160719,4,d[pcdiamag3]/d[betan],d[kappa]/d[t],0.004844089692760104,0.22423566369008804
160719,4,d[pcdiamag3]/d[betan],r[q95]/r[kappa],0.0006354127032383637,0.1506667870446179
160719,4,d[pcdiamag3]/d[betan],d[pcdiamag3]/d[betan],0.034712859600185136,0.9999999999999712
160719,4,d[pcdiamag3]/d[betan],d[kappa]/d[betan],-0.035771752965138646,-0.7655272521725444
160719,4,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.004012125696828499,-0.20922443100077082
160719,4,d[pcdiamag3]/d[betan],d[li]/d[betan],0.0009159251091337168,0.3139369999422241
160719,4,d[kappa]/d[betan],d[pcdiamag3]/d[kappa],0.024539297682483276,0.7717731743289189
160719,4,d[kappa]/d[betan],d[kappa]/d[t],-0.022993688849750497,-0.7907004489081417
160719,4,d[kappa]/d[betan],r[q95]/r[kappa],0.00022934388221599063,0.040397977083512844
160719,4,d[kappa]/d[betan],d[pcdiamag3]/d[betan],-0.035771752965138646,-0.7655272521725444
160719,4,d[kappa]/d[betan],d[kappa]/d[betan],0.06290262107740019,0.9999999999999841
160719,4,d[kappa]/d[betan],d[betan]/d[t],0.0201915170228465,0.7821996889516702
160719,4,d[kappa]/d[betan],d[li]/d[betan],-0.0011426392979098736,-0.2909393872695414
160719,4,d[betan]/d[t],d[pcdiamag3]/d[kappa],0.002980077435511,0.228387605372968
160719,4,d[betan]/d[t],d[kappa]/d[t],-0.011439489607932916,-0.9585779065755687
160719,4,d[betan]/d[t],r[q95]/r[kappa],0.0003359534201341757,0.14420122750141737
160719,4,d[betan]/d[t],d[pcdiamag3]/d[betan],-0.004012125696828499,-0.20922443100077082
160719,4,d[betan]/d[t],d[kappa]/d[betan],0.0201915170228465,0.7821996889516702
160719,4,d[betan]/d[t],d[betan]/d[t],0.010593363593148181,0.9999999999999056
160719,4,d[betan]/d[t],d[li]/d[betan],-2.546927256320793e-05,-0.015802555942669015
160719,4,d[li]/d[betan],d[pcdiamag3]/d[kappa],-0.0005322073374840342,-0.26808376476463625
160719,4,d[li]/d[betan],d[kappa]/d[t],0.0004580770037471816,0.25229226226960855
160719,4,d[li]/d[betan],r[q95]/r[kappa],-0.00010189877001364401,-0.2874772663349169
160719,4,d[li]/d[betan],d[pcdiamag3]/d[betan],0.0009159251091337168,0.3139369999422241
160719,4,d[li]/d[betan],d[kappa]/d[betan],-0.0011426392979098736,-0.2909393872695414
160719,4,d[li]/d[betan],d[betan]/d[t],-2.546927256320793e-05,-0.015802555942669015
160719,4,d[li]/d[betan],d[li]/d[betan],0.0002452135871879159,0.9999999999959218
160720,5,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[kappa],0.06466267667583459,0.9999999999999846
160720,5,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.016560836926853843,-0.5750436845461614
160720,5,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.0015975873159754267,-0.1526952746033671
160720,5,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],-0.08914363984606843,-0.9911695083681715
160720,5,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],0.08817110581304387,0.9331192161454267
160720,5,d[pcdiamag3]/d[kappa],d[betan]/d[t],0.015429612571782339,0.49991740307485805
160720,5,d[pcdiamag3]/d[kappa],d[li]/d[betan],-0.001240429960331129,-0.11353104028247658
160720,5,d[kappa]/d[t],d[pcdiamag3]/d[kappa],-0.016560836926853843,-0.5750436845461614
160720,5,d[kappa]/d[t],d[kappa]/d[t],0.012826530764290732,0.9999999999999221
160720,5,d[kappa]/d[t],r[q95]/r[kappa],0.0001369840930452908,0.029397024046700717
160720,5,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.022998019763219676,0.5741432305614924
160720,5,d[kappa]/d[t],d[kappa]/d[betan],-0.034608579909735177,-0.8223692451679571
160720,5,d[kappa]/d[t],d[betan]/d[t],-0.01193225877335539,-0.868036791516895
160720,5,d[kappa]/d[t],d[li]/d[betan],0.0006936718083701443,0.1425504688626836
160720,5,r[q95]/r[kappa],d[pcdiamag3]/d[kappa],-0.0015975873159754267,-0.1526952746033671
160720,5,r[q95]/r[kappa],d[kappa]/d[t],0.0001369840930452908,0.029397024046700717
160720,5,r[q95]/r[kappa],r[q95]/r[kappa],0.0016928728304967577,0.9999999999994093
160720,5,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.0017250930601484097,0.11854541734981476
160720,5,r[q95]/r[kappa],d[kappa]/d[betan],-0.0013788502131269586,-0.09018672318136986
160720,5,r[q95]/r[kappa],d[betan]/d[t],-0.0003204842319027057,-0.06417480719860157
160720,5,r[q95]/r[kappa],d[li]/d[betan],-0.00025522901518619236,-0.1443733674424407
160720,5,d[pcdiamag3]/d[betan],d[pcdiamag3]/d[kappa],-0.08914363984606843,-0.9911695083681715
160720,5,d[pcdiamag3]/d[betan],d[kappa]/d[t],0.022998019763219676,0.5741432305614924
160720,5,d[pcdiamag3]/d[betan],r[q95]/r[kappa],0.0017250930601484097,0.11854541734981476
160720,5,d[pcdiamag3]/d[betan],d[pcdiamag3]/d[betan],0.12509247384590014,0.999999999999992
160720,5,d[pcdiamag3]/d[betan],d[kappa]/d[betan],-0.1222434442490248,-0.9301386087593658
160720,5,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.019082249842674006,-0.4445125842168594
160720,5,d[pcdiamag3]/d[betan],d[li]/d[betan],0.003360902494553034,0.22116150234688398
160720,5,d[kappa]/d[betan],d[pcdiamag3]/d[kappa],0.08817110581304387,0.9331192161454267
160720,5,d[kappa]/d[betan],d[kappa]/d[t],-0.034608579909735177,-0.8223692451679571
160720,5,d[kappa]/d[betan],r[q95]/r[kappa],-0.0013788502131269586,-0.09018672318136986
160720,5,d[kappa]/d[betan],d[pcdiamag3]/d[betan],-0.1222434442490248,-0.9301386087593658
160720,5,d[kappa]/d[betan],d[kappa]/d[betan],0.1380780454800443,0.9999999999999928
160720,5,d[kappa]/d[betan],d[betan]/d[t],0.032634000566405426,0.7235658720721377
