canonical_run_id,realization_index,shot,feature,feature_order,loading,absolute_loading,normalized_sigma_7,condition_number
D3D-SIR-62-ALIGNED-V1,21,165861,r[q95]/r[kappa],source_matrix_order,0.012880586300286323,0.012880586300286323,0.018404186776205218,54.3354624770979
D3D-SIR-62-ALIGNED-V1,21,165861,d[pcdiamag3]/d[betan],source_matrix_order,0.14069218653244975,0.14069218653244975,0.018404186776205218,54.3354624770979
D3D-SIR-62-ALIGNED-V1,21,165861,d[kappa]/d[betan],source_matrix_order,0.6017914405591448,0.6017914405591448,0.018404186776205218,54.3354624770979
D3D-SIR-62-ALIGNED-V1,21,165861,d[betan]/d[t],source_matrix_order,0.5367393912512086,0.5367393912512086,0.018404186776205218,54.3354624770979
D3D-SIR-62-ALIGNED-V1,21,165861,d[li]/d[betan],source_matrix_order,-0.006490778514535417,0.006490778514535417,0.018404186776205218,54.3354624770979
D3D-SIR-62-ALIGNED-V1,22,165955,d[pcdiamag3]/d[kappa],source_matrix_order,-0.2957822174860229,0.2957822174860229,0.030491353418842824,32.79618278216628
D3D-SIR-62-ALIGNED-V1,22,165955,d[kappa]/d[t],source_matrix_order,-0.5540669480211668,0.5540669480211668,0.030491353418842824,32.79618278216628
D3D-SIR-62-ALIGNED-V1,22,165955,r[q95]/r[kappa],source_matrix_order,0.02508548494369288,0.02508548494369288,0.030491353418842824,32.79618278216628
D3D-SIR-62-ALIGNED-V1,22,165955,d[pcdiamag3]/d[betan],source_matrix_order,0.15694906401046022,0.15694906401046022,0.030491353418842824,32.79618278216628
D3D-SIR-62-ALIGNED-V1,22,165955,d[kappa]/d[betan],source_matrix_order,0.5166238736386035,0.5166238736386035,0.030491353418842824,32.79618278216628
D3D-SIR-62-ALIGNED-V1,22,165955,d[betan]/d[t],source_matrix_order,0.5596882552576181,0.5596882552576181,0.030491353418842824,32.79618278216628
D3D-SIR-62-ALIGNED-V1,22,165955,d[li]/d[betan],source_matrix_order,-0.010451640745271495,0.010451640745271495,0.030491353418842824,32.79618278216628
D3D-SIR-62-ALIGNED-V1,23,165965,d[pcdiamag3]/d[kappa],source_matrix_order,-0.24580092017861122,0.24580092017861122,0.02512760969589027,39.79686138485167
D3D-SIR-62-ALIGNED-V1,23,165965,d[kappa]/d[t],source_matrix_order,-0.5398632225011084,0.5398632225011084,0.02512760969589027,39.79686138485167
D3D-SIR-62-ALIGNED-V1,23,165965,r[q95]/r[kappa],source_matrix_order,0.022579192886662172,0.022579192886662172,0.02512760969589027,39.79686138485167
D3D-SIR-62-ALIGNED-V1,23,165965,d[pcdiamag3]/d[betan],source_matrix_order,0.14601828004700734,0.14601828004700734,0.02512760969589027,39.79686138485167
D3D-SIR-62-ALIGNED-V1,23,165965,d[kappa]/d[betan],source_matrix_order,0.5625085123937212,0.5625085123937212,0.02512760969589027,39.79686138485167
D3D-SIR-62-ALIGNED-V1,23,165965,d[betan]/d[t],source_matrix_order,0.556670004921197,0.556670004921197,0.02512760969589027,39.79686138485167
D3D-SIR-62-ALIGNED-V1,23,165965,d[li]/d[betan],source_matrix_order,0.001062862363870376,0.001062862363870376,0.02512760969589027,39.79686138485167
D3D-SIR-62-ALIGNED-V1,24,170394,d[pcdiamag3]/d[kappa],source_matrix_order,0.30627450641535187,0.30627450641535187,0.027366082326904115,36.5415841425311
D3D-SIR-62-ALIGNED-V1,24,170394,d[kappa]/d[t],source_matrix_order,-0.2687727867124827,0.2687727867124827,0.027366082326904115,36.5415841425311
