realization_index,shot,singular_index,sigma,normalized_sigma
36,189647,2,48.49082372970175,0.8631706385746063
36,189647,3,27.654295751267384,0.49226584097665743
36,189647,4,24.258232562012306,0.4318135366798863
36,189647,5,11.394983670689799,0.2028386934897924
36,189647,6,2.7946807025292775,0.04974727466089104
36,189647,7,1.3577597218336155,0.02416907439351536
37,189649,1,56.0818424174119,1.0
37,189649,2,47.229060091647604,0.842145301506433
37,189649,3,29.769659803955996,0.5308252817798532
37,189649,4,19.90941432694272,0.35500642398227245
37,189649,5,18.271845026918836,0.325806789493883
37,189649,6,2.3479992471364577,0.041867370006507976
37,189649,7,1.5006628837546732,0.026758444784773294
38,189650,1,56.13984273779952,1.0
38,189650,2,47.690871913372405,0.8495013449915074
38,189650,3,30.02047662420267,0.5347445799663699
38,189650,4,19.804582411507564,0.35277231722939867
38,189650,5,16.50580681557525,0.29401234507665847
38,189650,6,2.443980511372385,0.04353379689335732
38,189650,7,1.4260409902569995,0.025401585054616333
39,189651,1,55.87230568421153,1.0
39,189651,2,46.640523131355586,0.8347699734277356
39,189651,3,31.911732793740132,0.5711547501566199
39,189651,4,23.7629814322258,0.4253087668608739
39,189651,5,10.24152128247783,0.1833022846839824
39,189651,6,3.1925318323782097,0.05713979033588298
39,189651,7,2.197285924940762,0.03932692410010339
40,189652,1,58.20241857707973,1.0
40,189652,2,47.712943312596046,0.819775955691737
40,189652,3,25.61670328110254,0.44013125068294784
40,189652,4,23.74969293241589,0.40805336810811815
40,189652,5,10.41438525981245,0.17893389165641413
40,189652,6,2.235498422730979,0.038409029682682706
40,189652,7,1.4944019919271212,0.02567594317318663
41,195261,1,64.85317721012618,1.0
41,195261,2,37.54937598259429,0.5789905382882511
41,195261,3,30.920759185493775,0.4767809460639009
41,195261,4,14.913882911320314,0.22996379750214704
41,195261,5,14.13102556715074,0.2178925717296133
41,195261,6,2.2538148555301425,0.03475257423746129
41,195261,7,0.9093690050803593,0.014021965371626702
42,195264,1,63.43094024166823,1.0
42,195264,2,37.17732598644684,0.5861071244538291
42,195264,3,31.843904148326107,0.5020247851758568
42,195264,4,18.879903945149305,0.2976450273828191
42,195264,5,14.588027388557526,0.2299828338186062
42,195264,6,3.0295326585766134,0.04776111858084191
42,195264,7,1.3742768828899954,0.02166571830173224
43,195265,1,62.7024769993594,1.0
43,195265,2,40.522777060190045,0.6462707535557813
43,195265,3,30.65084185337805,0.4888298408640411
43,195265,4,16.64698498685869,0.26549166450041145
43,195265,5,14.268667282047097,0.22756146112366302
43,195265,6,2.2206304284958724,0.03541535414172808
43,195265,7,1.08703104634895,0.017336333401311337
44,195266,1,62.03805867948456,1.0
44,195266,2,41.53242160004326,0.669466815759302
44,195266,3,31.87374536249297,0.5137772851205181
44,195266,4,15.60324452558489,0.25151084443499433
44,195266,5,12.640152931858227,0.20374836351928297
44,195266,6,2.3245369459838283,0.037469530727797136
44,195266,7,1.3279344881605382,0.02140515864658535
45,195267,1,61.959958247305735,1.0
45,195267,2,42.632402407653856,0.6880637691441259
45,195267,3,30.631440673060744,0.4943747791242697
45,195267,4,16.095147509061178,0.25976691986814016
45,195267,5,11.8133221641996,0.19066058948987896
45,195267,6,2.1896908956622774,0.03534041916107156
45,195267,7,1.3242285016592086,0.02137232721128877
46,195268,1,63.4931874046999,1.0
46,195268,2,40.72345636626269,0.641383084246425
46,195268,3,30.72192744185773,0.48386179206973673
46,195268,4,15.503603639466258,0.24417743498444444
46,195268,5,10.922766106307435,0.1720305209547396
46,195268,6,2.162799986895093,0.03406349681438418
46,195268,7,1.4255455194065998,0.022451944494773904
47,195269,1,60.70049128040169,1.0
47,195269,2,39.284979295356415,0.6471937618079925
47,195269,3,30.029304284611847,0.4947127057982705
47,195269,4,26.297394118084025,0.433231981543692
47,195269,5,12.969748603351645,0.21366793463727987
47,195269,6,2.576241119487429,0.042441849565708824
47,195269,7,1.9943193630332658,0.032855077792050255
48,195273,1,61.31339853539896,1.0
48,195273,2,37.223903076829416,0.6071087880626679
48,195273,3,31.566653772373694,0.5148410384420112
48,195273,4,26.451290335477722,0.4314112570388055
48,195273,5,11.950089938826522,0.19490177064524
48,195273,6,3.3691559690960236,0.05494975078164782
48,195273,7,2.1835630239029884,0.03561314616481943
49,195274,1,62.50593566627001,1.0
49,195274,2,41.650434268957994,0.6663436652054432
49,195274,3,30.468412269591894,0.48744830302625997
49,195274,4,15.64522265124332,0.25029979128343693
49,195274,5,13.380402439808943,0.21406610903721565
49,195274,6,2.161796427578363,0.034585458237447526
49,195274,7,1.2015242024195292,0.019222561659338635
50,195626,1,60.76555547503077,1.0
50,195626,2,44.44058793858263,0.7313450455800368
50,195626,3,31.015512030120686,0.5104127130519739
50,195626,4,15.867471020158666,0.26112607539116106
50,195626,5,10.343586093022115,0.17022120528911164
50,195626,6,3.1912024741592764,0.052516634616638636
50,195626,7,1.2919914562741905,0.021261904810614032
51,195638,1,59.651611369590086,1.0
51,195638,2,45.8666721879765,0.768909190127242
51,195638,3,28.71553528556428,0.4813874198242234
51,195638,4,17.699212425067167,0.2967097119205414
51,195638,5,13.759619487406916,0.23066635035481137
51,195638,6,2.9240973289912318,0.049019586593798424
51,195638,7,1.4873071573532213,0.02493322683503297
52,195642,1,59.82668860656995,1.0
52,195642,2,46.20088453053719,0.7722453909217962
52,195642,3,27.288814526791253,0.45613112078201323
52,195642,4,19.050262892447673,0.31842415711364713
52,195642,5,12.997491911351267,0.21725240380300656
52,195642,6,2.781121104245368,0.0464862951472122
52,195642,7,1.4086354522670754,0.02354526859292667
53,195645,1,61.16033956838286,1.0
53,195645,2,46.37976553445859,0.7583307395244555
53,195645,3,27.100009476519467,0.4430977602114059
53,195645,4,15.071048338867394,0.24641865047228168
53,195645,5,11.699100073680327,0.19128572791195284
53,195645,6,2.8911902179491387,0.04727230486868902
53,195645,7,1.2471077653825673,0.020390792042418053
54,195647,1,60.321464287366965,1.0
54,195647,2,46.61725691273276,0.7728137481983465
54,195647,3,27.809511670710226,0.46102182696076116
54,195647,4,15.890795358703729,0.2634351726443702
54,195647,5,12.39490623214553,0.20548085790983323
54,195647,6,2.616840005348694,0.043381572981754275
54,195647,7,1.3358276637846151,0.022145146500768476
55,195648,1,60.445479428136636,1.0
55,195648,2,46.55035870809403,0.770121424273548
55,195648,3,26.97040445868933,0.446193904223298
55,195648,4,17.094799102217767,0.2828135249144925
55,195648,5,12.32708546003065,0.2039372601004227
55,195648,6,2.4917000374817118,0.04122227271675598
55,195648,7,1.2679285564748892,0.020976400029754483
56,195649,1,59.68941882370988,1.0
56,195649,2,46.3493295154537,0.7765083063104441
56,195649,3,29.70171541540956,0.49760436607922576
56,195649,4,16.647862205280827,0.2789080968345423
56,195649,5,11.17875101408242,0.18728195439627882
56,195649,6,1.9392418112759786,0.03248887071598813
56,195649,7,0.9190137617015742,0.015396594234161363
57,195650,1,59.935290345765004,1.0
57,195650,2,47.30049365760974,0.7891927007399901
57,195650,3,27.79169439668769,0.46369499899572
57,195650,4,15.938561568290588,0.2659294962340463
57,195650,5,11.763930234913804,0.1962771877311017
57,195650,6,2.07367537112621,0.03459857054438604
57,195650,7,1.1480698992071514,0.019155157046607574
58,195651,1,60.50431849724261,1.0
58,195651,2,46.03437952671263,0.7608445259789278
58,195651,3,27.83615990837527,0.46006897688871345
58,195651,4,16.662237410777056,0.27538922550687706
58,195651,5,12.502276406099774,0.20663444720345947
58,195651,6,3.0207040254569133,0.049925428473251494
58,195651,7,1.4662273538357373,0.024233433087963108
59,195652,1,60.82423863406227,1.0
59,195652,2,46.03519828784061,0.7568561369884599
59,195652,3,27.29796107332366,0.44880070324524357
59,195652,4,16.31039436543043,0.268156161617721
59,195652,5,12.04257161274321,0.1979896811400321
59,195652,6,4.703830732028738,0.07733480661103646
59,195652,7,1.6778901828368233,0.02758588057191374
60,195655,1,59.64265956019692,1.0
60,195655,2,46.465146155923804,0.7790589235717575
60,195655,3,28.493779740351485,0.47774160224349005
60,195655,4,16.780800770154688,0.2813556755164136
60,195655,5,13.444972054847565,0.2254254279401751
60,195655,6,2.7257152751239504,0.04570076678711661
60,195655,7,1.4338052863353696,0.024039928750800257
61,195659,1,59.3122999039953,1.0
61,195659,2,46.53311665431065,0.7845441287832469
61,195659,3,28.416598359058558,0.47910127250257584
61,195659,4,17.264811573767712,0.29108315815965763
61,195659,5,14.302327307119741,0.24113594195925506
61,195659,6,2.2666046794928962,0.03821474943918364
61,195659,7,1.2038647698137919,0.020297050894374422
