realization_index,shot,feature_1,feature_2,correlation,abs_correlation
6,160721,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.1512800851008601,0.1512800851008601
6,160721,d[kappa]/d[t],r[q95]/r[kappa],0.35457984209455806,0.35457984209455806
6,160721,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.19715625457733452,0.19715625457733452
6,160721,d[kappa]/d[t],d[kappa]/d[betan],0.7860659427775738,0.7860659427775738
6,160721,d[kappa]/d[t],d[betan]/d[t],-0.23532026125817618,0.23532026125817618
6,160721,d[kappa]/d[t],d[li]/d[betan],0.44428241032491206,0.44428241032491206
6,160721,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.07352344596467023,0.07352344596467023
6,160721,r[q95]/r[kappa],d[kappa]/d[betan],0.25266232199822397,0.25266232199822397
6,160721,r[q95]/r[kappa],d[betan]/d[t],-0.04373542716012412,0.04373542716012412
6,160721,r[q95]/r[kappa],d[li]/d[betan],0.2881015747089677,0.2881015747089677
6,160721,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.7199872720913308,0.7199872720913308
6,160721,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.9292285745314596,0.9292285745314596
6,160721,d[pcdiamag3]/d[betan],d[li]/d[betan],0.7346271710057807,0.7346271710057807
6,160721,d[kappa]/d[betan],d[betan]/d[t],-0.7774537043561308,0.7774537043561308
6,160721,d[kappa]/d[betan],d[li]/d[betan],0.7983512992194751,0.7983512992194751
6,160721,d[betan]/d[t],d[li]/d[betan],-0.8078608386488886,0.8078608386488886
7,161136,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6470144859177416,0.6470144859177416
7,161136,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.2619080982752626,0.2619080982752626
7,161136,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.7149001448081445,0.7149001448081445
7,161136,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.11571400432675191,0.11571400432675191
7,161136,d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.4998961686174857,0.4998961686174857
7,161136,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.2025204123797597,0.2025204123797597
7,161136,d[kappa]/d[t],r[q95]/r[kappa],0.5660071167880237,0.5660071167880237
7,161136,d[kappa]/d[t],d[pcdiamag3]/d[betan],-0.05278700973394131,0.05278700973394131
7,161136,d[kappa]/d[t],d[kappa]/d[betan],0.7003141692866366,0.7003141692866366
7,161136,d[kappa]/d[t],d[betan]/d[t],0.033613640924847,0.033613640924847
7,161136,d[kappa]/d[t],d[li]/d[betan],0.18894846203970783,0.18894846203970783
7,161136,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.010127954937129374,0.010127954937129374
7,161136,r[q95]/r[kappa],d[kappa]/d[betan],0.37739507226491903,0.37739507226491903
7,161136,r[q95]/r[kappa],d[betan]/d[t],0.038917734970364146,0.038917734970364146
7,161136,r[q95]/r[kappa],d[li]/d[betan],0.22999742613629756,0.22999742613629756
7,161136,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.6037189800759802,0.6037189800759802
7,161136,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.897107700128102,0.897107700128102
7,161136,d[pcdiamag3]/d[betan],d[li]/d[betan],0.6579651038233348,0.6579651038233348
7,161136,d[kappa]/d[betan],d[betan]/d[t],-0.6866825849270879,0.6866825849270879
7,161136,d[kappa]/d[betan],d[li]/d[betan],0.6997887521201526,0.6997887521201526
7,161136,d[betan]/d[t],d[li]/d[betan],-0.7790946676351009,0.7790946676351009
8,161138,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6172605833468621,0.6172605833468621
8,161138,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.23538006513311324,0.23538006513311324
8,161138,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.7103422695436022,0.7103422695436022
8,161138,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.1460212006229222,0.1460212006229222
8,161138,d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.43672041679087875,0.43672041679087875
8,161138,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.19253680828793612,0.19253680828793612
8,161138,d[kappa]/d[t],r[q95]/r[kappa],0.5200203011594774,0.5200203011594774
8,161138,d[kappa]/d[t],d[pcdiamag3]/d[betan],-0.037405964463132345,0.037405964463132345
8,161138,d[kappa]/d[t],d[kappa]/d[betan],0.7122326466343394,0.7122326466343394
8,161138,d[kappa]/d[t],d[betan]/d[t],0.022735448858207184,0.022735448858207184
8,161138,d[kappa]/d[t],d[li]/d[betan],0.21279644139070453,0.21279644139070453
8,161138,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.00030578069982044125,0.00030578069982044125
8,161138,r[q95]/r[kappa],d[kappa]/d[betan],0.33409762315167674,0.33409762315167674
8,161138,r[q95]/r[kappa],d[betan]/d[t],0.05665069665727631,0.05665069665727631
8,161138,r[q95]/r[kappa],d[li]/d[betan],0.12677471492715506,0.12677471492715506
8,161138,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.5823627100215997,0.5823627100215997
8,161138,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.8659955649443092,0.8659955649443092
8,161138,d[pcdiamag3]/d[betan],d[li]/d[betan],0.6845326500072064,0.6845326500072064
8,161138,d[kappa]/d[betan],d[betan]/d[t],-0.6826036172368127,0.6826036172368127
8,161138,d[kappa]/d[betan],d[li]/d[betan],0.728200968879566,0.728200968879566
8,161138,d[betan]/d[t],d[li]/d[betan],-0.8062742091964238,0.8062742091964238
9,161145,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6148713570585048,0.6148713570585048
9,161145,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.21255610084105336,0.21255610084105336
9,161145,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.6877400499163215,0.6877400499163215
9,161145,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.1379442803608125,0.1379442803608125
9,161145,d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.48619945453968855,0.48619945453968855
9,161145,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.11986151770475757,0.11986151770475757
9,161145,d[kappa]/d[t],r[q95]/r[kappa],0.5627772082740126,0.5627772082740126
9,161145,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.03236791911690445,0.03236791911690445
9,161145,d[kappa]/d[t],d[kappa]/d[betan],0.7541272071835116,0.7541272071835116
9,161145,d[kappa]/d[t],d[betan]/d[t],-0.043571431761721555,0.043571431761721555
9,161145,d[kappa]/d[t],d[li]/d[betan],0.28219692200780694,0.28219692200780694
9,161145,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.08370025692167833,0.08370025692167833
9,161145,r[q95]/r[kappa],d[kappa]/d[betan],0.3980145674292347,0.3980145674292347
9,161145,r[q95]/r[kappa],d[betan]/d[t],0.015309682326833197,0.015309682326833197
9,161145,r[q95]/r[kappa],d[li]/d[betan],0.27900185742987743,0.27900185742987743
9,161145,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.6134231645147256,0.6134231645147256
9,161145,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.8996504440206714,0.8996504440206714
9,161145,d[pcdiamag3]/d[betan],d[li]/d[betan],0.6053149366198054,0.6053149366198054
9,161145,d[kappa]/d[betan],d[betan]/d[t],-0.6846187535523461,0.6846187535523461
9,161145,d[kappa]/d[betan],d[li]/d[betan],0.6987052223785956,0.6987052223785956
9,161145,d[betan]/d[t],d[li]/d[betan],-0.7382690128844398,0.7382690128844398
10,161414,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6723561474892987,0.6723561474892987
10,161414,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.4588467790701395,0.4588467790701395
10,161414,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.12356226211965025,0.12356226211965025
10,161414,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.9049748553829949,0.9049748553829949
10,161414,d[pcdiamag3]/d[kappa],d[betan]/d[t],0.6858809115440164,0.6858809115440164
10,161414,d[pcdiamag3]/d[kappa],d[li]/d[betan],-0.6071385527578529,0.6071385527578529
10,161414,d[kappa]/d[t],r[q95]/r[kappa],0.6211309560198115,0.6211309560198115
10,161414,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.11293094993929162,0.11293094993929162
10,161414,d[kappa]/d[t],d[kappa]/d[betan],0.7368575725471227,0.7368575725471227
10,161414,d[kappa]/d[t],d[betan]/d[t],-0.11565628072576431,0.11565628072576431
10,161414,d[kappa]/d[t],d[li]/d[betan],0.22714167038726207,0.22714167038726207
10,161414,r[q95]/r[kappa],d[pcdiamag3]/d[betan],-0.14837016329937452,0.14837016329937452
10,161414,r[q95]/r[kappa],d[kappa]/d[betan],0.44030027963988033,0.44030027963988033
10,161414,r[q95]/r[kappa],d[betan]/d[t],-0.04926702783012061,0.04926702783012061
10,161414,r[q95]/r[kappa],d[li]/d[betan],0.11905063168314799,0.11905063168314799
10,161414,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.2941400338618979,0.2941400338618979
10,161414,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.31406554190460734,0.31406554190460734
10,161414,d[pcdiamag3]/d[betan],d[li]/d[betan],0.4213762761024531,0.4213762761024531
10,161414,d[kappa]/d[betan],d[betan]/d[t],-0.7534055518689161,0.7534055518689161
10,161414,d[kappa]/d[betan],d[li]/d[betan],0.7375913451708063,0.7375913451708063
10,161414,d[betan]/d[t],d[li]/d[betan],-0.8583225674701411,0.8583225674701411
11,165017,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6233092989555102,0.6233092989555102
11,165017,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.24142543767509395,0.24142543767509395
11,165017,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.37646138791598327,0.37646138791598327
11,165017,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.7720696452489965,0.7720696452489965
11,165017,d[pcdiamag3]/d[kappa],d[betan]/d[t],0.4581402458735683,0.4581402458735683
11,165017,d[pcdiamag3]/d[kappa],d[li]/d[betan],-0.5291233571906127,0.5291233571906127
11,165017,d[kappa]/d[t],r[q95]/r[kappa],0.3905046682375236,0.3905046682375236
11,165017,d[kappa]/d[t],d[pcdiamag3]/d[betan],-0.07378016619056055,0.07378016619056055
11,165017,d[kappa]/d[t],d[kappa]/d[betan],0.6899338349599842,0.6899338349599842
11,165017,d[kappa]/d[t],d[betan]/d[t],0.03639943718321358,0.03639943718321358
11,165017,d[kappa]/d[t],d[li]/d[betan],0.2628926261702131,0.2628926261702131
11,165017,r[q95]/r[kappa],d[pcdiamag3]/d[betan],-0.16985665003047978,0.16985665003047978
11,165017,r[q95]/r[kappa],d[kappa]/d[betan],0.22034706661782247,0.22034706661782247
11,165017,r[q95]/r[kappa],d[betan]/d[t],0.0693045025421346,0.0693045025421346
11,165017,r[q95]/r[kappa],d[li]/d[betan],0.1369532603398076,0.1369532603398076
11,165017,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.2708411201516594,0.2708411201516594
11,165017,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.4347938969159742,0.4347938969159742
11,165017,d[pcdiamag3]/d[betan],d[li]/d[betan],0.3583032605066,0.3583032605066
11,165017,d[kappa]/d[betan],d[betan]/d[t],-0.6929581123141587,0.6929581123141587
11,165017,d[kappa]/d[betan],d[li]/d[betan],0.7789117068978177,0.7789117068978177
11,165017,d[betan]/d[t],d[li]/d[betan],-0.8027066104711116,0.8027066104711116
12,165022,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6115224715362967,0.6115224715362967
12,165022,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.2790877290767743,0.2790877290767743
12,165022,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.2581796181457717,0.2581796181457717
12,165022,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.833165257597791,0.833165257597791
12,165022,d[pcdiamag3]/d[kappa],d[betan]/d[t],0.6051461772649893,0.6051461772649893
12,165022,d[pcdiamag3]/d[kappa],d[li]/d[betan],-0.6157643182712833,0.6157643182712833
12,165022,d[kappa]/d[t],r[q95]/r[kappa],0.4484989159027662,0.4484989159027662
12,165022,d[kappa]/d[t],d[pcdiamag3]/d[betan],-0.0062708127821845825,0.0062708127821845825
12,165022,d[kappa]/d[t],d[kappa]/d[betan],0.6678742811012158,0.6678742811012158
12,165022,d[kappa]/d[t],d[betan]/d[t],-0.03090021395599801,0.03090021395599801
12,165022,d[kappa]/d[t],d[li]/d[betan],0.2562935733076238,0.2562935733076238
12,165022,r[q95]/r[kappa],d[pcdiamag3]/d[betan],-0.06154326139306814,0.06154326139306814
12,165022,r[q95]/r[kappa],d[kappa]/d[betan],0.32591507539675674,0.32591507539675674
12,165022,r[q95]/r[kappa],d[betan]/d[t],-0.05726170424900417,0.05726170424900417
12,165022,r[q95]/r[kappa],d[li]/d[betan],0.18484512857009955,0.18484512857009955
12,165022,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.28150440762866236,0.28150440762866236
12,165022,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.37064736945510973,0.37064736945510973
12,165022,d[pcdiamag3]/d[betan],d[li]/d[betan],0.3579597991974138,0.3579597991974138
12,165022,d[kappa]/d[betan],d[betan]/d[t],-0.7464202150890048,0.7464202150890048
12,165022,d[kappa]/d[betan],d[li]/d[betan],0.7855047614375595,0.7855047614375595
12,165022,d[betan]/d[t],d[li]/d[betan],-0.8199654966599372,0.8199654966599372
13,165026,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6020575877754238,0.6020575877754238
13,165026,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.24724618114721272,0.24724618114721272
13,165026,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.20156444655548017,0.20156444655548017
13,165026,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.8675790312516798,0.8675790312516798
13,165026,d[pcdiamag3]/d[kappa],d[betan]/d[t],0.6359335308697419,0.6359335308697419
13,165026,d[pcdiamag3]/d[kappa],d[li]/d[betan],-0.669801816096218,0.669801816096218
