realization_index,shot,feature,feature_order,canonical_estimate,bootstrap_mean,bootstrap_median,bootstrap_standard_deviation,bootstrap_variance,q025,q05,q25,q75,q95,q975,fraction_positive,fraction_negative,sign_stability,relative_bootstrap_sd,interval_contains_zero,primary_block_length
4,160719,d[pcdiamag3]/d[kappa],source_matrix_order,0.47366114299877277,0.5031187739306467,0.4762037207249128,0.12677630179078445,0.016072230695748056,0.3386331611654668,0.36937391007250253,0.4326561163351993,0.533911528962661,0.7378660181648282,0.8197687606554139,1.0,0.0,1.0,0.2676518934784411,False,61
4,160719,d[kappa]/d[t],source_matrix_order,1.2452699497837318,1.2349415058987738,1.226867723528862,0.11594774151374859,0.013443878762139058,1.0230196704479175,1.046044495773132,1.1525802079456422,1.3238805766985098,1.4194399793295156,1.4384432108235758,1.0,0.0,1.0,0.0931105271864027,False,61
4,160719,r[q95]/r[kappa],source_matrix_order,-0.0015882282269832626,0.0005005702096559474,-0.0026321032542239026,0.022635660422641857,0.000512373122769155,-0.04208166199793361,-0.01934876754393989,-0.008176052935568431,0.004821084776656867,0.040210607649681415,0.05869988464749231,0.385,0.615,0.615,14.252145905769844,True,61
4,160719,d[pcdiamag3]/d[betan],source_matrix_order,1.1013099432114173,1.0655054529245938,1.1007220516961338,0.18631387388003381,0.03471285960018514,0.5997496918613788,0.7194273375873939,1.0106198216971043,1.1697852762378658,1.2755379407800038,1.3172943870242837,1.0,0.0,1.0,0.16917478592515273,False,61
4,160719,d[kappa]/d[betan],source_matrix_order,-1.383799922462083,-1.3314676901398061,-1.3588986533218943,0.25080394948525075,0.06290262107740022,-1.7064447719617617,-1.6502545570783187,-1.4772911010847252,-1.2454227143240653,-0.8782732603642246,-0.7031607965766455,0.0,1.0,1.0,0.18124292783527218,False,61
4,160719,d[betan]/d[t],source_matrix_order,-0.3415062077679154,-0.3257073835647983,-0.3259793416605088,0.10292406712304068,0.010593363593148185,-0.5136350633140647,-0.489524379314289,-0.4034416309495888,-0.2531070406555874,-0.15824971887051034,-0.12434326329686515,0.002,0.998,0.998,0.30138271217894425,False,61
4,160719,d[li]/d[betan],source_matrix_order,-0.029377023626907972,-0.027147715587372334,-0.025574093916635676,0.01565929714859246,0.00024521358718791595,-0.06320137594985686,-0.05702170464267645,-0.03646287982600463,-0.015931489329721136,-0.005852782364598446,-0.0031556706999497745,0.015,0.985,0.985,0.5330457349072201,False,61
5,160720,d[pcdiamag3]/d[kappa],source_matrix_order,0.33784174492252217,0.45248588924939476,0.3548633077717762,0.2542885696916685,0.06466267667583456,0.20449625053498155,0.21882352409872013,0.27824370908450774,0.5806806509511429,0.9563766959676612,1.169012908141846,1.0,0.0,1.0,0.7526854615020538,False,58
5,160720,d[kappa]/d[t],source_matrix_order,1.2465376977462752,1.2208742855523051,1.2084399847154796,0.11325427481685066,0.012826530764290734,1.0201185018797607,1.0619714075562954,1.145868649614965,1.290840454705394,1.4111879719109683,1.4602467275324793,1.0,0.0,1.0,0.09085507403555695,False,58
5,160720,r[q95]/r[kappa],source_matrix_order,0.0352988057217931,0.042091481943735035,0.034554384100241864,0.041144535852246006,0.0016928728304967569,-0.02357494463858021,0.0054531253607681,0.0261701761924013,0.04312723303861367,0.14011232627548337,0.1570523720311311,0.955,0.045,0.955,1.1656070229832918,True,58
5,160720,d[pcdiamag3]/d[betan],source_matrix_order,1.3154050543679383,1.1756235625965359,1.2936156141528337,0.35368414418220695,0.12509247384590017,0.18736719473331742,0.5050363712653976,1.0022225157384788,1.414031691557843,1.5511297246454718,1.5866795443258994,0.984,0.016,0.984,0.268878504767609,False,58
5,160720,d[kappa]/d[betan],source_matrix_order,-1.4800673207177035,-1.3310493900840188,-1.4167789347419246,0.3715885432572488,0.1380780454800443,-1.8204869797629788,-1.7604187384083625,-1.558816027386394,-1.1748510541307131,-0.6033967961987181,-0.35514132175717694,0.014,0.986,0.986,0.25106191999230176,False,58
5,160720,d[betan]/d[t],source_matrix_order,-0.510763188629293,-0.46603773922389863,-0.46890660830617636,0.12137519109672323,0.014731937013766083,-0.6928596887041637,-0.6580637996534602,-0.5353168567647925,-0.4050320364200951,-0.2584343451170658,-0.17549039866632718,0.001,0.999,0.999,0.23763496234419496,False,58
5,160720,d[li]/d[betan],source_matrix_order,-0.15927936873280416,-0.14443206135892211,-0.15064363384884552,0.04296658042905439,0.0018461270337664,-0.20896379052194036,-0.2002513017519163,-0.1747566206410321,-0.12459942440200242,-0.045321226911123114,-0.02675799582642867,0.001,0.999,0.999,0.26975609440750503,False,58
6,160721,d[pcdiamag3]/d[kappa],source_matrix_order,0.44225773893530185,0.49049254833987777,0.47070787806761466,0.16198393491781687,0.026238795171459533,0.22904941257234285,0.2711849571541359,0.37483182255362346,0.5777029560156224,0.7777192310952195,0.867120261388138,1.0,0.0,1.0,0.3662659138713528,False,62
