realization_index,shot,feature,vif
49,195274,d[kappa]/d[betan],243.5030790154492
49,195274,d[betan]/d[t],219.37650464990338
49,195274,d[li]/d[betan],4.092186894147363
50,195626,d[pcdiamag3]/d[kappa],43.8652120995056
50,195626,d[kappa]/d[t],96.43682812719412
50,195626,r[q95]/r[kappa],1.1489862449093562
50,195626,d[pcdiamag3]/d[betan],119.19834812248126
50,195626,d[kappa]/d[betan],365.8170624717268
50,195626,d[betan]/d[t],82.42764606533974
50,195626,d[li]/d[betan],3.5108504895268693
51,195638,d[pcdiamag3]/d[kappa],54.29823858719714
51,195638,d[kappa]/d[t],73.11168762313454
51,195638,r[q95]/r[kappa],1.5752409980880917
51,195638,d[pcdiamag3]/d[betan],115.78077654307512
51,195638,d[kappa]/d[betan],271.0843818453285
51,195638,d[betan]/d[t],60.612609810718965
51,195638,d[li]/d[betan],2.9972833496215596
52,195642,d[pcdiamag3]/d[kappa],60.29373075139137
52,195642,d[kappa]/d[t],72.64962532413314
52,195642,r[q95]/r[kappa],1.7786460139382443
52,195642,d[pcdiamag3]/d[betan],136.9872722428979
52,195642,d[kappa]/d[betan],301.6141841386418
52,195642,d[betan]/d[t],67.79201206908851
52,195642,d[li]/d[betan],2.9065655256068235
53,195645,d[pcdiamag3]/d[kappa],67.84017351812535
53,195645,d[kappa]/d[t],83.12395554843874
53,195645,r[q95]/r[kappa],1.5486673635102859
53,195645,d[pcdiamag3]/d[betan],167.25498235205362
53,195645,d[kappa]/d[betan],381.89576929633523
53,195645,d[betan]/d[t],70.24603623624398
53,195645,d[li]/d[betan],4.496937808547034
54,195647,d[pcdiamag3]/d[kappa],64.25971286456702
54,195647,d[kappa]/d[t],88.42504162196606
54,195647,r[q95]/r[kappa],1.6120434381938005
54,195647,d[pcdiamag3]/d[betan],145.10425870772985
54,195647,d[kappa]/d[betan],335.2275293850229
54,195647,d[betan]/d[t],79.84381170043456
54,195647,d[li]/d[betan],4.457242238071791
55,195648,d[pcdiamag3]/d[kappa],67.7070031581003
55,195648,d[kappa]/d[t],99.07386660556926
55,195648,r[q95]/r[kappa],1.515729455837403
55,195648,d[pcdiamag3]/d[betan],167.0967738489937
55,195648,d[kappa]/d[betan],369.6248145161694
55,195648,d[betan]/d[t],87.10603753436146
55,195648,d[li]/d[betan],3.084877432330978
56,195649,d[pcdiamag3]/d[kappa],144.90931177712682
56,195649,d[kappa]/d[t],134.42236844900532
56,195649,r[q95]/r[kappa],2.0272941051226945
56,195649,d[pcdiamag3]/d[betan],358.2046337186818
56,195649,d[kappa]/d[betan],697.4619079381462
56,195649,d[betan]/d[t],122.38663740950233
56,195649,d[li]/d[betan],4.000459082054066
57,195650,d[pcdiamag3]/d[kappa],116.18461301783681
57,195650,d[kappa]/d[t],91.62141261413626
57,195650,r[q95]/r[kappa],2.0959118367076157
57,195650,d[pcdiamag3]/d[betan],265.2413381739364
57,195650,d[kappa]/d[betan],435.9484423565376
57,195650,d[betan]/d[t],90.07352152775012
57,195650,d[li]/d[betan],3.256526668857481
58,195651,d[pcdiamag3]/d[kappa],43.888397978740876
58,195651,d[kappa]/d[t],76.03709264193353
58,195651,r[q95]/r[kappa],1.3349684180998782
58,195651,d[pcdiamag3]/d[betan],109.1012025964915
58,195651,d[kappa]/d[betan],285.41785536055005
58,195651,d[betan]/d[t],67.85345573826861
58,195651,d[li]/d[betan],3.1500901654776303
59,195652,d[pcdiamag3]/d[kappa],36.102748828743906
59,195652,d[kappa]/d[t],38.161619621945924
59,195652,r[q95]/r[kappa],1.301325359830595
59,195652,d[pcdiamag3]/d[betan],102.21670597665013
59,195652,d[kappa]/d[betan],203.503310435164
59,195652,d[betan]/d[t],28.33598083765706
59,195652,d[li]/d[betan],3.5124889066286107
60,195655,d[pcdiamag3]/d[kappa],57.85304769721323
60,195655,d[kappa]/d[t],85.3375753326492
60,195655,r[q95]/r[kappa],1.5876591857442675
60,195655,d[pcdiamag3]/d[betan],124.09444838135545
60,195655,d[kappa]/d[betan],289.4073834938464
60,195655,d[betan]/d[t],70.6455115850341
60,195655,d[li]/d[betan],3.1608605925728464
61,195659,d[pcdiamag3]/d[kappa],81.56611589536608
61,195659,d[kappa]/d[t],122.67762430547407
61,195659,r[q95]/r[kappa],1.6381135827103537
61,195659,d[pcdiamag3]/d[betan],168.21531758547493
61,195659,d[kappa]/d[betan],408.7150464861166
61,195659,d[betan]/d[t],108.83892234542787
61,195659,d[li]/d[betan],3.2169954585826197
